CITIESX020,FEATURE,NAME,POP_RANGE_,POP_90,POP_98,FIPS55,COUNTY,FIPS,STATE,STATE_FIPS,DISPLAY,geometry
7,County Seat,Barrow,"0 - 9,999",3469,4047,05200,North Slope Borough,02185,AK,02,1,"c(-156.796432495117, 71.2900619506836)"
18,County Seat,Kotzebue,"0 - 9,999",2751,2936,41830,Northwest Arctic Borough,02188,AK,02,1,"c(-162.591796875, 66.8979110717773)"
161,County Seat,Fairbanks,"10,000 - 49,999",30843,33295,24230,Fairbanks North Star Borough,02090,AK,02,1,"c(-147.718566894531, 64.8336715698242)"
219,County Seat,Naknek,"0 - 9,999",575,-99999,52060,Bristol Bay Borough,02060,AK,02,1,"c(-157.023254394531, 58.7315101623535)"
223,County Seat,South Naknek,"0 - 9,999",136,-99999,72190,Bristol Bay Borough,02060,AK,02,1,"c(-157.008636474609, 58.707820892334)"
226,County Seat,King Salmon,"0 - 9,999",696,-99999,39630,Bristol Bay Borough,02060,AK,02,1,"c(-156.677536010742, 58.6883964538574)"
249,County Seat,Palmer,"0 - 9,999",2866,4210,58660,Matanuska-Susitna Borough,02170,AK,02,1,"c(-149.113845825195, 61.5945930480957)"
255,County Seat,Anchorage,"100,000 - 249,999",226338,254982,03000,Anchorage Borough,02020,AK,02,1,"c(-149.881195068359, 61.2164993286133)"
271,County Seat,Soldotna,"0 - 9,999",3482,4552,71640,Kenai Peninsula Borough,02122,AK,02,1,"c(-151.063507080078, 60.4756927490234)"
350,County Seat,Kodiak,"0 - 9,999",6365,7720,40950,Kodiak Island Borough,02150,AK,02,1,"c(-152.396667480469, 57.7966423034668)"
364,County Seat,Haines,"0 - 9,999",1238,1325,31050,Haines Borough,02100,AK,02,1,"c(-135.463531494141, 59.2236938476562)"
377,State Capital   County Seat,Juneau,"10,000 - 49,999",26751,30191,36400,Juneau Borough,02110,AK,02,1,"c(-134.41340637207, 58.3023300170898)"
387,County Seat,Sitka,"0 - 9,999",8588,8338,70540,Sitka Borough,02220,AK,02,1,"c(-135.340972900391, 57.0600090026855)"
423,County Seat,Ketchikan,"0 - 9,999",8263,7543,38970,Ketchikan Gateway Borough,02130,AK,02,1,"c(-131.641708374023, 55.3432693481445)"
464,County Seat,Bellingham,"50,000 - 99,999",52179,61894,05280,Whatcom County,53073,WA,53,1,"c(-122.47274017334, 48.7612152099609)"
475,County Seat,Friday Harbor,"0 - 9,999",1492,1835,25615,San Juan County,53055,WA,53,1,"c(-123.011215209961, 48.533618927002)"
491,County Seat,Houlton,"0 - 9,999",5627,-99999,33945,Aroostook County,23003,ME,23,1,"c(-67.8390579223633, 46.1263160705566)"
503,County Seat,Mount Vernon,"10,000 - 49,999",17647,22688,47560,Skagit County,53057,WA,53,1,"c(-122.336578369141, 48.4208374023438)"
518,County Seat,Port Angeles,"10,000 - 49,999",17710,18769,55365,Clallam County,53009,WA,53,1,"c(-123.432922363281, 48.1179504394531)"
