id,town,cz,rucc,pop_2010,cal_yr,jobs,ests,jobs_lead,ests_lead,treated,treatment_year,treated_match,match_distance,post,rel_yr,rel_yr_m3,rel_yr_m2,rel_yr_m1,rel_yr_0,rel_yr_1,rel_yr_2,rel_yr_3,rel_yr_4,rel_yr_5,cz_yr,weights
1001,"Adrian, MI",513,4,21133,2007,3496,423,2950,403,0,2010,Blissfield,10.1,0,-3,1,0,0,0,0,0,0,0,0,502,0.111
1001,"Adrian, MI",513,4,21133,2008,2950,403,2964,402,0,2010,Blissfield,10.1,0,-2,0,1,0,0,0,0,0,0,0,503,0.111
1001,"Adrian, MI",513,4,21133,2009,2964,402,2987,376,0,2010,Blissfield,10.1,0,-1,0,0,1,0,0,0,0,0,0,504,0.111
1001,"Adrian, MI",513,4,21133,2010,2987,376,2665,297,0,2010,Blissfield,10.1,1,0,0,0,0,1,0,0,0,0,0,505,0.111
1001,"Adrian, MI",513,4,21133,2011,2665,297,3020,379,0,2010,Blissfield,10.1,1,1,0,0,0,0,1,0,0,0,0,506,0.111
1001,"Adrian, MI",513,4,21133,2012,3020,379,2956,330,0,2010,Blissfield,10.1,1,2,0,0,0,0,0,1,0,0,0,507,0.111
1001,"Adrian, MI",513,4,21133,2013,2956,330,3076,406,0,2010,Blissfield,10.1,1,3,0,0,0,0,0,0,1,0,0,508,0.111
1001,"Adrian, MI",513,4,21133,2014,3076,406,2518,343,0,2010,Blissfield,10.1,1,4,0,0,0,0,0,0,0,1,0,509,0.111
1001,"Adrian, MI",513,4,21133,2015,2518,343,2711,346,0,2010,Blissfield,10.1,1,5,0,0,0,0,0,0,0,0,1,510,0.111
1002,"Albion, MI",284,3,8616,2000,1054,165,1049,170,0,2003,Portland,43.8,0,-3,1,0,0,0,0,0,0,0,0,265,0.2
1002,"Albion, MI",284,3,8616,2001,1049,170,1053,162,0,2003,Portland,43.8,0,-2,0,1,0,0,0,0,0,0,0,266,0.2
1002,"Albion, MI",284,3,8616,2002,1053,162,1106,189,0,2003,Portland,43.8,0,-1,0,0,1,0,0,0,0,0,0,267,0.2
1002,"Albion, MI",284,3,8616,2003,1106,189,1036,179,0,2003,Portland,43.8,1,0,0,0,0,1,0,0,0,0,0,268,0.2
1002,"Albion, MI",284,3,8616,2004,1036,179,1049,179,0,2003,Portland,43.8,1,1,0,0,0,0,1,0,0,0,0,269,0.2
1002,"Albion, MI",284,3,8616,2005,1049,179,1105,178,0,2003,Portland,43.8,1,2,0,0,0,0,0,1,0,0,0,270,0.2
1002,"Albion, MI",284,3,8616,2006,1105,178,1105,169,0,2003,Portland,43.8,1,3,0,0,0,0,0,0,1,0,0,271,0.2
1002,"Albion, MI",284,3,8616,2007,1105,169,1184,166,0,2003,Portland,43.8,1,4,0,0,0,0,0,0,0,1,0,272,0.2
1002,"Albion, MI",284,3,8616,2008,1184,166,1195,167,0,2003,Portland,43.8,1,5,0,0,0,0,0,0,0,0,1,273,0.2
1003,"Allegan, MI",249,4,4998,2009,1275,176,1232,164,0,2012,Otsego,9.1,0,-3,1,0,0,0,0,0,0,0,0,232,0.333
1003,"Allegan, MI",249,4,4998,2010,1232,164,1214,173,0,2012,Otsego,9.1,0,-2,0,1,0,0,0,0,0,0,0,233,0.333
1003,"Allegan, MI",249,4,4998,2011,1214,173,1318,180,0,2012,Otsego,9.1,0,-1,0,0,1,0,0,0,0,0,0,234,0.333
1003,"Allegan, MI",249,4,4998,2012,1318,180,1308,173,0,2012,Otsego,9.1,1,0,0,0,0,1,0,0,0,0,0,235,0.333
1003,"Allegan, MI",249,4,4998,2013,1308,173,1390,170,0,2012,Otsego,9.1,1,1,0,0,0,0,1,0,0,0,0,236,0.333
1003,"Allegan, MI",249,4,4998,2014,1390,170,1292,168,0,2012,Otsego,9.1,1,2,0,0,0,0,0,1,0,0,0,237,0.333
1003,"Allegan, MI",249,4,4998,2015,1292,168,1101,157,0,2012,Otsego,9.1,1,3,0,0,0,0,0,0,1,0,0,238,0.333
1003,"Allegan, MI",249,4,4998,2016,1101,157,1057,169,0,2012,Otsego,9.1,1,4,0,0,0,0,0,0,0,1,0,239,0.333
1003,"Allegan, MI",249,4,4998,2017,1057,169,1033,168,0,2012,Otsego,9.1,1,5,0,0,0,0,0,0,0,0,1,240,0.333
1004,"Alma, MI",352,6,9383,2006,1044,160,1423,232,0,2009,Owosso,36.1,0,-3,1,0,0,0,0,0,0,0,0,319,0.111
1004,"Alma, MI",352,6,9383,2007,1423,232,1324,235,0,2009,Owosso,36.1,0,-2,0,1,0,0,0,0,0,0,0,320,0.111
1004,"Alma, MI",352,6,9383,2008,1324,235,1337,237,0,2009,Owosso,36.1,0,-1,0,0,1,0,0,0,0,0,0,321,0.111
1004,"Alma, MI",352,6,9383,2009,1337,237,1281,233,0,2009,Owosso,36.1,1,0,0,0,0,1,0,0,0,0,0,322,0.111
1004,"Alma, MI",352,6,9383,2010,1281,233,1295,236,0,2009,Owosso,36.1,1,1,0,0,0,0,1,0,0,0,0,323,0.111
1004,"Alma, MI",352,6,9383,2011,1295,236,1428,260,0,2009,Owosso,36.1,1,2,0,0,0,0,0,1,0,0,0,324,0.111
1004,"Alma, MI",352,6,9383,2012,1428,260,1416,279,0,2009,Owosso,36.1,1,3,0,0,0,0,0,0,1,0,0,325,0.111
1004,"Alma, MI",352,6,9383,2013,1416,279,1377,286,0,2009,Owosso,36.1,1,4,0,0,0,0,0,0,0,1,0,326,0.111
1004,"Alma, MI",352,6,9383,2014,1377,286,1159,248,0,2009,Owosso,36.1,1,5,0,0,0,0,0,0,0,0,1,327,0.111
1005,"Ames, IA",15,3,58965,2006,4907,453,5798,553,1,2009,Ames,0,0,-3,1,0,0,0,0,0,0,0,0,28,1
1005,"Ames, IA",15,3,58965,2007,5798,553,5967,523,1,2009,Ames,0,0,-2,0,1,0,0,0,0,0,0,0,29,1
1005,"Ames, IA",15,3,58965,2008,5967,523,5563,513,1,2009,Ames,0,0,-1,0,0,1,0,0,0,0,0,0,30,1
1005,"Ames, IA",15,3,58965,2009,5563,513,5613,527,1,2009,Ames,0,1,0,0,0,0,1,0,0,0,0,0,31,1
1005,"Ames, IA",15,3,58965,2010,5613,527,5363,511,1,2009,Ames,0,1,1,0,0,0,0,1,0,0,0,0,32,1
1005,"Ames, IA",15,3,58965,2011,5363,511,5208,547,1,2009,Ames,0,1,2,0,0,0,0,0,1,0,0,0,33,1
1005,"Ames, IA",15,3,58965,2012,5208,547,5550,554,1,2009,Ames,0,1,3,0,0,0,0,0,0,1,0,0,34,1
1005,"Ames, IA",15,3,58965,2013,5550,554,5755,565,1,2009,Ames,0,1,4,0,0,0,0,0,0,0,1,0,35,1
1005,"Ames, IA",15,3,58965,2014,5755,565,5637,643,1,2009,Ames,0,1,5,0,0,0,0,0,0,0,0,1,36,1
1006,"Antigo, WI",263,6,8234,1999,1137,177,1266,185,0,2002,Wausau,26.3,0,-3,1,0,0,0,0,0,0,0,0,241,0.25
