id,town,cz,rucc,pop_2010,cal_yr,jobs,ests,jobs_lead,ests_lead,treated,treatment_year,treated_match,post,rel_yr,rel_yr_m3,rel_yr_m2,rel_yr_m1,rel_yr_0,rel_yr_1,rel_yr_2,rel_yr_3,rel_yr_4,rel_yr_5,weights,cz_yr,distance
1001,"Adrian, MI",513,4,21133,2007,4418,524,3859,500,0,2010,"Blissfield, MI",0,-3,1,0,0,0,0,0,0,0,0,0.1,277,10.1
1001,"Adrian, MI",513,4,21133,2008,3859,500,3871,498,0,2010,"Blissfield, MI",0,-2,0,1,0,0,0,0,0,0,0,0.1,278,10.1
1001,"Adrian, MI",513,4,21133,2009,3871,498,3878,472,0,2010,"Blissfield, MI",0,-1,0,0,1,0,0,0,0,0,0,0.1,279,10.1
1001,"Adrian, MI",513,4,21133,2010,3878,472,3350,367,0,2010,"Blissfield, MI",1,0,0,0,0,1,0,0,0,0,0,0.1,280,10.1
1001,"Adrian, MI",513,4,21133,2011,3350,367,3931,476,0,2010,"Blissfield, MI",1,1,0,0,0,0,1,0,0,0,0,0.1,281,10.1
1001,"Adrian, MI",513,4,21133,2012,3931,476,3854,428,0,2010,"Blissfield, MI",1,2,0,0,0,0,0,1,0,0,0,0.1,282,10.1
1001,"Adrian, MI",513,4,21133,2013,3854,428,4025,513,0,2010,"Blissfield, MI",1,3,0,0,0,0,0,0,1,0,0,0.1,283,10.1
1001,"Adrian, MI",513,4,21133,2014,4025,513,3761,510,0,2010,"Blissfield, MI",1,4,0,0,0,0,0,0,0,1,0,0.1,284,10.1
1001,"Adrian, MI",513,4,21133,2015,3761,510,3958,499,0,2010,"Blissfield, MI",1,5,0,0,0,0,0,0,0,0,1,0.1,285,10.1
1002,"Albia, IA",393,7,3766,2003,1186,200,1276,201,0,2006,"Ottumwa, IA",0,-3,1,0,0,0,0,0,0,0,0,0.111,214,20.8
1002,"Albia, IA",393,7,3766,2004,1276,201,1209,207,0,2006,"Ottumwa, IA",0,-2,0,1,0,0,0,0,0,0,0,0.111,215,20.8
1002,"Albia, IA",393,7,3766,2005,1209,207,1160,194,0,2006,"Ottumwa, IA",0,-1,0,0,1,0,0,0,0,0,0,0.111,216,20.8
1002,"Albia, IA",393,7,3766,2006,1160,194,1168,183,0,2006,"Ottumwa, IA",1,0,0,0,0,1,0,0,0,0,0,0.111,217,20.8
1002,"Albia, IA",393,7,3766,2007,1168,183,1256,186,0,2006,"Ottumwa, IA",1,1,0,0,0,0,1,0,0,0,0,0.111,218,20.8
1002,"Albia, IA",393,7,3766,2008,1256,186,1263,183,0,2006,"Ottumwa, IA",1,2,0,0,0,0,0,1,0,0,0,0.111,219,20.8
1002,"Albia, IA",393,7,3766,2009,1263,183,1207,179,0,2006,"Ottumwa, IA",1,3,0,0,0,0,0,0,1,0,0,0.111,220,20.8
1002,"Albia, IA",393,7,3766,2010,1207,179,1052,136,0,2006,"Ottumwa, IA",1,4,0,0,0,0,0,0,0,1,0,0.111,221,20.8
1002,"Albia, IA",393,7,3766,2011,1052,136,1158,162,0,2006,"Ottumwa, IA",1,5,0,0,0,0,0,0,0,0,1,0.111,222,20.8
1003,"Allegan, MI",249,4,4998,2007,1713,210,1652,204,0,2010,"Hart, MI",0,-3,1,0,0,0,0,0,0,0,0,0.071,161,85.2
1003,"Allegan, MI",249,4,4998,2008,1652,204,1563,196,0,2010,"Hart, MI",0,-2,0,1,0,0,0,0,0,0,0,0.071,162,85.2
1003,"Allegan, MI",249,4,4998,2009,1563,196,1526,186,0,2010,"Hart, MI",0,-1,0,0,1,0,0,0,0,0,0,0.071,163,85.2
1003,"Allegan, MI",249,4,4998,2010,1526,186,1469,193,0,2010,"Hart, MI",1,0,0,0,0,1,0,0,0,0,0,0.071,164,85.2
1003,"Allegan, MI",249,4,4998,2011,1469,193,1587,204,0,2010,"Hart, MI",1,1,0,0,0,0,1,0,0,0,0,0.071,165,85.2
1003,"Allegan, MI",249,4,4998,2012,1587,204,1702,204,0,2010,"Hart, MI",1,2,0,0,0,0,0,1,0,0,0,0.071,166,85.2
1003,"Allegan, MI",249,4,4998,2013,1702,204,1622,195,0,2010,"Hart, MI",1,3,0,0,0,0,0,0,1,0,0,0.071,167,85.2
1003,"Allegan, MI",249,4,4998,2014,1622,195,1523,198,0,2010,"Hart, MI",1,4,0,0,0,0,0,0,0,1,0,0.071,168,85.2
1003,"Allegan, MI",249,4,4998,2015,1523,198,1345,188,0,2010,"Hart, MI",1,5,0,0,0,0,0,0,0,0,1,0.071,169,85.2
1004,"Allegan, MI",249,4,4998,2009,1563,196,1526,186,0,2012,"Otsego, MI",0,-3,1,0,0,0,0,0,0,0,0,0.071,163,9.1
1004,"Allegan, MI",249,4,4998,2010,1526,186,1469,193,0,2012,"Otsego, MI",0,-2,0,1,0,0,0,0,0,0,0,0.071,164,9.1
1004,"Allegan, MI",249,4,4998,2011,1469,193,1587,204,0,2012,"Otsego, MI",0,-1,0,0,1,0,0,0,0,0,0,0.071,165,9.1
1004,"Allegan, MI",249,4,4998,2012,1587,204,1702,204,0,2012,"Otsego, MI",1,0,0,0,0,1,0,0,0,0,0,0.071,166,9.1
1004,"Allegan, MI",249,4,4998,2013,1702,204,1622,195,0,2012,"Otsego, MI",1,1,0,0,0,0,1,0,0,0,0,0.071,167,9.1
1004,"Allegan, MI",249,4,4998,2014,1622,195,1523,198,0,2012,"Otsego, MI",1,2,0,0,0,0,0,1,0,0,0,0.071,168,9.1
1004,"Allegan, MI",249,4,4998,2015,1523,198,1345,188,0,2012,"Otsego, MI",1,3,0,0,0,0,0,0,1,0,0,0.071,169,9.1
1004,"Allegan, MI",249,4,4998,2016,1345,188,1350,201,0,2012,"Otsego, MI",1,4,0,0,0,0,0,0,0,1,0,0.071,170,9.1
1004,"Allegan, MI",249,4,4998,2017,1350,201,1306,198,0,2012,"Otsego, MI",1,5,0,0,0,0,0,0,0,0,1,0.071,171,9.1
1005,"Allegan, MI",249,4,4998,2000,6464,188,3968,180,0,2003,"Portland, MI",0,-3,1,0,0,0,0,0,0,0,0,0.071,154,53.7
1005,"Allegan, MI",249,4,4998,2001,3968,180,1416,185,0,2003,"Portland, MI",0,-2,0,1,0,0,0,0,0,0,0,0.071,155,53.7
1005,"Allegan, MI",249,4,4998,2002,1416,185,1615,227,0,2003,"Portland, MI",0,-1,0,0,1,0,0,0,0,0,0,0.071,156,53.7
1005,"Allegan, MI",249,4,4998,2003,1615,227,1640,225,0,2003,"Portland, MI",1,0,0,0,0,1,0,0,0,0,0,0.071,157,53.7
1005,"Allegan, MI",249,4,4998,2004,1640,225,1542,218,0,2003,"Portland, MI",1,1,0,0,0,0,1,0,0,0,0,0.071,158,53.7
1005,"Allegan, MI",249,4,4998,2005,1542,218,1548,222,0,2003,"Portland, MI",1,2,0,0,0,0,0,1,0,0,0,0.071,159,53.7
1005,"Allegan, MI",249,4,4998,2006,1548,222,1713,210,0,2003,"Portland, MI",1,3,0,0,0,0,0,0,1,0,0,0.071,160,53.7
1005,"Allegan, MI",249,4,4998,2007,1713,210,1652,204,0,2003,"Portland, MI",1,4,0,0,0,0,0,0,0,1,0,0.071,161,53.7
1005,"Allegan, MI",249,4,4998,2008,1652,204,1563,196,0,2003,"Portland, MI",1,5,0,0,0,0,0,0,0,0,1,0.071,162,53.7
1006,"Allegan, MI",249,4,4998,2007,1713,210,1652,204,0,2010,"Wayland, MI",0,-3,1,0,0,0,0,0,0,0,0,0.071,161,14.6
1006,"Allegan, MI",249,4,4998,2008,1652,204,1563,196,0,2010,"Wayland, MI",0,-2,0,1,0,0,0,0,0,0,0,0.071,162,14.6
1006,"Allegan, MI",249,4,4998,2009,1563,196,1526,186,0,2010,"Wayland, MI",0,-1,0,0,1,0,0,0,0,0,0,0.071,163,14.6
1006,"Allegan, MI",249,4,4998,2010,1526,186,1469,193,0,2010,"Wayland, MI",1,0,0,0,0,1,0,0,0,0,0,0.071,164,14.6
1006,"Allegan, MI",249,4,4998,2011,1469,193,1587,204,0,2010,"Wayland, MI",1,1,0,0,0,0,1,0,0,0,0,0.071,165,14.6
1006,"Allegan, MI",249,4,4998,2012,1587,204,1702,204,0,2010,"Wayland, MI",1,2,0,0,0,0,0,1,0,0,0,0.071,166,14.6
1006,"Allegan, MI",249,4,4998,2013,1702,204,1622,195,0,2010,"Wayland, MI",1,3,0,0,0,0,0,0,1,0,0,0.071,167,14.6
1006,"Allegan, MI",249,4,4998,2014,1622,195,1523,198,0,2010,"Wayland, MI",1,4,0,0,0,0,0,0,0,1,0,0.071,168,14.6
1006,"Allegan, MI",249,4,4998,2015,1523,198,1345,188,0,2010,"Wayland, MI",1,5,0,0,0,0,0,0,0,0,1,0.071,169,14.6
1007,"Ames, IA",15,3,58965,2006,7278,592,8838,727,1,2009,"Ames, IA",0,-3,1,0,0,0,0,0,0,0,0,1,28,0
1007,"Ames, IA",15,3,58965,2007,8838,727,8894,697,1,2009,"Ames, IA",0,-2,0,1,0,0,0,0,0,0,0,1,29,0
1007,"Ames, IA",15,3,58965,2008,8894,697,8503,700,1,2009,"Ames, IA",0,-1,0,0,1,0,0,0,0,0,0,1,30,0
1007,"Ames, IA",15,3,58965,2009,8503,700,9571,725,1,2009,"Ames, IA",1,0,0,0,0,1,0,0,0,0,0,1,31,0
1007,"Ames, IA",15,3,58965,2010,9571,725,8473,708,1,2009,"Ames, IA",1,1,0,0,0,0,1,0,0,0,0,1,32,0
1007,"Ames, IA",15,3,58965,2011,8473,708,8213,747,1,2009,"Ames, IA",1,2,0,0,0,0,0,1,0,0,0,1,33,0
1007,"Ames, IA",15,3,58965,2012,8213,747,8556,741,1,2009,"Ames, IA",1,3,0,0,0,0,0,0,1,0,0,1,34,0
1007,"Ames, IA",15,3,58965,2013,8556,741,8990,768,1,2009,"Ames, IA",1,4,0,0,0,0,0,0,0,1,0,1,35,0
