id,town,cz,rucc,pop_2010,cal_yr,treated,treatment_year,treated_match,match_distance,post,rel_yr,rel_yr_m3,rel_yr_m2,rel_yr_m1,rel_yr_0,rel_yr_1,rel_yr_2,rel_yr_3,rel_yr_4,rel_yr_5,cz_yr,weights
1001,"Ackley, IA",561,6,1589,1987,0,1990,"Iowa Falls, IA",11.1,0,-3,1,0,0,0,0,0,0,0,0,354,0.5
1001,"Ackley, IA",561,6,1589,1988,0,1990,"Iowa Falls, IA",11.1,0,-2,0,1,0,0,0,0,0,0,0,355,0.5
1001,"Ackley, IA",561,6,1589,1989,0,1990,"Iowa Falls, IA",11.1,0,-1,0,0,1,0,0,0,0,0,0,356,0.5
1001,"Ackley, IA",561,6,1589,1990,0,1990,"Iowa Falls, IA",11.1,1,0,0,0,0,1,0,0,0,0,0,357,0.5
1001,"Ackley, IA",561,6,1589,1991,0,1990,"Iowa Falls, IA",11.1,1,1,0,0,0,0,1,0,0,0,0,358,0.5
1001,"Ackley, IA",561,6,1589,1992,0,1990,"Iowa Falls, IA",11.1,1,2,0,0,0,0,0,1,0,0,0,359,0.5
1001,"Ackley, IA",561,6,1589,1993,0,1990,"Iowa Falls, IA",11.1,1,3,0,0,0,0,0,0,1,0,0,360,0.5
1001,"Ackley, IA",561,6,1589,1994,0,1990,"Iowa Falls, IA",11.1,1,4,0,0,0,0,0,0,0,1,0,361,0.5
1001,"Ackley, IA",561,6,1589,1995,0,1990,"Iowa Falls, IA",11.1,1,5,0,0,0,0,0,0,0,0,1,362,0.5
1002,"Afton, IA",509,6,845,1994,0,1997,"Osceola, IA",22.5,0,-3,1,0,0,0,0,0,0,0,0,318,0.333
1002,"Afton, IA",509,6,845,1995,0,1997,"Osceola, IA",22.5,0,-2,0,1,0,0,0,0,0,0,0,319,0.333
1002,"Afton, IA",509,6,845,1996,0,1997,"Osceola, IA",22.5,0,-1,0,0,1,0,0,0,0,0,0,320,0.333
1002,"Afton, IA",509,6,845,1997,0,1997,"Osceola, IA",22.5,1,0,0,0,0,1,0,0,0,0,0,321,0.333
1002,"Afton, IA",509,6,845,1998,0,1997,"Osceola, IA",22.5,1,1,0,0,0,0,1,0,0,0,0,322,0.333
1002,"Afton, IA",509,6,845,1999,0,1997,"Osceola, IA",22.5,1,2,0,0,0,0,0,1,0,0,0,323,0.333
1002,"Afton, IA",509,6,845,2000,0,1997,"Osceola, IA",22.5,1,3,0,0,0,0,0,0,1,0,0,324,0.333
1002,"Afton, IA",509,6,845,2001,0,1997,"Osceola, IA",22.5,1,4,0,0,0,0,0,0,0,1,0,325,0.333
1002,"Afton, IA",509,6,845,2002,0,1997,"Osceola, IA",22.5,1,5,0,0,0,0,0,0,0,0,1,326,0.333
1003,"Akron, IA",4,3,1486,1992,0,1995,"Le Mars, IA",20.1,0,-3,1,0,0,0,0,0,0,0,0,1,0.1
1003,"Akron, IA",4,3,1486,1993,0,1995,"Le Mars, IA",20.1,0,-2,0,1,0,0,0,0,0,0,0,2,0.1
1003,"Akron, IA",4,3,1486,1994,0,1995,"Le Mars, IA",20.1,0,-1,0,0,1,0,0,0,0,0,0,3,0.1
1003,"Akron, IA",4,3,1486,1995,0,1995,"Le Mars, IA",20.1,1,0,0,0,0,1,0,0,0,0,0,4,0.1
