city_fips,year,name,st,cty_fips,cbsa_fips,cz,rucc,pop_2010,msp,msp_yr,msp_accr,msp_affl,cty_seat,buffer_0,buffer_1,buffer_2,buffer_3,buffer_4,buffer_5
1900190,1997,Ackley,Iowa,19083,0,561,6,1589,0,0,0,0,0,301,377,14,0,2,1
1900190,1998,Ackley,Iowa,19083,0,561,6,1589,0,0,0,0,0,321,351,13,0,2,0
1900190,1999,Ackley,Iowa,19083,0,561,6,1589,0,0,0,0,0,311,332,8,0,2,0
1900190,2000,Ackley,Iowa,19083,0,561,6,1589,0,0,0,0,0,325,361,7,0,2,0
1900190,2001,Ackley,Iowa,19083,0,561,6,1589,0,0,0,0,0,315,404,13,1,2,0
1900190,2002,Ackley,Iowa,19083,0,561,6,1589,0,0,0,0,0,292,418,14,1,2,0
1900190,2003,Ackley,Iowa,19083,0,561,6,1589,0,0,0,0,0,244,422,25,1,2,0
1900190,2004,Ackley,Iowa,19083,0,561,6,1589,0,0,0,0,0,235,424,35,1,2,0
1900190,2005,Ackley,Iowa,19083,0,561,6,1589,0,0,0,0,0,242,417,36,1,2,0
1900190,2006,Ackley,Iowa,19083,0,561,6,1589,0,0,0,0,0,238,404,23,1,2,0
1900190,2007,Ackley,Iowa,19083,0,561,6,1589,0,0,0,0,0,222,400,24,1,3,0
1900190,2008,Ackley,Iowa,19083,0,561,6,1589,0,0,0,0,0,248,406,25,1,3,0
1900190,2009,Ackley,Iowa,19083,0,561,6,1589,0,0,0,0,0,246,400,35,1,2,0
1900190,2010,Ackley,Iowa,19083,0,561,6,1589,0,0,0,0,0,189,423,25,39,4,0
1900190,2011,Ackley,Iowa,19083,0,561,6,1589,0,0,0,0,0,180,410,22,38,4,0
1900190,2012,Ackley,Iowa,19083,0,561,6,1589,0,0,0,0,0,263,428,25,39,5,0
1900190,2013,Ackley,Iowa,19083,0,561,6,1589,0,0,0,0,0,223,457,18,41,3,23
1900190,2014,Ackley,Iowa,19083,0,561,6,1589,0,0,0,0,0,214,404,20,35,5,21
1900190,2015,Ackley,Iowa,19083,0,561,6,1589,0,0,0,0,0,193,405,21,40,6,21
1900190,2016,Ackley,Iowa,19083,0,561,6,1589,0,0,0,0,0,209,406,31,43,6,15
1900190,2017,Ackley,Iowa,19083,0,561,6,1589,0,0,0,0,0,208,399,32,46,4,15
1900190,2018,Ackley,Iowa,19083,0,561,6,1589,0,0,0,0,0,182,395,35,46,2,4
1900595,1997,Afton,Iowa,19175,0,509,6,845,0,0,0,0,0,119,48,72,123,64,0
1900595,1998,Afton,Iowa,19175,0,509,6,845,0,0,0,0,0,40,281,70,125,0,0
1900595,1999,Afton,Iowa,19175,0,509,6,845,0,0,0,0,0,45,160,70,121,100,0
1900595,2000,Afton,Iowa,19175,0,509,6,845,0,0,0,0,0,42,160,73,121,100,0
1900595,2001,Afton,Iowa,19175,0,509,6,845,0,0,0,0,0,61,148,72,50,126,0
1900595,2002,Afton,Iowa,19175,0,509,6,845,0,0,0,0,0,51,128,75,100,142,0
1900595,2003,Afton,Iowa,19175,0,509,6,845,0,0,0,0,0,138,43,93,100,142,0
1900595,2004,Afton,Iowa,19175,0,509,6,845,0,0,0,0,0,102,42,88,100,142,0
1900595,2005,Afton,Iowa,19175,0,509,6,845,0,0,0,0,0,108,48,100,50,142,0
1900595,2006,Afton,Iowa,19175,0,509,6,845,0,0,0,0,0,160,49,90,50,142,0
1900595,2007,Afton,Iowa,19175,0,509,6,845,0,0,0,0,0,151,70,84,85,142,0
1900595,2008,Afton,Iowa,19175,0,509,6,845,0,0,0,0,0,105,71,78,85,142,0
1900595,2009,Afton,Iowa,19175,0,509,6,845,0,0,0,0,0,107,62,82,8,142,0
1900595,2010,Afton,Iowa,19175,0,509,6,845,0,0,0,0,0,103,58,79,8,142,0
1900595,2011,Afton,Iowa,19175,0,509,6,845,0,0,0,0,0,85,64,78,8,142,0
1900595,2012,Afton,Iowa,19175,0,509,6,845,0,0,0,0,0,85,76,79,8,142,0
1900595,2013,Afton,Iowa,19175,0,509,6,845,0,0,0,0,0,100,143,79,8,126,0
1900595,2014,Afton,Iowa,19175,0,509,6,845,0,0,0,0,0,91,65,79,35,146,0
1900595,2015,Afton,Iowa,19175,0,509,6,845,0,0,0,0,0,96,67,78,150,5,0
1900595,2016,Afton,Iowa,19175,0,509,6,845,0,0,0,0,0,92,50,95,150,4,0
