id,town,cz,rucc,pop_2010,cal_yr,jobs,jobs_lead,treated,treatment_year,treated_match,match_distance,post,rel_yr,rel_yr_m3,rel_yr_m2,rel_yr_m1,rel_yr_0,rel_yr_1,rel_yr_2,rel_yr_3,rel_yr_4,rel_yr_5,cz_yr,weights
1001,"Adrian, MI",513,4,21133,2007,3496,2950,0,2010,Blissfield,10.1,0,-3,1,0,0,0,0,0,0,0,0,502,0.111
1001,"Adrian, MI",513,4,21133,2008,2950,2964,0,2010,Blissfield,10.1,0,-2,0,1,0,0,0,0,0,0,0,503,0.111
1001,"Adrian, MI",513,4,21133,2009,2964,2987,0,2010,Blissfield,10.1,0,-1,0,0,1,0,0,0,0,0,0,504,0.111
1001,"Adrian, MI",513,4,21133,2010,2987,2665,0,2010,Blissfield,10.1,1,0,0,0,0,1,0,0,0,0,0,505,0.111
1001,"Adrian, MI",513,4,21133,2011,2665,3020,0,2010,Blissfield,10.1,1,1,0,0,0,0,1,0,0,0,0,506,0.111
1001,"Adrian, MI",513,4,21133,2012,3020,2956,0,2010,Blissfield,10.1,1,2,0,0,0,0,0,1,0,0,0,507,0.111
1001,"Adrian, MI",513,4,21133,2013,2956,3076,0,2010,Blissfield,10.1,1,3,0,0,0,0,0,0,1,0,0,508,0.111
1001,"Adrian, MI",513,4,21133,2014,3076,2518,0,2010,Blissfield,10.1,1,4,0,0,0,0,0,0,0,1,0,509,0.111
1001,"Adrian, MI",513,4,21133,2015,2518,2711,0,2010,Blissfield,10.1,1,5,0,0,0,0,0,0,0,0,1,510,0.111
1002,"Albion, MI",284,3,8616,2000,1054,1049,0,2003,Portland,43.8,0,-3,1,0,0,0,0,0,0,0,0,265,0.2
1002,"Albion, MI",284,3,8616,2001,1049,1053,0,2003,Portland,43.8,0,-2,0,1,0,0,0,0,0,0,0,266,0.2
1002,"Albion, MI",284,3,8616,2002,1053,1106,0,2003,Portland,43.8,0,-1,0,0,1,0,0,0,0,0,0,267,0.2
1002,"Albion, MI",284,3,8616,2003,1106,1036,0,2003,Portland,43.8,1,0,0,0,0,1,0,0,0,0,0,268,0.2
1002,"Albion, MI",284,3,8616,2004,1036,1049,0,2003,Portland,43.8,1,1,0,0,0,0,1,0,0,0,0,269,0.2
1002,"Albion, MI",284,3,8616,2005,1049,1105,0,2003,Portland,43.8,1,2,0,0,0,0,0,1,0,0,0,270,0.2
1002,"Albion, MI",284,3,8616,2006,1105,1105,0,2003,Portland,43.8,1,3,0,0,0,0,0,0,1,0,0,271,0.2
1002,"Albion, MI",284,3,8616,2007,1105,1184,0,2003,Portland,43.8,1,4,0,0,0,0,0,0,0,1,0,272,0.2
1002,"Albion, MI",284,3,8616,2008,1184,1195,0,2003,Portland,43.8,1,5,0,0,0,0,0,0,0,0,1,273,0.2
1003,"Allegan, MI",249,4,4998,2009,1275,1232,0,2012,Otsego,9.1,0,-3,1,0,0,0,0,0,0,0,0,232,0.333
1003,"Allegan, MI",249,4,4998,2010,1232,1214,0,2012,Otsego,9.1,0,-2,0,1,0,0,0,0,0,0,0,233,0.333
1003,"Allegan, MI",249,4,4998,2011,1214,1318,0,2012,Otsego,9.1,0,-1,0,0,1,0,0,0,0,0,0,234,0.333
1003,"Allegan, MI",249,4,4998,2012,1318,1308,0,2012,Otsego,9.1,1,0,0,0,0,1,0,0,0,0,0,235,0.333
1003,"Allegan, MI",249,4,4998,2013,1308,1390,0,2012,Otsego,9.1,1,1,0,0,0,0,1,0,0,0,0,236,0.333
1003,"Allegan, MI",249,4,4998,2014,1390,1292,0,2012,Otsego,9.1,1,2,0,0,0,0,0,1,0,0,0,237,0.333
1003,"Allegan, MI",249,4,4998,2015,1292,1101,0,2012,Otsego,9.1,1,3,0,0,0,0,0,0,1,0,0,238,0.333
1003,"Allegan, MI",249,4,4998,2016,1101,1057,0,2012,Otsego,9.1,1,4,0,0,0,0,0,0,0,1,0,239,0.333
1003,"Allegan, MI",249,4,4998,2017,1057,1033,0,2012,Otsego,9.1,1,5,0,0,0,0,0,0,0,0,1,240,0.333
1004,"Alma, MI",352,6,9383,2006,1044,1423,0,2009,Owosso,36.1,0,-3,1,0,0,0,0,0,0,0,0,319,0.111
1004,"Alma, MI",352,6,9383,2007,1423,1324,0,2009,Owosso,36.1,0,-2,0,1,0,0,0,0,0,0,0,320,0.111
1004,"Alma, MI",352,6,9383,2008,1324,1337,0,2009,Owosso,36.1,0,-1,0,0,1,0,0,0,0,0,0,321,0.111
1004,"Alma, MI",352,6,9383,2009,1337,1281,0,2009,Owosso,36.1,1,0,0,0,0,1,0,0,0,0,0,322,0.111
1004,"Alma, MI",352,6,9383,2010,1281,1295,0,2009,Owosso,36.1,1,1,0,0,0,0,1,0,0,0,0,323,0.111
1004,"Alma, MI",352,6,9383,2011,1295,1428,0,2009,Owosso,36.1,1,2,0,0,0,0,0,1,0,0,0,324,0.111
1004,"Alma, MI",352,6,9383,2012,1428,1416,0,2009,Owosso,36.1,1,3,0,0,0,0,0,0,1,0,0,325,0.111
1004,"Alma, MI",352,6,9383,2013,1416,1377,0,2009,Owosso,36.1,1,4,0,0,0,0,0,0,0,1,0,326,0.111
1004,"Alma, MI",352,6,9383,2014,1377,1159,0,2009,Owosso,36.1,1,5,0,0,0,0,0,0,0,0,1,327,0.111
1005,"Ames, IA",15,3,58965,2006,4907,5798,1,2009,Ames,0,0,-3,1,0,0,0,0,0,0,0,0,28,1
1005,"Ames, IA",15,3,58965,2007,5798,5967,1,2009,Ames,0,0,-2,0,1,0,0,0,0,0,0,0,29,1
1005,"Ames, IA",15,3,58965,2008,5967,5563,1,2009,Ames,0,0,-1,0,0,1,0,0,0,0,0,0,30,1
1005,"Ames, IA",15,3,58965,2009,5563,5613,1,2009,Ames,0,1,0,0,0,0,1,0,0,0,0,0,31,1
1005,"Ames, IA",15,3,58965,2010,5613,5363,1,2009,Ames,0,1,1,0,0,0,0,1,0,0,0,0,32,1
1005,"Ames, IA",15,3,58965,2011,5363,5208,1,2009,Ames,0,1,2,0,0,0,0,0,1,0,0,0,33,1
