id,town,cz,rucc,pop_2010,cal_yr,jobs,ests,jobs_lead,ests_lead,treated,treatment_year,treated_match,post,rel_yr,rel_yr_m3,rel_yr_m2,rel_yr_m1,rel_yr_0,rel_yr_1,rel_yr_2,rel_yr_3,rel_yr_4,rel_yr_5,weights,cz_yr,distance
1001,"Adrian, MI",513,4,21133,2007,579,78,435,80,0,2010,"Blissfield, MI",0,-3,1,0,0,0,0,0,0,0,0,0.1,277,10.1
1001,"Adrian, MI",513,4,21133,2008,435,80,407,75,0,2010,"Blissfield, MI",0,-2,0,1,0,0,0,0,0,0,0,0.1,278,10.1
1001,"Adrian, MI",513,4,21133,2009,407,75,392,70,0,2010,"Blissfield, MI",0,-1,0,0,1,0,0,0,0,0,0,0.1,279,10.1
1001,"Adrian, MI",513,4,21133,2010,392,70,297,46,0,2010,"Blissfield, MI",1,0,0,0,0,1,0,0,0,0,0,0.1,280,10.1
1001,"Adrian, MI",513,4,21133,2011,297,46,437,67,0,2010,"Blissfield, MI",1,1,0,0,0,0,1,0,0,0,0,0.1,281,10.1
1001,"Adrian, MI",513,4,21133,2012,437,67,665,66,0,2010,"Blissfield, MI",1,2,0,0,0,0,0,1,0,0,0,0.1,282,10.1
1001,"Adrian, MI",513,4,21133,2013,665,66,444,76,0,2010,"Blissfield, MI",1,3,0,0,0,0,0,0,1,0,0,0.1,283,10.1
1001,"Adrian, MI",513,4,21133,2014,444,76,437,79,0,2010,"Blissfield, MI",1,4,0,0,0,0,0,0,0,1,0,0.1,284,10.1
1001,"Adrian, MI",513,4,21133,2015,437,79,545,79,0,2010,"Blissfield, MI",1,5,0,0,0,0,0,0,0,0,1,0.1,285,10.1
1002,"Albia, IA",393,7,3766,2003,323,54,315,55,0,2006,"Ottumwa, IA",0,-3,1,0,0,0,0,0,0,0,0,0.111,214,20.8
1002,"Albia, IA",393,7,3766,2004,315,55,284,50,0,2006,"Ottumwa, IA",0,-2,0,1,0,0,0,0,0,0,0,0.111,215,20.8
1002,"Albia, IA",393,7,3766,2005,284,50,207,46,0,2006,"Ottumwa, IA",0,-1,0,0,1,0,0,0,0,0,0,0.111,216,20.8
1002,"Albia, IA",393,7,3766,2006,207,46,186,40,0,2006,"Ottumwa, IA",1,0,0,0,0,1,0,0,0,0,0,0.111,217,20.8
1002,"Albia, IA",393,7,3766,2007,186,40,222,46,0,2006,"Ottumwa, IA",1,1,0,0,0,0,1,0,0,0,0,0.111,218,20.8
1002,"Albia, IA",393,7,3766,2008,222,46,201,43,0,2006,"Ottumwa, IA",1,2,0,0,0,0,0,1,0,0,0,0.111,219,20.8
1002,"Albia, IA",393,7,3766,2009,201,43,195,43,0,2006,"Ottumwa, IA",1,3,0,0,0,0,0,0,1,0,0,0.111,220,20.8
1002,"Albia, IA",393,7,3766,2010,195,43,133,28,0,2006,"Ottumwa, IA",1,4,0,0,0,0,0,0,0,1,0,0.111,221,20.8
1002,"Albia, IA",393,7,3766,2011,133,28,167,38,0,2006,"Ottumwa, IA",1,5,0,0,0,0,0,0,0,0,1,0.111,222,20.8
1003,"Allegan, MI",249,4,4998,2007,364,46,314,45,0,2010,"Hart, MI",0,-3,1,0,0,0,0,0,0,0,0,0.071,161,85.2
1003,"Allegan, MI",249,4,4998,2008,314,45,274,39,0,2010,"Hart, MI",0,-2,0,1,0,0,0,0,0,0,0,0.071,162,85.2
1003,"Allegan, MI",249,4,4998,2009,274,39,266,38,0,2010,"Hart, MI",0,-1,0,0,1,0,0,0,0,0,0,0.071,163,85.2
1003,"Allegan, MI",249,4,4998,2010,266,38,202,39,0,2010,"Hart, MI",1,0,0,0,0,1,0,0,0,0,0,0.071,164,85.2
1003,"Allegan, MI",249,4,4998,2011,202,39,301,44,0,2010,"Hart, MI",1,1,0,0,0,0,1,0,0,0,0,0.071,165,85.2
1003,"Allegan, MI",249,4,4998,2012,301,44,305,45,0,2010,"Hart, MI",1,2,0,0,0,0,0,1,0,0,0,0.071,166,85.2
1003,"Allegan, MI",249,4,4998,2013,305,45,294,43,0,2010,"Hart, MI",1,3,0,0,0,0,0,0,1,0,0,0.071,167,85.2
1003,"Allegan, MI",249,4,4998,2014,294,43,279,39,0,2010,"Hart, MI",1,4,0,0,0,0,0,0,0,1,0,0.071,168,85.2
1003,"Allegan, MI",249,4,4998,2015,279,39,286,38,0,2010,"Hart, MI",1,5,0,0,0,0,0,0,0,0,1,0.071,169,85.2
1004,"Allegan, MI",249,4,4998,2009,274,39,266,38,0,2012,"Otsego, MI",0,-3,1,0,0,0,0,0,0,0,0,0.071,163,9.1
1004,"Allegan, MI",249,4,4998,2010,266,38,202,39,0,2012,"Otsego, MI",0,-2,0,1,0,0,0,0,0,0,0,0.071,164,9.1
1004,"Allegan, MI",249,4,4998,2011,202,39,301,44,0,2012,"Otsego, MI",0,-1,0,0,1,0,0,0,0,0,0,0.071,165,9.1
1004,"Allegan, MI",249,4,4998,2012,301,44,305,45,0,2012,"Otsego, MI",1,0,0,0,0,1,0,0,0,0,0,0.071,166,9.1
1004,"Allegan, MI",249,4,4998,2013,305,45,294,43,0,2012,"Otsego, MI",1,1,0,0,0,0,1,0,0,0,0,0.071,167,9.1
1004,"Allegan, MI",249,4,4998,2014,294,43,279,39,0,2012,"Otsego, MI",1,2,0,0,0,0,0,1,0,0,0,0.071,168,9.1
1004,"Allegan, MI",249,4,4998,2015,279,39,286,38,0,2012,"Otsego, MI",1,3,0,0,0,0,0,0,1,0,0,0.071,169,9.1
1004,"Allegan, MI",249,4,4998,2016,286,38,321,38,0,2012,"Otsego, MI",1,4,0,0,0,0,0,0,0,1,0,0.071,170,9.1
1004,"Allegan, MI",249,4,4998,2017,321,38,338,39,0,2012,"Otsego, MI",1,5,0,0,0,0,0,0,0,0,1,0.071,171,9.1
1005,"Allegan, MI",249,4,4998,2000,2877,46,382,47,0,2003,"Portland, MI",0,-3,1,0,0,0,0,0,0,0,0,0.071,154,53.7
1005,"Allegan, MI",249,4,4998,2001,382,47,323,46,0,2003,"Portland, MI",0,-2,0,1,0,0,0,0,0,0,0,0.071,155,53.7
1005,"Allegan, MI",249,4,4998,2002,323,46,392,51,0,2003,"Portland, MI",0,-1,0,0,1,0,0,0,0,0,0,0.071,156,53.7
1005,"Allegan, MI",249,4,4998,2003,392,51,364,58,0,2003,"Portland, MI",1,0,0,0,0,1,0,0,0,0,0,0.071,157,53.7
1005,"Allegan, MI",249,4,4998,2004,364,58,334,51,0,2003,"Portland, MI",1,1,0,0,0,0,1,0,0,0,0,0.071,158,53.7
1005,"Allegan, MI",249,4,4998,2005,334,51,327,47,0,2003,"Portland, MI",1,2,0,0,0,0,0,1,0,0,0,0.071,159,53.7
1005,"Allegan, MI",249,4,4998,2006,327,47,364,46,0,2003,"Portland, MI",1,3,0,0,0,0,0,0,1,0,0,0.071,160,53.7
1005,"Allegan, MI",249,4,4998,2007,364,46,314,45,0,2003,"Portland, MI",1,4,0,0,0,0,0,0,0,1,0,0.071,161,53.7
1005,"Allegan, MI",249,4,4998,2008,314,45,274,39,0,2003,"Portland, MI",1,5,0,0,0,0,0,0,0,0,1,0.071,162,53.7
1006,"Allegan, MI",249,4,4998,2007,364,46,314,45,0,2010,"Wayland, MI",0,-3,1,0,0,0,0,0,0,0,0,0.071,161,14.6
1006,"Allegan, MI",249,4,4998,2008,314,45,274,39,0,2010,"Wayland, MI",0,-2,0,1,0,0,0,0,0,0,0,0.071,162,14.6
1006,"Allegan, MI",249,4,4998,2009,274,39,266,38,0,2010,"Wayland, MI",0,-1,0,0,1,0,0,0,0,0,0,0.071,163,14.6
1006,"Allegan, MI",249,4,4998,2010,266,38,202,39,0,2010,"Wayland, MI",1,0,0,0,0,1,0,0,0,0,0,0.071,164,14.6
1006,"Allegan, MI",249,4,4998,2011,202,39,301,44,0,2010,"Wayland, MI",1,1,0,0,0,0,1,0,0,0,0,0.071,165,14.6
