name,year,cz,msp,msp_yr
Ackley,1997,561,0,0
Ackley,1998,561,0,0
Ackley,1999,561,0,0
Ackley,2000,561,0,0
Ackley,2001,561,0,0
Ackley,2002,561,0,0
Ackley,2003,561,0,0
Ackley,2004,561,0,0
Ackley,2005,561,0,0
Ackley,2006,561,0,0
Ackley,2007,561,0,0
Ackley,2008,561,0,0
Ackley,2009,561,0,0
Ackley,2010,561,0,0
Ackley,2011,561,0,0
Ackley,2012,561,0,0
Ackley,2013,561,0,0
Ackley,2014,561,0,0
Ackley,2015,561,0,0
Ackley,2016,561,0,0
Ackley,2017,561,0,0
Afton,1997,509,0,0
Afton,1998,509,0,0
Afton,1999,509,0,0
Afton,2000,509,0,0
Afton,2001,509,0,0
Afton,2002,509,0,0
Afton,2003,509,0,0
Afton,2004,509,0,0
Afton,2005,509,0,0
Afton,2006,509,0,0
Afton,2007,509,0,0
Afton,2008,509,0,0
Afton,2009,509,0,0
Afton,2010,509,0,0
Afton,2011,509,0,0
Afton,2012,509,0,0
Afton,2013,509,0,0
Afton,2014,509,0,0
Afton,2015,509,0,0
Afton,2016,509,0,0
Afton,2017,509,0,0
Akron,1997,4,0,0
Akron,1998,4,0,0
Akron,1999,4,0,0
Akron,2000,4,0,0
Akron,2001,4,0,0
Akron,2002,4,0,0
Akron,2003,4,0,0
Akron,2004,4,0,0
Akron,2005,4,0,0
Akron,2006,4,0,0
Akron,2007,4,0,0
Akron,2008,4,0,0
Akron,2009,4,0,0
Akron,2010,4,0,0
Akron,2011,4,0,0
Akron,2012,4,0,0
Akron,2013,4,0,0
Akron,2014,4,0,0
Akron,2015,4,0,0
Akron,2016,4,0,0
Akron,2017,4,0,0
Albia,1997,393,0,0
Albia,1998,393,0,0
Albia,1999,393,0,0
Albia,2000,393,0,0
Albia,2001,393,0,0
Albia,2002,393,0,0
Albia,2003,393,0,0
Albia,2004,393,0,0
Albia,2005,393,0,0
Albia,2006,393,0,0
Albia,2007,393,0,0
Albia,2008,393,0,0
Albia,2009,393,0,0
Albia,2010,393,0,0
Albia,2011,393,0,0
