id,town,cz,rucc,pop_2010,cal_yr,value,val_per_acre,treated,treatment_year,treated_match,match_distance,post,rel_yr,rel_yr_m3,rel_yr_m2,rel_yr_m1,rel_yr_0,rel_yr_1,rel_yr_2,rel_yr_3,rel_yr_4,rel_yr_5,cz_yr,weights
1008,"Appleton, WI",233,3,72623,2008,3326884100,581216.65,0,2011,Omro,22.7,0,-3,1,0,0,0,0,0,0,0,0,214,0.167
1008,"Appleton, WI",233,3,72623,2009,3358972100,585186.78,0,2011,Omro,22.7,0,-2,0,1,0,0,0,0,0,0,0,215,0.167
1008,"Appleton, WI",233,3,72623,2010,3339934400,579648.46,0,2011,Omro,22.7,0,-1,0,0,1,0,0,0,0,0,0,216,0.167
1008,"Appleton, WI",233,3,72623,2011,3361411700,583375.86,0,2011,Omro,22.7,1,0,0,0,0,1,0,0,0,0,0,217,0.167
1008,"Appleton, WI",233,3,72623,2012,3372982200,591855.1,0,2011,Omro,22.7,1,1,0,0,0,0,1,0,0,0,0,218,0.167
1008,"Appleton, WI",233,3,72623,2013,3384096700,593597.04,0,2011,Omro,22.7,1,2,0,0,0,0,0,1,0,0,0,219,0.167
1008,"Appleton, WI",233,3,72623,2014,3333822100,586424.29,0,2011,Omro,22.7,1,3,0,0,0,0,0,0,1,0,0,220,0.167
1008,"Appleton, WI",233,3,72623,2015,3359819300,593397.97,0,2011,Omro,22.7,1,4,0,0,0,0,0,0,0,1,0,221,0.167
1008,"Appleton, WI",233,3,72623,2016,3392464300,597475.22,0,2011,Omro,22.7,1,5,0,0,0,0,0,0,0,0,1,222,0.167
1060,"Edgerton, WI",545,3,5461,2003,152121200,233314.72,0,2006,Lake Mills,18.8,0,-3,1,0,0,0,0,0,0,0,0,520,0.2
1060,"Edgerton, WI",545,3,5461,2004,155793300,239313.82,0,2006,Lake Mills,18.8,0,-2,0,1,0,0,0,0,0,0,0,521,0.2
1060,"Edgerton, WI",545,3,5461,2005,160216700,240927.37,0,2006,Lake Mills,18.8,0,-1,0,0,1,0,0,0,0,0,0,522,0.2
1060,"Edgerton, WI",545,3,5461,2006,167308600,241426.55,0,2006,Lake Mills,18.8,1,0,0,0,0,1,0,0,0,0,0,523,0.2
1060,"Edgerton, WI",545,3,5461,2007,246277900,330574.36,0,2006,Lake Mills,18.8,1,1,0,0,0,0,1,0,0,0,0,524,0.2
1060,"Edgerton, WI",545,3,5461,2008,246884300,340530.07,0,2006,Lake Mills,18.8,1,2,0,0,0,0,0,1,0,0,0,525,0.2
1060,"Edgerton, WI",545,3,5461,2009,254903900,345866.89,0,2006,Lake Mills,18.8,1,3,0,0,0,0,0,0,1,0,0,526,0.2
1060,"Edgerton, WI",545,3,5461,2010,248377100,338388.42,0,2006,Lake Mills,18.8,1,4,0,0,0,0,0,0,0,1,0,527,0.2
1060,"Edgerton, WI",545,3,5461,2011,243219000,330012.21,0,2006,Lake Mills,18.8,1,5,0,0,0,0,0,0,0,0,1,528,0.2
1067,"Fort Atkinson, WI",70,4,12368,2003,394755800,379208.26,0,2006,Lake Mills,11.2,0,-3,1,0,0,0,0,0,0,0,0,88,0.2
1067,"Fort Atkinson, WI",70,4,12368,2004,400508600,385475.07,0,2006,Lake Mills,11.2,0,-2,0,1,0,0,0,0,0,0,0,89,0.2
1067,"Fort Atkinson, WI",70,4,12368,2005,412037000,386164.01,0,2006,Lake Mills,11.2,0,-1,0,0,1,0,0,0,0,0,0,90,0.2
1067,"Fort Atkinson, WI",70,4,12368,2006,573820900,553881.18,0,2006,Lake Mills,11.2,1,0,0,0,0,1,0,0,0,0,0,91,0.2
1067,"Fort Atkinson, WI",70,4,12368,2007,581294300,557864.01,0,2006,Lake Mills,11.2,1,1,0,0,0,0,1,0,0,0,0,92,0.2
1067,"Fort Atkinson, WI",70,4,12368,2008,587796000,555048.16,0,2006,Lake Mills,11.2,1,2,0,0,0,0,0,1,0,0,0,93,0.2
1067,"Fort Atkinson, WI",70,4,12368,2009,591207000,535513.59,0,2006,Lake Mills,11.2,1,3,0,0,0,0,0,0,1,0,0,94,0.2
1067,"Fort Atkinson, WI",70,4,12368,2010,596410700,540227.08,0,2006,Lake Mills,11.2,1,4,0,0,0,0,0,0,0,1,0,95,0.2
1067,"Fort Atkinson, WI",70,4,12368,2011,597854500,546984.9,0,2006,Lake Mills,11.2,1,5,0,0,0,0,0,0,0,0,1,96,0.2
1088,"Jefferson, WI",70,4,7973,2003,403187085,143024.86,0,2006,Lake Mills,7.4,0,-3,1,0,0,0,0,0,0,0,0,88,0.2
1088,"Jefferson, WI",70,4,7973,2004,415697185,146630.4,0,2006,Lake Mills,7.4,0,-2,0,1,0,0,0,0,0,0,0,89,0.2
1088,"Jefferson, WI",70,4,7973,2005,457004100,158242.42,0,2006,Lake Mills,7.4,0,-1,0,0,1,0,0,0,0,0,0,90,0.2
1088,"Jefferson, WI",70,4,7973,2006,511316000,153226.25,0,2006,Lake Mills,7.4,1,0,0,0,0,1,0,0,0,0,0,91,0.2
1088,"Jefferson, WI",70,4,7973,2007,558177192,152590.81,0,2006,Lake Mills,7.4,1,1,0,0,0,0,1,0,0,0,0,92,0.2
1088,"Jefferson, WI",70,4,7973,2008,580460330,173530.74,0,2006,Lake Mills,7.4,1,2,0,0,0,0,0,1,0,0,0,93,0.2
1088,"Jefferson, WI",70,4,7973,2009,581511630,172453.03,0,2006,Lake Mills,7.4,1,3,0,0,0,0,0,0,1,0,0,94,0.2
1088,"Jefferson, WI",70,4,7973,2010,569075880,168465.33,0,2006,Lake Mills,7.4,1,4,0,0,0,0,0,0,0,1,0,95,0.2
1088,"Jefferson, WI",70,4,7973,2011,559763480,166151.23,0,2006,Lake Mills,7.4,1,5,0,0,0,0,0,0,0,0,1,96,0.2
1093,"Lake Mills, WI",70,4,5708,2003,338454600,287312.9,1,2006,Lake Mills,0,0,-3,1,0,0,0,0,0,0,0,0,88,1
1093,"Lake Mills, WI",70,4,5708,2004,351177500,292647.92,1,2006,Lake Mills,0,0,-2,0,1,0,0,0,0,0,0,0,89,1
1093,"Lake Mills, WI",70,4,5708,2005,502751712,300509.09,1,2006,Lake Mills,0,0,-1,0,0,1,0,0,0,0,0,0,90,1
1093,"Lake Mills, WI",70,4,5708,2006,520227300,305836.16,1,2006,Lake Mills,0,1,0,0,0,0,1,0,0,0,0,0,91,1
1093,"Lake Mills, WI",70,4,5708,2007,528976500,310068.29,1,2006,Lake Mills,0,1,1,0,0,0,0,1,0,0,0,0,92,1
1093,"Lake Mills, WI",70,4,5708,2008,539038800,312848.98,1,2006,Lake Mills,0,1,2,0,0,0,0,0,1,0,0,0,93,1
1093,"Lake Mills, WI",70,4,5708,2009,544514300,313841.1,1,2006,Lake Mills,0,1,3,0,0,0,0,0,0,1,0,0,94,1
1093,"Lake Mills, WI",70,4,5708,2010,563172900,320896.24,1,2006,Lake Mills,0,1,4,0,0,0,0,0,0,0,1,0,95,1
1093,"Lake Mills, WI",70,4,5708,2011,594500700,335876.1,1,2006,Lake Mills,0,1,5,0,0,0,0,0,0,0,0,1,96,1
1113,"Menasha, WI",233,3,17353,2008,1555600800,409045.7,0,2011,Omro,18.4,0,-3,1,0,0,0,0,0,0,0,0,214,0.167
1113,"Menasha, WI",233,3,17353,2009,1572203800,413737.84,0,2011,Omro,18.4,0,-2,0,1,0,0,0,0,0,0,0,215,0.167
1113,"Menasha, WI",233,3,17353,2010,1585958000,419011.36,0,2011,Omro,18.4,0,-1,0,0,1,0,0,0,0,0,0,216,0.167
