id,town,cz,rucc,pop_2010,cal_yr,value,val_per_acre,treated,treatment_year,treated_match,post,rel_yr,rel_yr_m3,rel_yr_m2,rel_yr_m1,rel_yr_0,rel_yr_1,rel_yr_2,rel_yr_3,rel_yr_4,rel_yr_5,weights,cz_yr,distance
1009,"Appleton, WI",233,3,72623,2008,3326884100,581216.65,0,2011,"Omro, WI",0,-3,1,0,0,0,0,0,0,0,0,0.043,145,22.7
1009,"Appleton, WI",233,3,72623,2009,3358972100,585186.78,0,2011,"Omro, WI",0,-2,0,1,0,0,0,0,0,0,0,0.043,146,22.7
1009,"Appleton, WI",233,3,72623,2010,3339934400,579648.46,0,2011,"Omro, WI",0,-1,0,0,1,0,0,0,0,0,0,0.043,147,22.7
1009,"Appleton, WI",233,3,72623,2011,3361411700,583375.86,0,2011,"Omro, WI",1,0,0,0,0,1,0,0,0,0,0,0.043,148,22.7
1009,"Appleton, WI",233,3,72623,2012,3372982200,591855.1,0,2011,"Omro, WI",1,1,0,0,0,0,1,0,0,0,0,0.043,149,22.7
1009,"Appleton, WI",233,3,72623,2013,3384096700,593597.04,0,2011,"Omro, WI",1,2,0,0,0,0,0,1,0,0,0,0.043,150,22.7
1009,"Appleton, WI",233,3,72623,2014,3333822100,586424.29,0,2011,"Omro, WI",1,3,0,0,0,0,0,0,1,0,0,0.043,151,22.7
1009,"Appleton, WI",233,3,72623,2015,3359819300,593397.97,0,2011,"Omro, WI",1,4,0,0,0,0,0,0,0,1,0,0.043,152,22.7
1009,"Appleton, WI",233,3,72623,2016,3392464300,597475.22,0,2011,"Omro, WI",1,5,0,0,0,0,0,0,0,0,1,0.043,153,22.7
1016,"Beaver Dam, WI",70,4,16214,2003,625997750,217360.33,0,2006,"Lake Mills, WI",0,-3,1,0,0,0,0,0,0,0,0,0.1,65,26.2
1016,"Beaver Dam, WI",70,4,16214,2004,714791600,255647.93,0,2006,"Lake Mills, WI",0,-2,0,1,0,0,0,0,0,0,0,0.1,66,26.2
1016,"Beaver Dam, WI",70,4,16214,2005,762651600,258001.22,0,2006,"Lake Mills, WI",0,-1,0,0,1,0,0,0,0,0,0,0.1,67,26.2
1016,"Beaver Dam, WI",70,4,16214,2006,810719000,263391.49,0,2006,"Lake Mills, WI",1,0,0,0,0,1,0,0,0,0,0,0.1,68,26.2
1016,"Beaver Dam, WI",70,4,16214,2007,852229600,273676.81,0,2006,"Lake Mills, WI",1,1,0,0,0,0,1,0,0,0,0,0.1,69,26.2
1016,"Beaver Dam, WI",70,4,16214,2008,853775766,273033.5,0,2006,"Lake Mills, WI",1,2,0,0,0,0,0,1,0,0,0,0.1,70,26.2
1016,"Beaver Dam, WI",70,4,16214,2009,853912406,270653.69,0,2006,"Lake Mills, WI",1,3,0,0,0,0,0,0,1,0,0,0.1,71,26.2
1016,"Beaver Dam, WI",70,4,16214,2010,832779349,265047.53,0,2006,"Lake Mills, WI",1,4,0,0,0,0,0,0,0,1,0,0.1,72,26.2
1016,"Beaver Dam, WI",70,4,16214,2011,808002780,257489.73,0,2006,"Lake Mills, WI",1,5,0,0,0,0,0,0,0,0,1,0.1,73,26.2
1024,"Berlin, WI",233,6,5524,2008,281539800,105052.16,0,2011,"Omro, WI",0,-3,1,0,0,0,0,0,0,0,0,0.043,145,11.3
1024,"Berlin, WI",233,6,5524,2009,283795300,106890.89,0,2011,"Omro, WI",0,-2,0,1,0,0,0,0,0,0,0,0.043,146,11.3
1024,"Berlin, WI",233,6,5524,2010,293566500,110696.27,0,2011,"Omro, WI",0,-1,0,0,1,0,0,0,0,0,0,0.043,147,11.3
1024,"Berlin, WI",233,6,5524,2011,296243900,109557.66,0,2011,"Omro, WI",1,0,0,0,0,1,0,0,0,0,0,0.043,148,11.3
1024,"Berlin, WI",233,6,5524,2012,296671300,110204.79,0,2011,"Omro, WI",1,1,0,0,0,0,1,0,0,0,0,0.043,149,11.3
1024,"Berlin, WI",233,6,5524,2013,292650500,108630.48,0,2011,"Omro, WI",1,2,0,0,0,0,0,1,0,0,0,0.043,150,11.3
1024,"Berlin, WI",233,6,5524,2014,292969900,109194.89,0,2011,"Omro, WI",1,3,0,0,0,0,0,0,1,0,0,0.043,151,11.3
1024,"Berlin, WI",233,6,5524,2015,292971700,109073.6,0,2011,"Omro, WI",1,4,0,0,0,0,0,0,0,1,0,0.043,152,11.3
1024,"Berlin, WI",233,6,5524,2016,294373200,109554.6,0,2011,"Omro, WI",1,5,0,0,0,0,0,0,0,0,1,0.043,153,11.3
1031,"Boscobel, WI",470,6,3231,2009,93277500,197621.82,0,2012,"Lansing, IA",0,-3,1,0,0,0,0,0,0,0,0,0.077,268,30.2
1031,"Boscobel, WI",470,6,3231,2010,93393600,197032.91,0,2012,"Lansing, IA",0,-2,0,1,0,0,0,0,0,0,0,0.077,269,30.2
1031,"Boscobel, WI",470,6,3231,2011,93570500,197823.47,0,2012,"Lansing, IA",0,-1,0,0,1,0,0,0,0,0,0,0.077,270,30.2
1031,"Boscobel, WI",470,6,3231,2012,93480800,197633.83,0,2012,"Lansing, IA",1,0,0,0,0,1,0,0,0,0,0,0.077,271,30.2
1031,"Boscobel, WI",470,6,3231,2013,93896500,198512.68,0,2012,"Lansing, IA",1,1,0,0,0,0,1,0,0,0,0,0.077,272,30.2
1031,"Boscobel, WI",470,6,3231,2014,94227000,199211.42,0,2012,"Lansing, IA",1,2,0,0,0,0,0,1,0,0,0,0.077,273,30.2
1031,"Boscobel, WI",470,6,3231,2015,94621200,200044.82,0,2012,"Lansing, IA",1,3,0,0,0,0,0,0,1,0,0,0.077,274,30.2
1031,"Boscobel, WI",470,6,3231,2016,95039600,201355.08,0,2012,"Lansing, IA",1,4,0,0,0,0,0,0,0,1,0,0.077,275,30.2
1031,"Boscobel, WI",470,6,3231,2017,95329700,201969.7,0,2012,"Lansing, IA",1,5,0,0,0,0,0,0,0,0,1,0.077,276,30.2
1038,"Brillion, WI",233,3,3148,2008,172984900,125442.28,0,2011,"Omro, WI",0,-3,1,0,0,0,0,0,0,0,0,0.043,145,35.1
1038,"Brillion, WI",233,3,3148,2009,174837000,123909.99,0,2011,"Omro, WI",0,-2,0,1,0,0,0,0,0,0,0,0.043,146,35.1
1038,"Brillion, WI",233,3,3148,2010,176767800,125545.31,0,2011,"Omro, WI",0,-1,0,0,1,0,0,0,0,0,0,0.043,147,35.1
1038,"Brillion, WI",233,3,3148,2011,178091700,125152.28,0,2011,"Omro, WI",1,0,0,0,0,1,0,0,0,0,0,0.043,148,35.1
