NAME,ST,stabbr,pop_2010,pop_2000,pop_1990,pop_1980,pop_1970,pop_1960,pop_1950,pop_1940,pop_1930,pop_1920,pop_1910,pop_1900
Aguilar,Colorado,co,538,593,520,624,699,777,1038,1397,1383,1236,858,698
Akron,Colorado,co,1702,1711,1599,1716,1775,1890,1605,1417,1135,1401,647,351
Alamosa,Colorado,co,8780,7960,7579,6830,6985,6205,5354,5613,5107,3171,3013,1141
Alma,Colorado,co,270,179,148,132,73,107,149,469,110,127,301,297
Antonito,Colorado,co,781,873,875,1103,1113,1045,1255,1220,858,946,681,347
Arriba,Colorado,co,193,244,220,236,254,296,367,286,337,334,0,0
Arvada,Colorado,co,106433,102153,89235,84576,49844,19242,2359,1482,1276,915,840,0
Aspen,Colorado,co,6658,5914,5049,3678,2437,1101,916,777,705,1265,1834,3303
Ault,Colorado,co,1519,1432,1107,1056,841,799,866,761,737,769,569,0
Aurora,Colorado,co,325078,276393,222103,158588,74974,48548,11421,3437,2295,983,679,202
Avon,Colorado,co,6447,5561,1798,640,0,0,0,0,0,0,0,0
Basalt,Colorado,co,3857,2681,1128,529,419,213,173,212,148,185,235,382
Bayfield,Colorado,co,2333,1549,1090,724,320,322,335,372,277,267,227,0
Bennett,Colorado,co,2308,2021,1757,942,613,287,272,199,211,0,0,0
Berthoud,Colorado,co,5105,4839,2990,2362,1446,1014,867,811,811,852,758,305
Bethune,Colorado,co,237,225,173,149,99,70,71,79,97,0,0,0
Black Hawk,Colorado,co,118,118,227,232,217,171,166,289,253,253,668,1200
Blanca,Colorado,co,385,391,272,252,212,233,376,407,252,380,0,0
Blue River,Colorado,co,849,685,440,230,8,0,0,0,0,0,0,0
Bonanza,Colorado,co,16,14,16,8,10,19,51,140,445,91,96,141
Boone,Colorado,co,339,323,341,431,448,548,0,0,0,0,0,0
Boulder,Colorado,co,97385,94673,83312,76685,66870,37718,19999,12958,11223,11006,9539,6150
Bow Mar,Colorado,co,866,847,854,930,945,748,0,0,0,0,0,0
Branson,Colorado,co,74,77,58,73,70,124,157,250,237,0,0,0
Breckenridge,Colorado,co,4540,2408,1285,818,548,393,296,381,436,796,834,976
Brighton,Colorado,co,33352,20905,14203,12773,8309,7055,4336,4029,3394,2715,850,366
Brookside,Colorado,co,233,219,183,178,173,163,175,196,198,202,0,0
Broomfield,Colorado,co,55889,38272,24638,20730,7261,4535,0,0,0,0,0,0
Brush,Colorado,co,5463,5117,4165,4082,3377,3621,2431,2481,2312,2103,997,381
Buena Vista,Colorado,co,2617,2195,1752,2075,1962,1806,783,779,751,903,1041,1006
Burlington,Colorado,co,4254,3678,2941,3107,2828,2090,2247,1280,1280,991,368,183
Calhan,Colorado,co,780,896,562,541,465,347,375,352,399,0,0,0
Campo,Colorado,co,109,150,121,185,206,235,266,0,0,0,0,0
Canon City,Colorado,co,16400,15431,12687,13037,9206,8973,6345,6690,5938,4551,5162,3775
Carbondale,Colorado,co,6427,5196,3004,2084,726,612,441,437,283,310,284,173
Castle Pines,Colorado,co,0,0,0,0,0,0,0,0,0,0,0,0
Castle Rock,Colorado,co,48231,20224,8708,3921,1531,1152,741,580,478,461,365,304
Cedaredge,Colorado,co,2253,1854,1380,1184,581,549,574,556,463,455,295,0
Centennial,Colorado,co,100377,0,0,0,0,0,0,0,0,0,0,0
Center,Colorado,co,2230,2392,1963,1630,1470,1600,2024,1515,1011,547,385,0
Central,Colorado,co,663,515,335,329,228,250,371,706,572,552,1782,3114
Cheraw,Colorado,co,252,211,265,233,129,173,174,184,293,186,0,0
Cherry Hills Village,Colorado,co,5987,5958,5245,5127,4605,1931,750,0,0,0,0,0
Cheyenne Wells,Colorado,co,846,1010,1128,950,982,1020,1154,695,595,508,270,0
Coal Creek,Colorado,co,343,303,157,190,225,206,195,261,435,618,676,698
Cokedale,Colorado,co,129,139,116,90,101,219,214,0,0,0,0,0
Collbran,Colorado,co,708,388,228,344,225,310,237,301,341,286,156,0
Colorado Springs,Colorado,co,416427,360890,281140,215105,135517,70194,45472,36789,33237,30105,29078,21085
Columbine Valley,Colorado,co,1256,1132,1071,923,481,0,0,0,0,0,0,0
Commerce,Colorado,co,45913,20991,16466,16234,17407,8970,0,0,0,0,0,0
Cortez,Colorado,co,8482,7977,7284,7095,6032,6764,2680,1778,921,541,565,125
Craig,Colorado,co,9464,9189,8091,8133,4205,3984,3080,2123,1418,1297,392,0
Crawford,Colorado,co,431,366,221,268,171,147,170,221,157,149,0,0
Creede,Colorado,co,290,377,362,610,653,350,503,670,384,500,741,938
Crested Butte,Colorado,co,1487,1529,878,959,372,289,730,1145,1251,1213,904,988
Crestone,Colorado,co,127,73,39,54,34,51,72,172,86,74,231,0
Cripple Creek,Colorado,co,1189,1115,584,655,425,614,853,2358,1427,2325,6206,10147
Crook,Colorado,co,110,128,148,177,199,209,259,236,251,232,0,0
Crowley,Colorado,co,176,187,225,192,216,265,379,318,323,224,0,0
Dacono,Colorado,co,4152,3015,2228,2321,360,302,258,296,275,172,180,0
De Beque,Colorado,co,504,451,257,279,155,172,253,280,347,292,149,83
Deer Trail,Colorado,co,546,598,476,463,374,764,421,387,390,0,0,0
Del Norte,Colorado,co,1686,1705,1674,1709,1569,1856,2048,1923,1410,1007,840,705
Delta,Colorado,co,8915,6400,3789,3931,3694,3832,4097,3717,2938,2623,2388,819
Denver,Colorado,co,600158,554636,467610,492686,514678,493887,415765,322412,287861,256491,213381,133859
Dillon,Colorado,co,904,802,553,337,182,814,191,161,92,126,134,143
Dinosaur,Colorado,co,339,319,324,313,247,318,281,0,0,0,0,0
Dolores,Colorado,co,936,857,866,802,820,805,729,804,557,465,320,108
Dove Creek,Colorado,co,735,698,643,826,619,986,702,418,0,0,0,0
Durango,Colorado,co,16887,13922,12430,11649,10333,10530,7459,5887,5400,4116,4686,3317
Eads,Colorado,co,609,747,780,878,795,929,1015,700,518,406,0,0
Eagle,Colorado,co,6508,3032,1580,950,790,546,445,518,341,358,186,124
Eaton,Colorado,co,4365,2690,1959,1932,1389,1267,1276,1322,1221,1289,1157,384
Eckley,Colorado,co,257,278,211,262,193,207,295,358,359,332,0,0
Edgewater,Colorado,co,5170,5445,4613,4766,4910,4314,2580,1648,1473,664,712,0
Elizabeth,Colorado,co,1358,1434,818,789,493,326,263,275,266,230,194,215
Empire,Colorado,co,282,355,401,423,249,110,228,174,93,105,179,276
Englewood,Colorado,co,30255,31727,29387,30021,33695,33398,16869,9680,7980,4356,2983,0
Erie,Colorado,co,18135,6291,1258,1254,1090,875,937,1019,930,697,596,697
Estes Park,Colorado,co,5858,5413,3184,2703,1616,1175,1617,994,417,0,0,0
Evans,Colorado,co,18537,9514,5877,5063,2570,1453,862,792,540,505,600,400
Fairplay,Colorado,co,679,610,387,421,419,404,476,739,221,183,265,319
Federal Heights,Colorado,co,11467,12065,9342,7838,1502,391,173,0,0,0,0,0
Firestone,Colorado,co,10147,1908,1358,1204,570,276,297,262,240,214,110,0
Flagler,Colorado,co,561,612,564,550,615,693,793,506,540,544,0,0
Fleming,Colorado,co,408,426,344,388,349,384,377,400,365,518,0,0
Florence,Colorado,co,3881,3653,2990,2987,2846,2821,2773,2632,2475,2629,2712,3728
Fort Collins,Colorado,co,143986,118652,87758,65092,43337,25027,14937,12251,11489,8755,8210,3053
Fort Lupton,Colorado,co,7377,6787,5159,4251,2489,2194,1907,1692,1578,1014,614,214
Fort Morgan,Colorado,co,11315,11034,9068,8768,7594,7379,5315,4884,4423,3818,2800,634
Fountain,Colorado,co,25846,15197,9984,8324,3515,1602,713,571,577,595,431,0
Fowler,Colorado,co,1182,1206,1154,1227,1241,1240,1025,922,968,1062,925,0
Foxfield,Colorado,co,685,746,0,0,0,0,0,0,0,0,0,0
Fraser,Colorado,co,1224,910,575,470,221,253,0,0,0,0,0,0
Frederick,Colorado,co,8679,2467,988,855,696,595,599,652,596,361,266,0
Frisco,Colorado,co,2683,2443,1601,1221,471,316,87,60,18,0,0,0
Fruita,Colorado,co,12646,6478,4045,2810,1822,1830,1463,1486,1053,1193,881,126
Garden,Colorado,co,234,357,199,85,142,129,104,87,0,0,0,0
Genoa,Colorado,co,139,211,167,165,161,185,257,214,218,0,0,0
Georgetown,Colorado,co,1034,1088,891,830,542,307,329,391,303,703,950,1418
Gilcrest,Colorado,co,1034,1162,1084,1025,382,357,429,352,324,222,0,0
Glendale,Colorado,co,4184,4547,2453,2496,765,468,0,0,0,0,0,0
Glenwood Springs,Colorado,co,9614,7736,6561,4637,4106,3637,2412,2253,1825,2073,2019,1350
Golden,Colorado,co,18867,17159,13116,12237,9817,7118,5238,3175,2426,2135,2477,2152
Granada,Colorado,co,517,640,513,557,551,593,551,342,352,308,359,204
Granby,Colorado,co,1864,1525,966,963,554,503,463,251,90,32,40,0
Grand Junction,Colorado,co,58566,41986,29034,27956,20170,18694,14504,12479,10247,8665,7754,3503
Grand Lake,Colorado,co,471,447,259,382,189,170,309,0,0,0,0,0
Greeley,Colorado,co,92889,76930,60536,53006,38902,26314,20354,15995,12203,10958,8179,3023
Green Mountain Falls,Colorado,co,640,773,663,607,359,179,106,87,41,100,30,40
Greenwood Village,Colorado,co,13925,11035,7589,5729,3095,572,0,0,0,0,0,0
Grover,Colorado,co,137,153,135,158,121,133,146,137,165,195,0,0
Gunnison,Colorado,co,5854,5409,4636,5785,4613,3477,2770,2177,1415,1329,1026,1200
Gypsum,Colorado,co,6477,3654,1750,743,420,358,345,245,165,164,0,0
Hartman,Colorado,co,81,111,108,122,129,164,181,148,269,175,0,0
Haswell,Colorado,co,68,84,62,126,135,169,163,163,156,0,0,0
Haxtun,Colorado,co,946,982,952,1014,899,990,1006,985,1027,1118,341,0
Hayden,Colorado,co,1810,1634,1444,1720,763,764,767,640,554,455,314,0
Hillrose,Colorado,co,264,254,169,213,121,157,190,177,210,0,0,0
Holly,Colorado,co,802,1048,877,969,993,1108,1236,864,971,940,724,364
Holyoke,Colorado,co,2313,2261,1931,2092,1640,1555,1558,1150,1226,1205,659,451
Hooper,Colorado,co,103,123,112,71,80,58,103,170,155,156,131,177
Hot Sulphur Springs,Colorado,co,663,521,347,405,220,237,263,235,142,123,182,0
Hotchkiss,Colorado,co,944,968,744,849,507,626,715,653,541,572,600,261
Hudson,Colorado,co,2356,1565,918,698,518,430,365,295,346,322,0,0
Hugo,Colorado,co,730,885,660,776,759,811,943,852,712,838,343,0
Idaho Springs,Colorado,co,1717,1889,1834,2077,2003,1480,1769,2112,1207,1192,2154,2502
Ignacio,Colorado,co,697,669,720,667,613,609,526,555,464,290,0,0
Iliff,Colorado,co,266,213,174,218,193,204,235,322,266,238,0,0
Jamestown,Colorado,co,274,205,251,223,185,107,118,190,69,150,157,164
Johnstown,Colorado,co,9887,3827,1579,1535,1191,976,897,961,767,274,198,0
Julesburg,Colorado,co,1225,1467,1295,1528,1578,1840,1951,1619,1467,1320,962,371
Keenesburg,Colorado,co,1127,855,570,541,427,409,432,284,297,164,0,0
Kersey,Colorado,co,1454,1389,980,913,474,378,304,268,307,319,304,0
Kim,Colorado,co,74,65,76,100,0,0,0,0,0,0,0,0
Kiowa,Colorado,co,723,581,275,206,235,195,173,195,185,148,0,0
Kit Carson,Colorado,co,233,253,305,278,220,356,379,333,0,0,0,0
Kremmling,Colorado,co,1444,1578,1166,1296,764,576,623,567,261,254,141,0
La Jara,Colorado,co,818,877,725,858,768,724,912,897,602,521,448,208
La Junta,Colorado,co,7077,7568,7637,8338,8205,8026,7712,7040,7193,4964,4154,2513
La Salle,Colorado,co,1955,1849,1783,1929,1227,1070,797,755,564,460,0,0
La Veta,Colorado,co,800,924,726,611,589,632,701,897,782,737,691,254
Lafayette,Colorado,co,24453,23197,14548,8985,3498,2612,2090,2052,1842,1815,1892,970
Lake City,Colorado,co,408,375,223,206,91,106,141,185,259,317,405,700
Lakeside,Colorado,co,8,20,11,19,17,28,46,39,49,36,103,0
Lakewood,Colorado,co,142980,144126,126481,113808,92743,19338,0,0,0,0,0,0
Lamar,Colorado,co,7804,8869,8343,7713,7797,7369,6829,4445,4233,2512,2977,987
