FIPS,Area Name,FY1976,FY1977,FY1978,FY1979,FY1980,FY1981,FY1982,FY1983,FY1984,FY1985,FY1986,FY1987,FY1988,FY1989,FY1990,FY1991,FY1992,FY1993,FY1994,FY1995,FY1996,FY1997,FY1998,FY1999,FY2000,FY2001,FY2002,FY2003,FY2004,FY2005,FY2006,FY2007,FY2008,FY2009,FY2010,FY2011,FY2012,FY2013,FY2014
19000,State of Iowa,"10,311","10,919","11,161","11,660","11,628","10,558","10,161","10,044","9,961","9,937","9,922","10,350","10,407","10,501","10,605","10,545","10,637","10,770","11,002","11,225","11,475","11,663","11,866","12,363","12,420","12,457","12,310","12,167","12,050","11,980","12,069","11,935","12,040","11,997","11,240","11,318","11,551","11,425","11,565"
1900190,Ackley,"11,346","11,805","10,709","10,663","10,121","8,749","9,231","8,191","8,082","7,223","6,886","6,736","6,920","6,688","6,883","6,476","5,858","6,445","6,514","6,381","6,448","6,966","7,210","7,452","6,799","6,852","6,828","6,446","5,847","5,762","5,707","5,673","5,533","6,289","6,278","5,793","5,772","5,526","5,333"
1900235,Ackworth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3,450","3,029",NA,NA,NA,NA,NA,NA
1900370,Adair,"21,141","27,911","21,578","22,049","24,817","25,816","25,430","25,269","22,368","19,079","16,145","17,063","13,881","12,968","12,079","12,070","11,289","11,551","12,389","12,882","14,429","14,331","14,671","14,988","15,424","15,293","15,098","14,649","14,709","15,801","16,241","16,572","16,592","17,170","16,226","18,017","19,211","16,750","16,921"
1900505,Adel,"16,224","16,932","15,344","16,305","15,508","14,429","14,154","14,612","16,790","16,330","11,160","7,346","7,445","7,454","7,584","7,341","7,709","8,465","8,711","9,470","10,247","9,870","10,483","11,181","11,575","10,939","11,154","13,206","13,609","15,585","12,436","14,082","12,383","13,058","12,660","12,243","12,570","12,656","13,400"
1900595,Afton,"8,583","8,523","9,788","10,012","10,726","9,191","8,138","8,206","6,077","5,605","5,003","5,523","4,828","4,324","4,392","4,252","4,717","4,546","5,665","6,036","5,797","5,167","6,425","6,644","6,394","7,294","7,320","6,337","5,736","6,879","6,154","6,888","7,916","8,023","8,050","8,325","9,549","9,152","9,502"
1900640,Agency,"3,415","3,442","3,119","3,627","4,235","5,280","3,535","3,543","3,929","3,571","4,449","3,761","3,062","4,143","4,309","3,958","3,433","3,165","3,069","3,204","3,576","4,455","4,289","4,289","4,286","4,436","4,779","4,414","3,817","3,178","3,601","3,841","3,432","2,753","2,660","2,448","2,699","2,845","2,348"
1900730,Ainsworth,"5,055","5,546","5,644","6,127","5,850","4,984","6,062","5,824","4,794","4,523","4,396","3,582","3,894","4,193","3,531","3,086","3,159","3,168","3,023","2,988","3,625","4,609","3,937","6,225","6,860","7,979","8,868","8,239","6,588","10,771","10,647","10,761","8,869","8,879","8,341","6,110","6,408","7,776","7,892"
1900775,Akron,"11,478","9,677","10,298","10,504","10,282","8,769","7,984","8,181","7,599","8,823","9,101","8,519","7,923","8,004","7,362","7,720","7,626","7,619","7,395","7,240","7,085","7,072","7,042","6,810","7,041","6,484","5,994","6,314","6,101","6,466","6,792","6,338","7,656","7,246","6,387","6,292","6,892","5,925","6,279"
1900865,Albert City,"24,875","22,138","19,516","23,572","22,826","15,804","12,907","13,130","11,154","8,567","9,552","11,974","9,367","6,089","4,427","4,697","4,596","4,204","4,305","4,551","4,452","4,528","4,660","4,885","4,339","4,355","4,929","4,710","4,342","3,405","4,683","8,408","5,103","4,970","5,300","4,517","4,495","4,162","3,327"
1900910,Albia,"12,462","12,853","12,025","11,971","12,345","11,941","11,375","10,713","11,315","10,962","10,793","10,658","10,514","11,066","10,793","10,461","9,630","10,626","10,793","11,087","11,108","10,559","9,781","11,260","11,634","11,284","11,632","10,944","9,903","9,447","7,919","8,292","8,737","9,177","9,513","9,525","9,269","9,305","9,272"
1900955,Albion,"3,140","2,865","2,800","3,179","3,334","3,074","2,975","2,840","3,069","2,954","3,062","3,246","3,423","3,779","3,940","3,906","3,225","2,174","1,856","2,191","2,867","1,926","1,941","2,178","2,329","2,330","3,851","4,102","2,725","2,502","2,520","2,893","2,760","2,653","2,500","2,368","2,753","2,687","2,853"
1901000,Alburnett,"8,386","9,243","10,502","10,289","10,785","9,566","7,010","6,079","5,515","5,316","4,782","4,174","4,187","4,140","3,591","4,656","4,139","4,415","4,247","4,911","5,280","5,072","4,939","5,000","5,728","5,794","5,863","5,709","5,286","4,952","4,410","4,426","3,959","4,280","4,173","4,427","4,948","4,843","4,320"
1901045,Alden,"6,300","6,399","5,500","6,038","5,265","5,988","7,250","10,577","7,759","7,537","6,406","5,245","4,593","4,762","3,976","4,228","9,020","5,934","5,320","6,216","7,450","6,635","7,077","7,114","8,108","6,747","6,391","7,315","7,756","7,590","8,957","9,088","10,006","10,989","10,176","10,471","11,321","10,045","11,526"
1901090,Alexander,"11,773","12,133","15,517","20,014","17,395","11,150","6,873","6,614","6,049","5,183",NA,"3,934","4,180","3,574","3,134","3,286","2,953","3,674","2,293","2,989","2,406","1,841","1,861","1,615","2,127","7,344","8,438",NA,"4,906","3,856","5,802","4,829","5,048","5,408","4,672","4,268","3,118","1,996","1,171"
1901135,Algona,"24,775","25,292","25,311","27,820","28,592","24,830","25,443","22,909","22,936","20,676","19,649","19,281","17,650","16,953","17,399","16,855","16,645","17,250","17,753","18,125","18,313","17,655","18,309","18,474","17,489","18,124","17,670","18,178","18,407","18,303","19,251","20,276","20,512","20,008","19,444","19,912","20,985","21,133","20,572"
1901180,Alleman,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6,569","6,353","5,899","5,059","4,464","5,151","3,783","3,147","3,861","3,822","3,563","3,272","2,645","3,475","3,419","3,453","4,551","3,025","2,952","3,396","3,833","4,228","3,186","3,163","3,149","2,335","3,086","3,064","2,702","4,569"
1901270,Allerton,"3,826","4,227","3,621","3,970","4,273","3,787","3,710","3,200","3,344","3,440","2,887","3,239","3,340","2,937","3,020","2,729","3,003","3,209","3,078","5,829","7,568","7,854","7,030","5,974","5,575","5,711","6,334","6,693","6,192","5,895","5,728","2,828","2,767","3,392","3,220","3,038","2,804","3,209","3,354"
1901315,Allison,"21,127","23,124","22,580","24,637","25,157","21,562","21,801","22,623","21,656","20,737","21,604","21,041","19,999","18,454","17,582","17,331","17,686","18,554","17,887","17,325","14,397","17,430","16,717","16,936","17,024","16,870","15,718","14,201","12,521","10,091","8,996","6,768","6,455","8,276","6,792","7,485","6,560","6,256","6,597"
1901495,Alta,"15,599","16,298","16,790","16,799","16,956","14,417","12,049","11,764","10,941","10,013","9,225","10,918","10,141","9,726","10,128","9,704","7,183","5,779","5,807","6,308","6,488","6,398","5,705","6,429","5,912","5,360","9,131","8,186","8,049","7,025","6,095","6,011","6,333","5,658","3,818","3,696","4,209","3,880","4,180"
1901540,Alta Vista,"11,571","11,545","12,716","12,678","12,132","10,596","10,722","10,827","10,054","9,634","8,363","8,695","6,564","7,179","7,321","7,606","7,985","7,302","6,881","7,202","6,689","6,669","5,695","5,358","5,280","5,435","8,019","9,069","4,998","4,336","3,888","4,083","3,573","3,367","4,111","4,130","7,504","5,375","4,607"
1901585,Alton,"12,984","10,378","11,786","13,380","13,022","12,116","12,437","10,487","10,605","8,713","6,232","6,470","7,634","7,976","8,148","7,676","7,143","7,412","7,640","7,662","7,377","8,235","9,418","9,023","8,509","7,383","7,183","6,873","5,774","5,789","7,033","6,561","6,454","6,302","6,517","6,658","7,034","6,867","7,467"
1901630,Altoona,"9,087","9,974","10,994","11,169","10,404","9,659","9,539","9,482","9,550","9,865","12,169","12,795","12,015","11,817","12,457","11,714","11,558","11,417","12,671","12,771","12,233","12,570","12,189","11,795","12,169","16,459","18,565","20,774","21,773","29,353","29,779","28,829","27,612","26,728","28,314","28,183","29,635","29,445","30,026"
1901675,Alvord,"4,175","3,954","3,224",NA,"4,083",NA,NA,"2,849","2,687","2,200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,921","2,292",NA,"2,654",NA,"3,849","4,371","3,983","3,695","3,431","3,592","4,380","4,297","4,164"
1901855,Ames,"9,737","10,736","11,071","11,550","11,286","10,700","10,288","10,456","10,346","10,393","10,587","10,819","11,217","11,370","11,580","11,661","11,660","11,904","11,973","12,520","12,617","13,259","14,172","15,190","15,591","14,728","14,611","14,755","14,664","14,362","14,296","14,205","13,856","13,638","13,030","12,941","13,084","12,982","13,271"
1901990,Anamosa,"13,058","13,675","14,439","14,648","14,114","12,827","12,378","12,003","12,207","12,130","13,363","13,914","14,196","13,921","13,371","13,079","12,643","12,527","12,530","12,355","13,209","13,302","13,545","13,953","14,653","13,747","14,452","14,600","15,939","14,811","14,388","14,635","13,416","15,502","14,812","12,101","12,672","12,850","12,985"
