FIPS,Area Name,FY 1976,FY 1977,FY 1978,FY 1979,FY 1980,FY 1981,FY 1982,FY 1983,FY 1984,FY 1985,FY 1986,FY 1987,FY 1988,FY 1989,FY 1990,FY 1991,FY 1992,FY 1993,FY 1994,FY 1995,FY 1996,FY 1997,FY 1998,FY 1999,FY 2000,FY 2001,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014
19000,State of Iowa,"8,608,072,750","9,695,572,234","10,599,259,326","11,937,333,230","13,112,406,928","13,092,629,737","13,410,646,811","13,812,084,828","14,180,662,045","14,542,219,999","14,789,013,606","15,588,803,568","16,187,378,730","17,061,104,576","17,953,167,717","18,704,127,896","19,503,730,902","20,410,006,777","21,427,415,422","22,461,226,855","23,534,006,709","24,528,959,504","25,332,748,804","26,770,708,316","27,586,079,482","28,408,282,711","28,446,628,937","28,704,897,813","29,099,277,162","29,805,300,584","31,108,387,657","31,645,718,767","33,089,024,825","33,559,887,618","31,943,592,540","32,904,016,683","34,537,967,263","34,800,587,136","35,847,612,592"
1900190,Ackley,"6,116,893","6,774,476","6,527,419","7,052,719","7,445,856","7,066,142","7,948,840","7,354,173","7,527,109","6,905,660","6,631,199","6,442,623","6,723,804","6,724,753","7,157,289","7,025,082","6,544,560","7,407,611","7,699,279","7,788,514","8,095,262","8,991,915","9,468,482","9,925,177","9,288,257","9,560,119","9,505,562","9,016,550","8,228,843","8,196,939","8,257,039","8,298,466","8,244,752","9,358,381","9,344,050","8,708,663","8,840,797","8,590,667","8,314,307"
1900235,Ackworth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"238,583","221,382",NA,NA,NA,NA,NA,NA
1900370,Adair,"5,320,532","7,463,537","6,196,884","6,893,096","8,581,741","9,820,265","10,341,476","10,800,957","10,015,958","8,815,571","7,594,029","8,118,235","6,857,293","6,724,854","6,549,368","6,838,660","6,545,722","6,858,951","7,457,749","7,844,292","8,918,033","8,982,649","9,232,676","9,467,704","9,843,790","9,865,539","9,765,760","9,634,242","9,844,755","10,761,238","11,318,910","11,767,879","12,021,613","12,449,584","11,855,785","13,327,657","14,330,147","12,539,680","12,741,458"
1900505,Adel,"12,281,859","13,805,003","13,639,105","15,869,719","16,897,808","17,566,625","18,583,126","20,390,305","24,732,051","25,232,990","17,931,008","12,141,088","13,011,823","13,914,036","15,193,692","15,638,877","16,868,967","19,029,148","19,895,848","22,071,365","24,529,460","24,357,158","26,349,228","28,551,393","30,181,978","28,968,189","29,651,070","35,652,803","37,983,106","45,455,915","37,967,441","44,753,757","41,151,175","44,309,702","43,767,078","43,967,751","47,469,328","49,821,746","54,282,096"
1900595,Afton,"2,231,871","2,406,564","3,024,383","3,418,220","4,086,805","3,864,301","3,661,560","3,864,090","2,965,811","2,791,853","2,525,491","2,834,029","2,564,212","2,386,936","2,536,715","2,566,068","2,898,455","2,867,049","3,631,111","3,924,896","3,855,771","3,502,452","4,370,322","4,557,834","4,425,702","5,074,622","5,086,743","4,411,630","4,027,062","4,945,361","4,550,376","5,196,285","6,154,775","6,314,704","6,363,259","6,680,420","7,866,773","7,637,652","8,010,006"
1900640,Agency,"609,052","663,046","652,089","828,591","1,074,644","1,479,872","1,061,003","1,115,134","1,292,592","1,214,435","1,542,975","1,314,694","1,099,597","1,558,015","1,705,647","1,641,166","1,455,033","1,372,520","1,353,326","1,430,694","1,615,705","2,048,746","1,984,875","1,994,494","2,035,345","2,161,182","2,357,035","2,218,798","1,963,487","1,685,962","1,975,900","2,152,119","1,975,767","1,609,025","1,583,050","1,485,073","1,674,258","1,792,638","1,502,817"
1900730,Ainsworth,"733,858","875,291","970,265","1,158,794","1,235,446","1,161,398","1,498,998","1,490,760","1,265,072","1,226,484","1,216,721","1,003,492","1,126,976","1,261,851","1,100,395","1,004,848","1,066,338","1,102,041","1,068,242","1,081,218","1,345,316","1,753,313","1,520,401","2,422,419","2,731,026","3,284,866","3,745,052","3,572,727","2,935,972","4,953,764","5,094,609","5,313,511","4,554,348","4,639,723","4,418,654","3,299,783","3,550,379","4,369,844","4,506,295"
1900775,Akron,"4,710,676","4,321,760","5,003,010","5,550,532","6,029,495","5,689,152","5,504,499","5,852,626","5,619,720","6,678,314","7,036,755","6,721,735","6,505,302","6,850,929","6,515,228","7,113,781","7,230,154","7,460,437","7,469,350","7,515,183","7,539,837","7,716,290","7,721,671","7,528,954","7,933,299","7,442,682","6,946,310","7,463,236","7,402,125","8,079,174","8,742,387","8,332,075","10,359,738","9,925,319","8,849,406","8,854,550","9,879,871","8,578,451","9,192,429"
1900865,Albert City,"5,441,957","5,230,501","5,013,810","6,591,969","7,142,828","5,527,304","4,825,693","5,123,180","4,534,312","3,588,143","4,067,355","5,145,291","4,142,807","2,807,485","2,108,862","2,323,557","2,331,946","2,194,986","2,281,802","2,430,346","2,399,193","2,451,971","2,500,200","2,616,666","2,350,740","2,389,348","2,726,117","2,643,416","2,472,298","1,981,264","2,800,778","5,121,075","3,194,030","3,162,684","3,446,506","3,010,281","3,072,564","2,893,822","2,362,268"
1900910,Albia,"15,038,259","16,592,405","16,651,826","18,073,968","20,379,467","21,216,580","21,451,246","21,013,656","22,903,534","22,764,798","22,783,516","22,674,094","23,050,182","25,240,085","25,711,257","26,162,361","24,792,676","28,008,535","28,914,175","30,302,195","30,775,179","29,667,534","27,633,276","31,895,332","33,455,903","33,094,844","34,301,344","32,832,425","30,471,196","29,848,968","25,726,211","27,442,811","29,776,065","31,733,626","33,410,180","34,368,962","34,489,986","35,024,244","35,671,229"
1900955,Albion,"705,146","678,568","701,124","839,926","956,974","963,734","983,589","965,647","1,060,169","1,024,451","1,060,329","1,110,055","1,177,308","1,328,084","1,417,698","1,453,140","1,225,441","846,582","741,008","903,054","1,213,555","832,379","848,040","959,536","1,047,475","1,064,115","1,747,607","1,861,183","1,241,040","1,150,487","1,171,059","1,351,381","1,313,711","1,258,735","1,184,465","1,145,927","1,370,072","1,303,091","1,409,604"
1901000,Alburnett,"1,006,889","1,168,074","1,405,503","1,476,572","1,710,338","1,678,807","1,318,344","1,201,873","1,140,267","1,148,881","1,072,695","965,895","1,021,245","1,075,909","992,045","1,364,897","1,267,482","1,411,387","1,407,762","1,691,091","1,895,565","1,911,192","1,921,657","2,005,297","2,415,414","2,569,979","2,683,938","2,704,829","2,593,997","2,535,454","2,373,763","2,491,592","2,347,393","2,616,455","2,612,194","2,832,545","3,252,072","3,233,504","2,945,978"
1901045,Alden,"1,683,741","1,824,369","1,670,966","1,995,803","1,940,704","2,428,385","3,136,563","4,773,648","3,636,086","3,629,821","3,111,665","2,532,429","2,256,077","2,422,024","2,094,925","2,322,763","5,100,515","3,448,088","3,177,044","3,837,192","4,737,842","4,318,206","4,672,765","4,748,180","5,624,389","4,841,186","4,562,122","5,221,710","5,547,050","5,468,989","6,544,846","6,695,447","7,478,385","8,150,944","7,511,546","7,814,922","8,609,931","7,698,519","8,863,718"
