FIPS,Area Name,FY1976,FY1977,FY1978,FY1979,FY1980,FY1981,FY1982,FY1983,FY1984,FY1985,FY1986,FY1987,FY1988,FY1989,FY1990,FY1991,FY1992,FY1993,FY1994,FY1995,FY1996,FY1997,FY1998,FY1999,FY2000,FY2001,FY2002,FY2003,FY2004,FY2005,FY2006,FY2007,FY2008,FY2009,FY2010,FY2011,FY2012,FY2013,FY2014
19000,State of Iowa,"10,311","10,919","11,161","11,660","11,628","10,558","10,161","10,044","9,961","9,937","9,922","10,350","10,407","10,501","10,605","10,545","10,637","10,770","11,002","11,225","11,475","11,663","11,866","12,363","12,420","12,457","12,310","12,167","12,050","11,980","12,069","11,935","12,040","11,997","11,240","11,318","11,551","11,425","11,565"
19001,Adair,"9,161","10,320","9,616","10,411","10,680","9,692","9,494","9,396","8,399","7,834","7,963","7,972","7,551","7,140","6,894","6,766","6,971","6,868","7,091","7,065","7,491","7,793","7,401","7,958","7,875","7,992","7,708","7,326","7,082","7,532","7,027","7,011","6,899","6,800","6,671","6,957","7,745","7,672","7,448"
19003,Adams,"6,898","7,297","7,140","7,727","7,834","6,955","7,077","7,246","6,299","5,911","5,736","6,208","6,063","5,816","5,684","5,527","5,702","5,885","6,112","6,189","6,181","6,180","6,329","6,366","6,096","6,221","6,390","6,457","5,913","5,543","5,466","6,206","5,817","6,102","6,388","6,322","6,764","7,040","8,868"
19005,Allamakee,"7,602","8,254","8,126","8,756","8,937","8,229","8,414","8,073","7,713","7,439","7,404","7,739","7,694","7,204","7,019","7,494","7,236","7,261","7,219","7,520","7,445","7,370","7,251","7,567","8,019","7,936","8,559","7,838","7,735","6,998","8,434","6,705","6,698","6,397","6,229","6,224","6,810","6,821","7,153"
19007,Appanoose,"8,649","8,634","8,773","9,407","9,299","8,546","7,722","7,630","7,363","7,126","7,344","8,067","7,352","7,293","6,915","7,134","7,664","7,903","7,641","7,402","7,182","7,413","7,364","7,580","7,589","7,115","7,291","7,231","7,223","6,999","7,090","7,163","7,079","7,713","7,722","7,646","8,058","7,881","7,971"
19009,Audubon,"7,867","8,544","9,141","8,794","9,730","7,985","7,546","7,974","7,232","6,755","6,268","6,018","6,095","5,661","5,560","6,119","6,273","6,105","5,975","5,620","5,853","5,949","5,689","5,238","5,181","5,377","5,452","5,609","5,392","5,276","5,077","5,168","5,492","5,458","5,530","5,510","5,907","5,700","5,942"
19011,Benton,"7,290","7,645","7,575","8,053","8,358","7,413","6,921","6,794","6,340","6,068","5,561","5,791","5,707","5,515","5,413","5,504","5,434","5,387","5,414","5,382","5,631","5,983","5,877","5,883","6,037","6,326","7,767","9,208","7,022","5,400","4,793","4,741","4,889","5,065","4,780","4,623","4,833","4,661","4,918"
19013,Black Hawk,"11,284","11,894","12,704","12,534","12,422","11,454","11,006","10,358","10,338","10,326","10,071","10,488","10,735","11,348","11,588","11,643","11,637","11,886","11,987","12,317","12,646","12,920","13,519","13,545","13,595","13,839","13,574","13,703","13,801","13,857","13,855","13,908","14,068","14,456","13,765","13,704","13,704","13,651","13,714"
19015,Boone,"8,236","8,659","8,220","8,638","8,492","7,475","6,804","7,080","7,208","6,990","6,827","6,762","6,906","6,920","7,198","7,186","7,186","7,248","7,348","7,311","7,338","7,399","7,510","7,762","7,608","7,922","7,345","7,535","7,865","7,727","7,567","7,273","6,783","6,559","6,387","6,317","6,549","6,629","6,690"
19017,Bremer,"8,837","9,470","9,656","9,617","9,487","8,741","8,336","7,841","7,547","7,204","6,825","7,259","7,366","7,181","7,100","7,213","7,197","7,101","7,360","7,084","7,204","7,218","8,568","7,565","7,770","7,747","7,732","7,627","7,505","7,088","6,875","7,269","7,364","7,840","7,420","7,423","7,570","7,501","7,483"
19019,Buchanan,"6,549","7,174","7,301","7,639","7,765","6,756","6,581","6,790","6,201","6,147","5,827","6,113","6,260","6,157","6,314","6,129","6,277","6,381","6,449","6,450","6,185","5,889","6,078","6,446","6,666","6,592","6,722","6,558","6,573","6,720","7,021","7,048","7,392","7,889","7,803","7,712","7,730","7,713","7,859"
19021,Buena Vista,"11,383","11,784","12,300","13,127","13,546","11,731","11,032","11,173","11,146","10,438","9,680","10,749","10,094","9,703","9,507","9,747","9,427","9,290","9,280","9,249","9,371","9,548","9,762","10,291","9,432","9,821","9,637","9,438","9,840","9,386","9,345","9,795","9,551","10,346","9,390","9,486","9,743","9,288","9,262"
19023,Butler,"7,773","8,402","7,564","7,912","7,585","6,692","6,644","6,527","5,944","5,491","5,458","5,375","5,239","4,973","4,699","4,650","4,625","4,736","4,690","4,733","4,350","4,443","4,545","4,984","5,142","4,959","4,771","4,701","4,399","4,191","3,960","3,613","3,529","4,161","3,743","3,702","3,800","3,780","3,961"
19025,Calhoun,"8,555","8,671","8,620","9,505","9,754","8,451","7,815","7,668","7,060","6,476","6,375","7,667","9,538","7,920","5,759","5,112","4,868","5,089","5,136","4,763","4,865","5,179","5,095","5,090","4,756","4,596","4,529","4,301","4,148","4,275","4,140","4,256","4,379","4,511","4,610","4,727","4,920","4,844","4,818"
19027,Carroll,"11,248","11,844","11,971","13,173","13,289","11,497","11,116","11,490","11,062","10,172","9,782","10,688","10,767","10,668","10,648","10,574","10,655","11,003","11,578","11,416","11,606","12,089","12,538","12,754","12,736","12,701","12,689","12,509","12,698","12,723","12,497","13,036","13,309","13,556","13,619","13,619","14,095","13,919","13,848"
19029,Cass,"10,944","11,846","11,775","12,647","12,431","11,429","10,469","10,628","10,110","9,903","9,163","9,362","9,207","8,975","8,835","8,798","8,809","8,560","8,545","8,530","8,609","9,014","8,891","9,271","9,612","9,350","9,097","8,963","8,771","8,576","9,536","9,571","10,131","10,197","9,784","10,015","10,406","10,155","10,513"
19031,Cedar,"7,986","8,439","8,683","8,768","8,582","7,659","7,234","7,296","6,067","5,791","5,563","6,059","5,491","5,320","5,119","5,076","5,058","5,269","5,258","5,214","5,238","5,379","5,544","5,512","5,551","5,501","5,511","5,570","5,259","5,320","5,139","5,233","5,146","5,258","5,085","5,072","5,286","5,154","5,264"
