Annual taxable retail sales in nominal dollars by county (see previous page for cities),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa Department of Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Sales and Use Tax Reports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Latest publication date:  December, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIPS,Area Name,FY 1976,FY 1977,FY 1978,FY 1979,FY 1980,FY 1981,FY 1982,FY 1983,FY 1984,FY 1985,FY 1986,FY 1987,FY 1988,FY 1989,FY 1990,FY 1991,FY 1992,FY 1993,FY 1994,FY 1995,FY 1996,FY 1997,FY 1998,FY 1999,FY 2000,FY 2001,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014
19000,State of Iowa,"8,608,072,750","9,695,572,234","10,599,259,326","11,937,333,230","13,112,406,928","13,092,629,737","13,410,646,811","13,812,084,828","14,180,662,045","14,542,219,999","14,789,013,606","15,588,803,568","16,187,378,730","17,061,104,576","17,953,167,717","18,704,127,896","19,503,730,902","20,410,006,777","21,427,415,422","22,461,226,855","23,534,006,709","24,528,959,504","25,332,748,804","26,770,708,316","27,586,079,482","28,408,282,711","28,446,628,937","28,704,897,813","29,099,277,162","29,805,300,584","31,108,387,657","31,645,718,767","33,089,024,825","33,559,887,618","31,943,592,540","32,904,016,683","34,537,967,263","34,800,587,136","35,847,612,592"
19001,Adair,"24,629,441","29,458,541","29,434,334","34,662,353","39,320,053","38,987,268","40,322,938","41,434,907","38,315,184","36,442,932","37,232,926","37,258,590","36,196,183","35,476,602","35,376,675","36,200,355","38,398,292","38,951,604","40,943,359","41,404,368","44,722,857","47,349,460","45,313,788","49,157,632","49,430,064","50,863,469","49,168,468","47,383,274","46,616,864","50,511,932","48,288,594","49,090,596","49,221,958","48,498,468","47,893,352","50,526,369","56,944,041","56,783,841","55,454,434"
19003,Adams,"11,686,800","13,069,106","13,774,882","15,976,120","17,514,187","16,803,483","18,028,194","19,118,367","17,088,085","16,316,409","15,978,582","17,520,481","17,569,399","17,199,872","17,043,126","16,861,080","17,567,090","18,384,653","19,357,788","19,912,397","20,098,264","20,354,327","20,980,101","21,296,445","20,783,490","21,488,931","22,079,832","22,646,496","21,004,516","19,886,903","20,016,599","23,162,782","22,177,600","23,132,832","24,084,417","24,095,850","26,024,400","27,124,547","34,202,309"
19005,Allamakee,"33,376,001","38,932,895","41,514,454","47,793,125","52,674,538","52,719,952","57,201,827","57,372,210","56,958,032","56,400,650","56,977,571","59,855,414","61,230,330","59,645,895","59,724,644","66,320,374","66,435,050","68,986,560","70,398,076","75,608,875","76,915,502","77,765,661","77,745,670","82,375,443","89,335,690","89,576,638","96,508,244","90,109,490","90,831,750","84,418,550","105,092,531","85,338,360","87,697,010","84,562,997","83,253,217","84,550,879","94,277,535","95,562,474","101,335,840"
19007,Appanoose,"37,480,227","40,514,662","44,267,494","51,051,612","55,778,741","56,151,615","53,663,499","54,697,198","53,983,039","53,221,464","55,566,562","61,779,553","58,002,965","59,425,642","58,116,308","62,406,435","69,147,811","73,535,924","72,289,768","71,107,237","70,419,437","74,104,725","74,448,387","77,460,093","79,014,878","75,507,013","77,539,832","78,219,291","79,837,742","79,196,321","82,272,850","83,892,346","84,270,666","92,182,529","92,957,013","93,559,330","100,375,873","98,881,227","101,041,109"
19009,Audubon,"20,281,579","23,385,177","26,775,840","27,572,417","32,742,495","28,933,161","28,905,056","31,610,002","29,752,669","28,516,081","26,498,862","25,200,269","25,885,059","24,766,616","24,991,510","28,377,769","29,476,563","29,009,877","28,703,149","27,429,608","28,976,989","29,995,545","28,948,731","26,872,617","26,962,720","28,176,233","28,425,551","29,392,645","28,514,060","28,288,815","27,705,687","28,605,430","31,165,700","31,135,276","31,633,423","31,757,004","34,201,378","33,076,486","34,517,646"
19011,Benton,"48,360,339","54,165,100","57,781,269","66,587,559","76,492,115","74,605,759","73,918,719","74,967,379","72,035,152","70,778,110","66,142,523","69,922,266","71,372,016","72,362,739","74,049,915","78,673,012","80,264,631","82,918,498","86,712,181","89,498,045","96,871,626","106,179,673","106,705,582","109,509,532","115,898,086","125,181,645","157,154,526","191,407,430","149,941,900","119,066,118","108,851,953","109,706,900","116,516,723","122,302,886","116,506,137","114,707,440","122,326,648","118,636,702","126,786,286"
19013,Black Hawk,"435,269,508","488,562,703","560,680,075","598,904,843","658,746,448","673,136,622","688,478,008","673,763,757","692,215,766","701,204,396","684,307,452","710,522,013","742,878,998","817,874,503","874,292,598","924,553,881","956,423,408","1,008,148,867","1,043,059,393","1,095,252,368","1,147,698,769","1,199,064,484","1,270,325,295","1,287,652,754","1,321,118,431","1,377,302,376","1,361,679,616","1,393,924,640","1,431,147,690","1,477,876,496","1,528,291,335","1,573,506,931","1,651,477,996","1,736,706,740","1,683,237,902","1,710,560,724","1,755,167,454","1,780,865,630","1,819,226,681"
19015,Boone,"62,296,932","69,652,930","70,673,371","79,869,747","86,328,723","83,574,410","81,073,848","87,836,068","92,436,669","92,101,633","91,999,145","92,472,620","97,664,559","102,067,587","110,434,350","115,471,414","118,701,913","122,393,458","126,541,966","129,498,482","134,060,389","139,580,863","143,762,871","150,417,697","151,484,662","161,822,526","151,437,974","158,277,668","169,459,299","171,740,267","173,733,030","170,940,561","164,264,173","160,188,870","157,056,354","157,992,144","167,566,998","172,122,527","175,532,110"
19017,Bremer,"60,683,102","68,838,470","75,310,485","81,560,068","90,121,693","92,349,127","93,843,250","92,107,214","91,388,392","88,797,579","84,937,890","90,354,735","93,618,934","95,254,483","98,647,176","105,005,280","108,016,563","109,925,323","116,563,842","114,742,178","119,498,052","122,565,976","147,151,566","131,486,525","137,868,985","141,129,595","142,833,457","143,725,448","145,331,924","141,726,585","142,696,964","155,593,855","162,833,967","175,274,024","168,006,576","171,702,918","180,028,719","181,849,420","184,254,113"
