city_fips,name,year,nominal_sales,population,real_sales,real_pk_sales
1900190,Ackley,1980,7445856,2441,24706878,10121.62
1900190,Ackley,1981,7066142,2397,20973152,8749.75
1900190,Ackley,1982,7948840,2361,21793631,9230.68
1900190,Ackley,1983,7354173,2374,19442360,8189.71
1900190,Ackley,1984,7527109,2361,19080963,8081.73
1900190,Ackley,1985,6905660,2341,16909394,7223.15
1900190,Ackley,1986,6631199,2268,15616806,6885.72
1900190,Ackley,1987,6442623,2222,14968399,6736.45
1900190,Ackley,1988,6723804,2168,15002198,6919.83
1900190,Ackley,1989,6724753,2147,14360566,6688.67
1900190,Ackley,1990,7157289,2111,14529016,6882.53
1900190,Ackley,1991,7025082,2084,13498380,6477.15
1900190,Ackley,1992,6544560,2091,12247744,5857.36
1900190,Ackley,1993,7407611,2083,13426036,6445.53
1900190,Ackley,1994,7699279,2091,13620830,6514.03
1900190,Ackley,1995,7788514,2099,13394174,6381.22
1900190,Ackley,1996,8095262,2100,13543734,6449.4
1900190,Ackley,1997,8991915,2096,14600298,6965.79
1900190,Ackley,1998,9468482,2098,15127361,7210.37
1900190,Ackley,1999,9925177,2093,15597051,7452.01
1900190,Ackley,2000,9288257,2088,14199567,6800.56
1900190,Ackley,2001,9560119,2056,14090831,6853.52
1900190,Ackley,2002,9505562,2028,13844848,6826.85
1900190,Ackley,2003,9016550,1983,12780194,6444.88
1900190,Ackley,2004,8228843,1955,11432041,5847.59
1900190,Ackley,2005,8196939,1922,11072713,5761.04
1900190,Ackley,2006,8257039,1879,10722965,5706.74
1900190,Ackley,2007,8298466,1861,10557612,5673.09
1900190,Ackley,2008,8244752,1818,10057343,5532.09
1900190,Ackley,2009,9358381,1817,11428783,6289.92
1900190,Ackley,2010,9344050,1771,11119818,6278.84
1900190,Ackley,2011,8708663,1759,10190365,5793.27
1900190,Ackley,2012,8840797,1740,10042815,5771.73
1900190,Ackley,2013,8590667,1737,9597056,5525.08
1900190,Ackley,2014,8314307,1715,9145851,5332.86
1900190,Ackley,2015,9406352,1546,10370961,6708.25
1900190,Ackley,2016,10843052,1537,11800169,7677.4
1900190,Ackley,2017,12674267,1520,13459684,8855.06
1900190,Ackley,2018,13706432,1509,14257519,9448.32
1900190,Ackley,2019,13110104,1498,13435585,8969.02
1900595,Afton,1980,4086805,1264,13560857,10728.53
1900595,Afton,1981,3864301,1248,11469706,9190.47
1900595,Afton,1982,3661560,1234,10039036,8135.36
1900595,Afton,1983,3864090,1245,10215565,8205.27
1900595,Afton,1984,2965811,1237,7518229,6077.79
1900595,Afton,1985,2791853,1220,6836210,5603.45
1900595,Afton,1986,2525491,1189,5947658,5002.24
1900595,Afton,1987,2834029,1192,6584411,5523.83
1900595,Afton,1988,2564212,1185,5721287,4828.09
1900595,Afton,1989,2386936,1179,5097251,4323.37
1900595,Afton,1990,2536715,1172,5149432,4393.71
1900595,Afton,1991,2566068,1160,4930584,4250.5
1900595,Afton,1992,2898455,1150,5424281,4716.77
1900595,Afton,1993,2867049,1143,5196426,4546.3
1900595,Afton,1994,3631111,1134,6423815,5664.74
1900595,Afton,1995,3924896,1118,6749778,6037.37
1900595,Afton,1996,3855771,1113,6450877,5795.94
1900595,Afton,1997,3502452,1101,5686980,5165.29
1900595,Afton,1998,4370322,1087,6982264,6423.43
1900595,Afton,1999,4557834,1078,7162469,6644.22
1900595,Afton,2000,4425702,1058,6765861,6394.95
1900595,Afton,2001,5074622,1025,7479577,7297.15
1900595,Afton,2002,5086743,1012,7408840,7320.99
1900595,Afton,2003,4411630,987,6253111,6335.47
1900595,Afton,2004,4027062,975,5594655,5738.11
1900595,Afton,2005,4945361,971,6680367,6879.88
1900595,Afton,2006,4550376,960,5909324,6155.55
1900595,Afton,2007,5196285,960,6610904,6886.36
1900595,Afton,2008,6154775,948,7507889,7919.71
1900595,Afton,2009,6314704,961,7711738,8024.7
1900595,Afton,2010,6363259,941,7572550,8047.34
1900595,Afton,2011,6680420,939,7817034,8324.85
1900595,Afton,2012,7866773,936,8936360,9547.39
1900595,Afton,2013,7637652,932,8532397,9154.93
1900595,Afton,2014,8010006,927,8811116,9504.98
1900595,Afton,2015,7982128,826,8800685,10654.58
1900595,Afton,2016,7295803,826,7939804,9612.35
1900595,Afton,2017,7417261,829,7876904,9501.69
1900595,Afton,2018,6893081,819,7170227,8754.86
1900595,Afton,2019,7032515,815,7207110,8843.08
1900775,Akron,1980,6029495,1946,20007101,10281.14
1900775,Akron,1981,5689152,1926,16886082,8767.44
1900775,Akron,1982,5504499,1890,15091890,7985.13
1900775,Akron,1983,5852626,1891,15472693,8182.28
1900775,Akron,1984,5619720,1875,14245798,7597.76
1900775,Akron,1985,6678314,1853,16352708,8824.99
1900775,Akron,1986,7036755,1821,16571910,9100.44
1900775,Akron,1987,6721735,1833,15616871,8519.84
1900775,Akron,1988,6505302,1832,14514675,7922.86
1900775,Akron,1989,6850929,1828,14630012,8003.29
1900775,Akron,1990,6515228,1796,13225657,7363.95
1900775,Akron,1991,7113781,1771,13668811,7718.13
1900775,Akron,1992,7230154,1774,13530791,7627.28
1900775,Akron,1993,7460437,1775,13521781,7617.9
1900775,Akron,1994,7469350,1787,13214061,7394.55
1900775,Akron,1995,7515183,1785,12924117,7240.4
1900775,Akron,1996,7539837,1780,12614484,7086.79
1900775,Akron,1997,7716290,1772,12529048,7070.57
1900775,Akron,1998,7721671,1752,12336561,7041.42
1900775,Akron,1999,7528954,1737,11831475,6811.44
1900775,Akron,2000,7933299,1723,12128154,7038.98
1900775,Akron,2001,7442682,1692,10969903,6483.39
1900775,Akron,2002,6946310,1688,10117299,5993.66
1900775,Akron,2003,7463236,1675,10578504,6315.52
1900775,Akron,2004,7402125,1686,10283510,6099.35
1900775,Akron,2005,8079174,1688,10913632,6465.42
1900775,Akron,2006,8742387,1672,11353259,6790.23
1900775,Akron,2007,8332075,1673,10600371,6336.15
1900775,Akron,2008,10359738,1651,12637304,7654.33
1900775,Akron,2009,9925319,1673,12121147,7245.16
1900775,Akron,2010,8849406,1649,10531171,6386.4
1900775,Akron,2011,8854550,1647,10361073,6290.88
1900775,Akron,2012,9879871,1628,11223164,6893.84
1900775,Akron,2013,8578451,1617,9583409,5926.66
1900775,Akron,2014,9192429,1610,10111797,6280.62
1900775,Akron,2015,9041782,1483,9969005,6722.19
1900775,Akron,2016,9078529,1494,9879891,6613.05
1900775,Akron,2017,10208584,1479,10841204,7330.09
1900775,Akron,2018,12045136,1467,12529428,8540.85
1900775,Akron,2019,15356532,1463,15737785,10757.2
1900910,Albia,1980,20379467,5478,67623252,12344.51
1900910,Albia,1981,21216580,5274,62973340,11940.34
1900910,Albia,1982,21451246,5170,58813681,11375.95
1900910,Albia,1983,21013656,5186,55554182,10712.34
1900910,Albia,1984,22903534,5131,58059674,11315.47
1900910,Albia,1985,22764798,5085,55742526,10962.15
1900910,Albia,1986,22783516,4971,53656320,10793.87
1900910,Albia,1987,22674094,4943,52679614,10657.42
1900910,Albia,1988,23050182,4892,51429725,10513.03
1900910,Albia,1989,25240085,4871,53899660,11065.42
1900910,Albia,1990,25711257,4836,52192843,10792.56
1900910,Albia,1991,26162361,4805,50269802,10461.98
1900910,Albia,1992,24792676,4818,46397978,9630.13
1900910,Albia,1993,28008535,4777,50764489,10626.86
1900910,Albia,1994,28914175,4739,51152199,10793.88
1900910,Albia,1995,30302195,4700,52111722,11087.6
1900910,Albia,1996,30775179,4635,51488247,11108.58
1900910,Albia,1997,29667534,4562,48171588,10559.31
1900910,Albia,1998,27633276,4514,44148423,9780.33
1900910,Albia,1999,31895332,4451,50122343,11260.92
1900910,Albia,2000,33455903,4396,51146230,11634.72
1900910,Albia,2001,33094844,4323,48779086,11283.62
1900910,Albia,2002,34301344,4295,49959898,11632.11
