GEOID,jobs_02,jobs_03,jobs_04,jobs_05,jobs_06,jobs_07,jobs_08,jobs_09,jobs_10,jobs_11,jobs_12,jobs_13,jobs_14,jobs_15
800320,105,112,105,113,97,103,64,55,54,50,45,53,40,59
800620,1,2,4,3,0,0,0,0,0,2,23,18,3,23
800760,16,22,22,16,21,26,25,14,531,26,93,74,66,50
800870,419,568,435,393,540,334,325,452,640,429,926,934,1089,918
800925,761,708,704,592,644,656,616,427,267,647,502,519,686,508
801090,5280,5327,5111,5515,5703,5482,5988,5889,6090,5434,5551,5016,5713,5836
801145,438,359,343,370,212,277,251,225,272,233,305,303,375,248
801420,65,51,52,49,81,71,75,57,187,67,37,49,93,65
801530,54,242,263,267,267,287,264,254,285,68,53,54,38,26
801640,1,0,0,0,0,0,0,0,2,4,0,1,1,2
801740,88,82,91,95,76,75,55,83,83,71,80,104,72,72
802355,117,111,101,93,94,76,30,66,87,62,95,126,106,334
802575,1148,950,901,811,801,871,1064,1036,1054,1048,15919,15116,1222,1240
802905,0,0,3,3,0,7,6,4,17,10,8,6,2,17
803015,13,11,21,32,52,36,34,35,24,68,35,36,120,83
803235,20,34,33,25,25,16,13,7,8,10,10,7,7,4
803455,24070,23461,23308,24100,24275,24623,25315,24179,23469,24061,25319,26032,25358,27494
803620,8949,7997,9675,9861,10097,10887,10659,9693,9180,9232,8593,8921,10402,10096
803730,393,354,335,338,329,336,340,382,399,356,396,411,413,403
803840,6,6,8,7,9,7,5,7,9,26,8,15,19,18
803950,198,215,187,205,223,204,101,186,114,102,482,507,531,522
804000,94036,97195,92258,94134,96048,103814,106678,97371,102917,111094,114006,113851,124058,132051
804110,4198,7206,7132,7128,7619,7440,6990,6847,6794,7760,6501,6832,6706,7317
804165,3,2,2,3,4,17,20,6,5,15,24,22,147,19
804620,1,0,3,1,6,18,23,78,0,21,15,18,17,18
804935,1735,1615,1743,1777,1972,2386,2555,2088,1951,2037,1829,1953,1751,1692
805120,187,240,265,223,406,373,351,349,378,390,474,620,776,571
805265,496,263,554,547,595,397,412,501,379,536,561,545,850,890
806090,320,316,246,273,345,323,398,270,478,361,339,462,608,685
806172,3487,3206,3212,3101,2930,2759,3289,2833,2527,2813,2673,2558,2829,2896
806255,1466,1428,1617,1772,1849,1706,1801,1424,1091,1497,1323,1466,1573,1625
806530,3,2,3,0,1,34,47,40,45,52,52,54,52,47
806602,35,24,25,24,31,31,23,33,40,55,68,65,62,55
806970,792,769,788,871,969,932,809,868,894,912,2505,2293,2015,2080
807025,2368,1974,1716,2385,2058,2196,1738,1658,2379,3886,4182,3718,3920,3717
807190,23,41,31,26,31,22,21,21,189,167,220,217,170,78
807245,972,810,737,707,727,765,738,740,836,808,704,689,802,855
807410,30,44,32,45,44,69,62,39,24,41,58,68,71,93
807571,0,0,0,0,0,0,0,0,32,17,0,0,0,0
807580,2,2,3,4,7,9,0,1,14,4,7,3,7,1
807795,3,4,6,0,0,0,0,0,52,58,43,45,52,63
807850,75147,71221,75740,76290,76942,73791,82747,77624,80786,81864,78237,78336,85479,81326
808070,28,29,37,33,35,28,30,26,18,26,18,27,31,27
808345,27,74,114,130,133,122,96,67,73,64,56,63,66,0
808400,6913,7048,5414,5710,6114,4111,4371,4100,5495,5733,6672,6350,5852,6772
808530,0,1,0,0,3,1,1,1,2,6,12,9,13,7
808675,8915,9688,10165,10268,11342,12261,11395,10013,11780,11901,13401,13742,14860,14639
809115,37,50,50,36,30,49,44,42,40,40,37,49,10,22
809280,25405,26294,28453,29129,31179,31290,33044,29337,31451,29444,31619,33750,31183,32873
809555,1464,1667,1703,1504,1641,1512,1497,1320,1553,1552,1890,1626,1798,1515
810105,989,1005,1011,1027,1097,1101,1120,1003,1158,1155,1570,1526,1403,1557
