geoid,name,st,cty_fips,cz,pop2010,rucc,cbsa,csa,metro_type,msp,msp_yr,msp_accr,msp_affl,jobs_02,jobs_03,jobs_04,jobs_05,jobs_06,jobs_07,jobs_08,jobs_09,jobs_10,jobs_11,jobs_12,jobs_13,jobs_14,jobs_15
808675,Brighton,Colorado,8001,5,33352,1,19740,216,Metropolitan Statistical Area,0,0,0,0,8915,9688,10165,10268,11342,12261,11395,10013,11780,11901,13401,13742,14860,14639
823135,Edgewater,Colorado,8059,5,5170,1,19740,216,Metropolitan Statistical Area,0,0,0,0,734,871,478,791,784,1021,1016,1028,942,840,1081,1142,1031,1320
824785,Englewood,Colorado,8005,5,30255,1,19740,216,Metropolitan Statistical Area,0,0,0,0,20502,20144,20058,23890,24905,25158,23874,22928,22268,23852,24876,25462,26915,27647
830835,Golden,Colorado,8059,5,18867,1,19740,216,Metropolitan Statistical Area,0,0,0,0,17527,17601,16884,17124,17370,17628,17329,16974,17695,17396,17646,17284,18339,19186
838370,Idaho Springs,Colorado,8019,5,1717,1,19740,216,Metropolitan Statistical Area,0,0,0,0,684,624,649,566,684,722,744,761,776,740,821,789,794,729
845255,Littleton,Colorado,8005,5,41737,1,19740,216,Metropolitan Statistical Area,0,0,0,0,29651,28223,26185,29377,29054,28667,28717,29664,27900,30624,27956,31241,31164,32227
2601180,Algonac,Michigan,26147,232,4110,1,19820,220,Metropolitan Statistical Area,0,0,0,0,471,524,495,423,516,473,453,434,494,419,603,536,564,490
2601380,Allen Park,Michigan,26163,232,28210,1,19820,220,Metropolitan Statistical Area,0,0,0,0,16874,16031,15040,15141,15177,13519,12696,11265,11692,10546,10770,11519,11151,12052
2607020,Belleville,Michigan,26163,232,3991,1,19820,220,Metropolitan Statistical Area,0,0,0,0,3137,3549,3693,4086,3497,1274,1224,3219,3253,2999,1433,1461,1115,1912
2607660,Berkley,Michigan,26125,232,14970,1,19820,220,Metropolitan Statistical Area,0,0,0,0,4893,4894,5429,5073,5206,5431,5557,5172,4687,5293,5161,5514,5719,6090
2608640,Birmingham,Michigan,26125,232,20103,1,19820,220,Metropolitan Statistical Area,0,0,0,0,15357,15750,15825,16058,14279,14229,14474,12759,12485,14573,15760,15150,16139,16389
2609180,Bloomfield Hills,Michigan,26125,232,3869,1,19820,220,Metropolitan Statistical Area,0,0,0,0,6303,5636,5505,4341,3986,7981,7639,6628,6356,6635,5821,6129,6240,5576
2610620,Brighton,Michigan,26093,232,7444,1,19820,220,Metropolitan Statistical Area,0,0,0,0,12443,13321,12510,12735,12844,12525,12283,11048,10937,11660,7727,7974,7798,8738
2614320,Center Line,Michigan,26099,232,8257,1,19820,220,Metropolitan Statistical Area,0,0,0,0,6497,5851,5655,5448,5614,5291,5493,4295,4162,4503,4655,4569,4244,4397
2616160,Clawson,Michigan,26125,232,11825,1,19820,220,Metropolitan Statistical Area,0,0,0,0,4178,3946,3963,4279,4349,3973,4189,3929,3927,4210,4046,4124,4322,4402
2621020,Dearborn Heights,Michigan,26163,232,57774,1,19820,220,Metropolitan Statistical Area,0,0,0,0,13376,13454,13344,13253,11908,9988,9796,9344,8523,9089,9063,12084,8474,12508
2624290,Eastpointe,Michigan,26099,232,32442,1,19820,220,Metropolitan Statistical Area,0,0,0,0,9653,9257,8953,8508,7896,7976,7276,6429,6174,5500,5858,5691,5752,5059
2624740,Ecorse,Michigan,26163,232,9512,1,19820,220,Metropolitan Statistical Area,0,0,0,0,7975,7805,6432,6111,3456,3467,3218,1062,3341,3313,3477,3617,4084,3761
2627380,Farmington,Michigan,26125,232,10372,1,19820,220,Metropolitan Statistical Area,0,0,0,0,7688,7157,6826,7060,7057,8110,6369,7023,7812,7823,4977,5031,5107,4879
2627880,Ferndale,Michigan,26125,232,19900,1,19820,220,Metropolitan Statistical Area,0,0,0,0,9140,10279,9371,9168,8710,8390,8298,7724,7749,7074,6851,7546,7933,7664
2628360,Flat Rock,Michigan,26163,232,9878,1,19820,220,Metropolitan Statistical Area,0,0,0,0,5803,5905,6317,7821,7976,7504,7196,5779,5623,4917,2575,2513,2344,2714
2630060,Fowlerville,Michigan,26093,232,2886,1,19820,220,Metropolitan Statistical Area,0,0,0,0,1292,1203,1252,1124,1551,797,865,698,1429,1730,1691,1751,1484,1807
2631420,Garden City,Michigan,26163,232,27692,1,19820,220,Metropolitan Statistical Area,0,0,0,0,6542,6548,6648,6638,6566,6367,6417,5828,5921,5965,6080,5817,4993,5513
2635480,Grosse Pointe,Michigan,26163,232,5421,1,19820,220,Metropolitan Statistical Area,0,0,0,0,2165,2048,2002,1935,1718,1939,1807,1783,1680,1778,2261,2460,2383,2454
2635520,Grosse Pointe Farms,Michigan,26163,232,9479,1,19820,220,Metropolitan Statistical Area,0,0,0,0,3004,2236,2273,2152,1935,2042,2040,1937,1867,1909,2585,2757,2353,2585
2635540,Grosse Pointe Park,Michigan,26163,232,11555,1,19820,220,Metropolitan Statistical Area,0,0,0,0,1555,1498,1766,1993,2032,2052,1800,1597,1583,1714,1641,1751,1714,1765
2635580,Grosse Pointe Woods,Michigan,26163,232,16135,1,19820,220,Metropolitan Statistical Area,0,0,0,0,5053,5110,5204,5233,5175,4863,4484,4451,4367,4926,4428,4451,3939,4209
2636280,Hamtramck,Michigan,26163,232,22423,1,19820,220,Metropolitan Statistical Area,0,0,0,0,6024,5474,5232,5291,4584,3309,2979,3492,3103,3072,2628,2714,2416,2830
2638180,Highland Park,Michigan,26163,232,11776,1,19820,220,Metropolitan Statistical Area,0,0,0,0,3408,3887,3705,3917,3454,3663,3332,2944,2794,3677,3999,3814,4004,4148
2638700,Holly,Michigan,26125,232,6086,1,19820,220,Metropolitan Statistical Area,0,0,0,0,2055,2069,2098,1954,1846,1403,1323,1163,1558,1562,1218,1220,1234,1389
