town,time,cal_year,downtown_jobs,treated,treated_yr,cz,match,match_treat_yr,townid
Albia,-3,2003,978,0,0,393,Ottumwa,2006,S8
Albia,-2,2004,1035,0,0,393,Ottumwa,2006,S8
Albia,-1,2005,954,0,0,393,Ottumwa,2006,S8
Albia,0,2006,909,0,0,393,Ottumwa,2006,S8
Albia,1,2007,919,0,0,393,Ottumwa,2006,S8
Albia,2,2008,1005,0,0,393,Ottumwa,2006,S8
Albia,3,2009,1015,0,0,393,Ottumwa,2006,S8
Albia,4,2010,955,0,0,393,Ottumwa,2006,S8
Albia,5,2011,811,0,0,393,Ottumwa,2006,S8
Bloomfield,-3,2003,1029,1,1995,393,Ottumwa,2006,S16
Bloomfield,-2,2004,969,1,1995,393,Ottumwa,2006,S16
Bloomfield,-1,2005,976,1,1995,393,Ottumwa,2006,S16
Bloomfield,0,2006,992,1,1995,393,Ottumwa,2006,S16
Bloomfield,1,2007,872,1,1995,393,Ottumwa,2006,S16
Bloomfield,2,2008,866,1,1995,393,Ottumwa,2006,S16
Bloomfield,3,2009,846,1,1995,393,Ottumwa,2006,S16
Bloomfield,4,2010,851,1,1995,393,Ottumwa,2006,S16
Bloomfield,5,2011,808,1,1995,393,Ottumwa,2006,S16
Boone,-3,1997,1501,0,0,15,Story City,2000,S18
Boone,-2,1998,1245,0,0,15,Story City,2000,S18
Boone,-1,1999,1523,0,0,15,Story City,2000,S18
Boone,0,2000,1524,0,0,15,Story City,2000,S18
Boone,1,2001,1446,0,0,15,Story City,2000,S18
Boone,2,2002,1841,0,0,15,Story City,2000,S18
Boone,3,2003,2136,0,0,15,Story City,2000,S18
Boone,4,2004,2121,0,0,15,Story City,2000,S18
Boone,5,2005,1862,0,0,15,Story City,2000,S18
Britt,-3,2001,290,0,0,304,Mason City,2004,S19
Britt,-2,2002,277,0,0,304,Mason City,2004,S19
Britt,-1,2003,362,0,0,304,Mason City,2004,S19
Britt,0,2004,372,0,0,304,Mason City,2004,S19
Britt,1,2005,296,0,0,304,Mason City,2004,S19
Britt,2,2006,287,0,0,304,Mason City,2004,S19
Britt,3,2007,297,0,0,304,Mason City,2004,S19
Britt,4,2008,294,0,0,304,Mason City,2004,S19
Britt,5,2009,276,0,0,304,Mason City,2004,S19
Brooklyn,-3,2006,412,0,0,455,Colfax,2009,S20
Brooklyn,-2,2007,271,0,0,455,Colfax,2009,S20
Brooklyn,-1,2008,279,0,0,455,Colfax,2009,S20
Brooklyn,0,2009,260,0,0,455,Colfax,2009,S20
Brooklyn,1,2010,266,0,0,455,Colfax,2009,S20
Brooklyn,2,2011,262,0,0,455,Colfax,2009,S20
Brooklyn,3,2012,267,0,0,455,Colfax,2009,S20
Brooklyn,4,2013,293,0,0,455,Colfax,2009,S20
Brooklyn,5,2014,281,0,0,455,Colfax,2009,S20
Brooklyn,-3,1999,47,0,0,455,Marshalltown,2002,S21
Brooklyn,-2,2000,47,0,0,455,Marshalltown,2002,S21
Brooklyn,-1,2001,41,0,0,455,Marshalltown,2002,S21
Brooklyn,0,2002,49,0,0,455,Marshalltown,2002,S21
Brooklyn,1,2003,234,0,0,455,Marshalltown,2002,S21
Brooklyn,2,2004,223,0,0,455,Marshalltown,2002,S21
Brooklyn,3,2005,245,0,0,455,Marshalltown,2002,S21
Brooklyn,4,2006,412,0,0,455,Marshalltown,2002,S21
Brooklyn,5,2007,271,0,0,455,Marshalltown,2002,S21
Brooklyn,-3,1997,252,0,0,455,State Center,2000,S23
Brooklyn,-2,1998,44,0,0,455,State Center,2000,S23
Brooklyn,-1,1999,47,0,0,455,State Center,2000,S23
Brooklyn,0,2000,47,0,0,455,State Center,2000,S23
Brooklyn,1,2001,41,0,0,455,State Center,2000,S23
Brooklyn,2,2002,49,0,0,455,State Center,2000,S23
Brooklyn,3,2003,234,0,0,455,State Center,2000,S23
Brooklyn,4,2004,223,0,0,455,State Center,2000,S23
Brooklyn,5,2005,245,0,0,455,State Center,2000,S23
