id_yr,id,year,geoid,name,st,x,y
145726675_2000,145726675,2000,1955110,Muscatine,Iowa,-91.04259,41.42352
860261544_2000,860261544,2000,1980985,Villisca,Iowa,-94.985083,40.934674
985453414_2000,985453414,2000,1928605,Fort Madison,Iowa,-91.37439,40.62531
144866654_2000,144866654,2000,1959835,Osceola,Iowa,-93.76581,41.03196
983754474_2000,983754474,2000,1956100,New Hampton,Iowa,-92.3174,43.06541
144847001_2000,144847001,2000,1949755,Marshalltown,Iowa,-92.9222,42.05009
145296729_2000,145296729,2000,1973290,Sioux Center,Iowa,-96.17529,43.06939
890648967_2000,890648967,2000,1960465,Ottumwa,Iowa,-92.42025,41.0084
703743955_2000,703743955,2000,1914430,Clinton,Iowa,-90.22168,41.8176
312931108_2000,312931108,2000,1960465,Ottumwa,Iowa,-92.42454,40.99625
416559797_2000,416559797,2000,1913620,Clarion,Iowa,-93.734383,42.720783
003543733_2000,003543733,2000,1939450,Jefferson,Iowa,-94.37832,42.03225
498915032_2000,498915032,2000,1917265,Creston,Iowa,-94.36657,41.04929
145074647_2000,145074647,2000,1925590,Emmetsburg,Iowa,-94.67904,43.11195
145718060_2000,145718060,2000,1955110,Muscatine,Iowa,-91.04305,41.423
407924323_2000,407924323,2000,1909550,Burlington,Iowa,-91.10946,40.79557
509069449_2000,509069449,2000,1907030,Bloomfield,Iowa,-92.42143,40.75074
888860764_2000,888860764,2000,1913080,Cherokee,Iowa,-95.54891,42.74955
450423520_2000,450423520,2000,1911080,Carroll,Iowa,-94.86552,42.06564
145001533_2000,145001533,2000,1950160,Mason City,Iowa,-93.21005,43.15328
145196887_2000,145196887,2000,1917265,Creston,Iowa,-94.362122,41.058488
825677966_2000,825677966,2000,1978285,Tipton,Iowa,-91.1219,41.76655
524712569_2000,524712569,2000,1978510,Toledo,Iowa,-92.57985577834182,41.99567470471652
890647175_2000,890647175,2000,1958665,Ogden,Iowa,-94.02915,42.03883
998680227_2000,998680227,2000,1909550,Burlington,Iowa,-91.12402,40.80215
902102284_2000,902102284,2000,1973290,Sioux Center,Iowa,-96.169738,43.082116
145704078_2000,145704078,2000,1914430,Clinton,Iowa,-90.19979,41.83168
966306573_2000,966306573,2000,1960465,Ottumwa,Iowa,-92.41123,41.01918
843391467_2000,843391467,2000,1928515,Fort Dodge,Iowa,-94.18956,42.50406
843548025_2000,843548025,2000,1960465,Ottumwa,Iowa,-92.4245,41.02494
145450763_2000,145450763,2000,1919405,Decorah,Iowa,-91.78525,43.3041
145634192_2000,145634192,2000,1959925,Oskaloosa,Iowa,-92.65413,41.29825
312487507_2000,312487507,2000,1956505,Newton,Iowa,-93.052661,41.70193
004455432_2000,004455432,2000,1919405,Decorah,Iowa,-91.785775,43.302109
471465682_2000,471465682,2000,1948810,Manchester,Iowa,-91.45639882474319,42.483946165377745
983728338_2000,983728338,2000,1928515,Fort Dodge,Iowa,-94.18562,42.50645
898442785_2000,898442785,2000,1926445,Fairfield,Iowa,-91.96218,41.00802
452616394_2000,452616394,2000,1914430,Clinton,Iowa,-90.20114,41.85923
515214898_2000,515214898,2000,1955110,Muscatine,Iowa,-91.05525,41.43377
402517783_2000,402517783,2000,1924465,Eldora,Iowa,-93.09896,42.36058
402537153_2000,402537153,2000,1903655,Audubon,Iowa,-94.930295,41.722002
931634745_2000,931634745,2000,1983145,Webster City,Iowa,-93.82032,42.46935
492119516_2000,492119516,2000,1901495,Alta,Iowa,-95.304751,42.669934
974029845_2000,974029845,2000,1982740,Waukon,Iowa,-91.49097,43.26992
511920340_2000,511920340,2000,1952095,Milford,Iowa,-95.14899847463084,43.32499294972996
935259739_2000,935259739,2000,1974280,Spencer,Iowa,-95.16731,43.14916
983789819_2000,983789819,2000,1919405,Decorah,Iowa,-91.797566,43.322927
487841025_2000,487841025,2000,1909550,Burlington,Iowa,-91.103973,40.811228
144873494_2000,144873494,2000,1962040,Pella,Iowa,-92.91638,41.40749
843588005_2000,843588005,2000,1917265,Creston,Iowa,-94.37163,41.04977
145291290_2000,145291290,2000,1968205,Rock Valley,Iowa,-96.3022,43.20013
514358688_2000,514358688,2000,1963975,Pocahontas,Iowa,-94.669608,42.735316
145238028_2000,145238028,2000,1959475,Orange City,Iowa,-96.05803,43.00811
307597559_2000,307597559,2000,1982335,Washington,Iowa,-91.69236,41.29974
987763547_2000,987763547,2000,1950160,Mason City,Iowa,-93.213733,43.149617
705176634_2000,705176634,2000,1955110,Muscatine,Iowa,-91.04063665019794,41.4229098122608
145008454_2000,145008454,2000,1950160,Mason City,Iowa,-93.208752,43.156802
509078135_2000,509078135,2000,1983685,West Burlington,Iowa,-91.187137,40.817171
455506378_2000,455506378,2000,1949755,Marshalltown,Iowa,-92.91105,42.04896
402523237_2000,402523237,2000,1942015,Knoxville,Iowa,-93.09703,41.31849
462581273_2000,462581273,2000,1935265,Hawarden,Iowa,-96.48632,42.9945
145289401_2000,145289401,2000,1968160,Rock Rapids,Iowa,-96.16783,43.43192
144860392_2000,144860392,2000,1956505,Newton,Iowa,-93.03504,41.69908
145056404_2000,145056404,2000,1928515,Fort Dodge,Iowa,-94.18259383246033,42.50461283039442
425399615_2000,425399615,2000,1919405,Decorah,Iowa,-91.79796,43.30927
474161924_2000,474161924,2000,1912315,Centerville,Iowa,-92.877039,40.729974
992937698_2000,992937698,2000,1944535,Leon,Iowa,-93.74584,40.74054
145602025_2000,145602025,2000,1960465,Ottumwa,Iowa,-92.42117,41.00738
983768227_2000,983768227,2000,1966405,Remsen,Iowa,-95.97446,42.81456
515150225_2000,515150225,2000,1937560,Humboldt,Iowa,-94.21158,42.72172
145720843_2000,145720843,2000,1955110,Muscatine,Iowa,-91.04424,41.43932
482036381_2000,482036381,2000,1959115,Onawa,Iowa,-96.11247,42.02991
860268325_2000,860268325,2000,1925590,Emmetsburg,Iowa,-94.68512833862684,43.11467289470028
489368225_2000,489368225,2000,1958620,Oelwein,Iowa,-91.91076,42.67355
144828878_2000,144828878,2000,1942015,Knoxville,Iowa,-93.114553,41.316644
407926401_2000,407926401,2000,1909550,Burlington,Iowa,-91.10163,40.80833
959942764_2000,959942764,2000,1955110,Muscatine,Iowa,-91.03542,41.45177
704630458_2000,704630458,2000,1955110,Muscatine,Iowa,-91.02993,41.44573
450156195_2000,450156195,2000,1901135,Algona,Iowa,-94.21214,43.0797
145014494_2000,145014494,2000,1905680,Belmond,Iowa,-93.6159,42.84598
713478253_2000,713478253,2000,1950160,Mason City,Iowa,-93.24018,43.14435
600910368_2000,600910368,2000,1974280,Spencer,Iowa,-95.14588,43.1412
416560076_2000,416560076,2000,1913620,Clarion,Iowa,-93.73286935319629,42.73193665164064
843514084_2000,843514084,2000,1973110,Sigourney,Iowa,-92.19762,41.33651
939051207_2000,939051207,2000,1909550,Burlington,Iowa,-91.12009,40.80004
888863297_2000,888863297,2000,1913080,Cherokee,Iowa,-95.54777,42.75969
509069944_2000,509069944,2000,1940935,Keosauqua,Iowa,-91.96219,40.73064
700247497_2000,700247497,2000,1911080,Carroll,Iowa,-94.843345,42.063017
860053487_2000,860053487,2000,1913080,Cherokee,Iowa,-95.55674,42.74645
890644966_2000,890644966,2000,1955110,Muscatine,Iowa,-91.06892,41.39439
843388398_2000,843388398,2000,1901135,Algona,Iowa,-94.239333,43.074051
425480381_2000,425480381,2000,1928515,Fort Dodge,Iowa,-94.16531889856617,42.505189504979455
987762663_2000,987762663,2000,1950160,Mason City,Iowa,-93.201314,43.150567
825643653_2000,825643653,2000,1909550,Burlington,Iowa,-91.1234,40.83361
896401841_2000,896401841,2000,1942960,Lamoni,Iowa,-93.93342,40.62333
825678543_2000,825678543,2000,1978285,Tipton,Iowa,-91.13638,41.77075
472904390_2000,472904390,2000,1949755,Marshalltown,Iowa,-92.92298057434414,42.06654421560188
510833353_2000,510833353,2000,1940845,Keokuk,Iowa,-91.38655,40.40565
145016010_2000,145016010,2000,1908605,Britt,Iowa,-93.801672,43.097559
976443028_2000,976443028,2000,1926445,Fairfield,Iowa,-91.962322,41.006128
407928241_2000,407928241,2000,1921180,De Witt,Iowa,-90.54373,41.81792
145011110_2000,145011110,2000,1950160,Mason City,Iowa,-93.19829,43.15293
179639869_2000,179639869,2000,1974280,Spencer,Iowa,-95.15743,43.127
308203934_2000,308203934,2000,1962040,Pella,Iowa,-92.90179,41.39744
145153052_2000,145153052,2000,1958620,Oelwein,Iowa,-91.90266051845566,42.67841151700674
145000691_2000,145000691,2000,1950160,Mason City,Iowa,-93.20164,43.13319
843341405_2000,843341405,2000,1958665,Ogden,Iowa,-94.03002,42.03895
145030169_2000,145030169,2000,1933960,Hampton,Iowa,-93.217871,42.741622
