GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
" ""01001""","Autauga, AL",5,CAINC91,10,...,Inflows of earnings,Thousands of dollars,226135,240652,262125,278139,304706,328869,351460,382126,400714,429942,459468,499163,545028,591711,642129,695933,764310,817511,863766,843787,860153,875353,888729,876440,914451,960283,987780,1005272,1021062
" ""01001""","Autauga, AL",5,CAINC91,20,...,Outflows of earnings,Thousands of dollars,48149,52897,61207,60393,63678,66552,71979,76104,83420,91260,98138,120593,130287,142506,169834,165056,187924,183829,165190,151604,142745,150783,143964,144390,150780,155994,160659,163389,172161
" ""01001""","Autauga, AL",5,CAINC91,30,...,Adjustment for residence,Thousands of dollars,177986,187755,200918,217746,241028,262317,279481,306022,317294,338682,361330,378570,414741,449205,472295,530877,576386,633682,698576,692183,717408,724570,744765,732050,763671,804289,827121,841883,848901
" ""01003""","Baldwin, AL",5,CAINC91,10,...,Inflows of earnings,Thousands of dollars,440104,504141,568494,635250,682614,712829,770298,853441,872368,903528,969797,991310,996242,1032877,1090690,1162223,1244502,1342290,1451166,1519430,1629030,1792985,1825777,1809922,1871446,1993908,2167523,2265947,2357592
" ""01003""","Baldwin, AL",5,CAINC91,20,...,Outflows of earnings,Thousands of dollars,49994,55484,62386,70989,81145,90837,100610,113382,126762,142715,153283,162488,172811,186157,205983,234591,267988,292443,299857,271291,261050,262590,257571,257235,275093,297171,313035,327269,350690
" ""01003""","Baldwin, AL",5,CAINC91,30,...,Adjustment for residence,Thousands of dollars,390110,448657,506108,564261,601469,621992,669688,740059,745606,760813,816514,828822,823431,846720,884707,927632,976514,1049847,1151309,1248139,1367980,1530395,1568206,1552687,1596353,1696737,1854488,1938678,2006902
" ""01005""","Barbour, AL",5,CAINC91,10,...,Inflows of earnings,Thousands of dollars,46819,46728,48907,50427,51254,52560,54031,55713,57940,59720,58069,61889,66820,73762,80441,85953,90092,97833,102245,110789,114258,118871,122645,122933,125322,125022,127416,130313,135706
" ""01005""","Barbour, AL",5,CAINC91,20,...,Outflows of earnings,Thousands of dollars,36181,39176,44714,50258,54517,53967,56714,61460,71123,82564,87406,91049,90162,90547,93908,99386,103696,106648,105049,100725,104580,107934,104256,105963,108094,112610,109588,111019,118742
" ""01005""","Barbour, AL",5,CAINC91,30,...,Adjustment for residence,Thousands of dollars,10638,7552,4193,169,-3263,-1407,-2683,-5747,-13183,-22844,-29337,-29160,-23342,-16785,-13467,-13433,-13604,-8815,-2804,10064,9678,10937,18389,16970,17228,12412,17828,19294,16964
" ""01007""","Bibb, AL",5,CAINC91,10,...,Inflows of earnings,Thousands of dollars,79258,82371,87956,92394,99315,106045,112822,121488,129469,139544,146244,158538,168597,179709,188552,207849,223401,235602,242676,222158,221912,227047,233764,226475,229971,245251,237928,238002,244957
" ""01007""","Bibb, AL",5,CAINC91,20,...,Outflows of earnings,Thousands of dollars,19685,24040,32972,31923,35401,36898,35532,38565,49634,49392,47803,45017,45087,46336,50196,57468,59448,67003,75530,80454,80001,76967,75539,75262,77138,78371,82010,80651,81591
" ""01007""","Bibb, AL",5,CAINC91,30,...,Adjustment for residence,Thousands of dollars,59573,58331,54984,60471,63914,69147,77290,82923,79835,90152,98441,113521,123510,133373,138356,150381,163953,168599,167146,141704,141911,150080,158225,151213,152833,166880,155918,157351,163366
" ""01009""","Blount, AL",5,CAINC91,10,...,Inflows of earnings,Thousands of dollars,229094,242107,265915,281126,305152,328472,352062,378932,409206,440617,472135,493929,520221,550807,573768,599723,623432,682849,705857,678833,663372,699137,715520,727747,745587,773076,804870,830550,862122
" ""01009""","Blount, AL",5,CAINC91,20,...,Outflows of earnings,Thousands of dollars,30081,34915,47436,52986,67083,78855,63453,66585,60479,71349,70817,72657,70786,70545,72600,77417,81171,88916,93269,90129,84320,83075,84622,85570,89191,92889,94811,97117,102646
" ""01009""","Blount, AL",5,CAINC91,30,...,Adjustment for residence,Thousands of dollars,199013,207192,218479,228140,238069,249617,288609,312347,348727,369268,401318,421272,449435,480262,501168,522306,542261,593933,612588,588704,579052,616062,630898,642177,656396,680187,710059,733433,759476
" ""01011""","Bullock, AL",5,CAINC91,10,...,Inflows of earnings,Thousands of dollars,17226,18384,20003,21223,22815,23942,25070,26099,27946,30276,31424,34490,37688,41077,46745,53729,61324,67724,73259,66767,63725,60742,55804,51145,52134,53355,54801,55338,57495
" ""01011""","Bullock, AL",5,CAINC91,20,...,Outflows of earnings,Thousands of dollars,13224,15076,16899,18240,20104,22382,23151,25600,27936,29383,31202,33488,35115,38589,49385,55415,58496,59052,52933,49864,55141,50014,46818,44794,47555,49091,50605,51944,52481
" ""01011""","Bullock, AL",5,CAINC91,30,...,Adjustment for residence,Thousands of dollars,4002,3308,3104,2983,2711,1560,1919,499,10,893,222,1002,2573,2488,-2640,-1686,2828,8672,20326,16903,8584,10728,8986,6351,4579,4264,4196,3394,5014
" ""01013""","Butler, AL",5,CAINC91,10,...,Inflows of earnings,Thousands of dollars,34931,37396,40732,43395,46712,49401,52590,55675,58347,61120,65433,73040,71061,75379,79881,86864,92689,93085,94183,86914,86499,90116,91226,93675,98190,101610,103964,104419,107064
