"CAGDP9 Real GDP by county and metropolitan area 1/"
"Real GDP: All industry total (Thousands of chained 2012 dollars)" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"19000","Iowa",120668624,124096706,129316356,139748561,143876274,145887205,152251169,149131885,145618264,149535605,151247946,157250792,156636619,165088076,169374989,168876432,168434541,172071984
"26000","Michigan",423623629,435250372,443794724,444198238,450745894,443308312,441148492,416701807,380091189,400941416,411465712,418857402,424319892,431510944,442481789,452268793,459129090,470529220
"39000","Ohio",501815353,514752042,522648904,534358655,543744720,541179560,541411169,537199701,509215657,521094681,538703320,540819313,550800007,571911563,580414093,585088902,594315188,605394561
"55000","Wisconsin",236113003,240995649,247867018,256002607,262160796,266471341,267936052,264632066,257142573,264841135,270372493,274343940,276189542,282078933,287164320,290750202,294657127,301622690
"19001","Adair, IA",253471,270486,272391,321481,282737,291786,276741,305208,289391,284644,317355,308254,344693,324062,328347,315310,319374,324537
"19003","Adams, IA",143313,169650,145118,166861,146435,143958,137023,161809,169809,167242,185028,176310,210415,257574,283787,302511,280320,296386
"19005","Allamakee, IA",476497,478789,506316,547378,541030,557361,555703,541585,505021,542931,557204,528705,538374,560134,571989,593313,544488,541503
"19007","Appanoose, IA",318390,333763,350101,372050,365033,360955,342130,359226,357965,360406,370137,371473,367872,352747,357330,359058,358792,348067
"19009","Audubon, IA",175721,193215,185600,237743,232447,254292,239903,295853,281886,280812,279950,247814,289622,281482,245856,236395,249683,249566
"19011","Benton, IA",540586,585742,563597,603625,580762,613138,643433,668595,666335,696174,708448,701505,721176,681986,656477,660277,680997,740852
"19013","Black Hawk, IA",5300106,5590322,5606031,6352344,6540922,6413687,6628775,6539195,6541899,6977138,6824756,8000108,7104726,7938249,7466513,6835480,6895327,7115887
"19015","Boone, IA",758700,811900,848736,886865,880443,888427,908946,903193,940835,913836,954698,956703,960885,958352,918138,910775,885440,967923
"19017","Bremer, IA",754514,770799,766939,887826,945182,939416,1024006,928697,870794,879524,926519,1019252,1001099,1060134,1099724,1092552,1053747,1039846
"19019","Buchanan, IA",526519,549776,540529,598263,620916,651288,658430,618407,645034,643113,723551,677576,687736,645661,611563,591005,611841,601478
"19021","Buena Vista, IA",834424,860582,874279,948834,951039,1002604,1070157,1156199,1175658,1219040,1218581,1251315,1274975,1330767,1396750,1384319,1402443,1462894
"19023","Butler, IA",328459,355142,332305,420129,417381,442598,462204,443422,457058,511115,530686,526693,611308,601688,651233,764111,792589,739157
"19025","Calhoun, IA",281222,305636,310394,366630,381037,391526,417410,441751,395026,430076,445030,433766,410920,479293,407984,460719,424002,490304
"19027","Carroll, IA",852217,869375,906110,1020832,1056041,1112037,1134293,1131349,1119526,1198085,1187295,1170615,1223292,1282222,1247115,1296807,1315642,1325535
"19029","Cass, IA",417362,441095,441142,499053,494383,515315,504116,537595,536103,521019,549871,587052,637349,639216,666664,621439,633006,640979
"19031","Cedar, IA",423376,454291,453538,464204,444469,484183,496990,497195,493607,517922,583539,589898,590615,571711,524823,505210,503107,544340
"19033","Cerro Gordo, IA",1871453,1926346,2121178,2315564,2458060,2410681,2427088,2269529,2135513,2143294,2168597,2207945,2221186,2332583,2392015,2383966,2294118,2360792
"19035","Cherokee, IA",470588,508499,533391,561140,587560,777129,834511,740114,765748,768006,681558,653862,718566,852883,873033,900002,851770,876700
"19037","Chickasaw, IA",365248,372575,376059,429246,440765,448115,455077,467635,466723,511926,560913,552963,632155,665923,751812,773455,664332,690161
"19039","Clarke, IA",297708,304231,306506,324778,345649,374303,384945,368540,347259,348486,341519,348886,359473,366641,375228,372653,403686,421066
"19041","Clay, IA",691627,698811,729750,771437,780769,804417,829852,871638,822744,872599,906227,943023,890499,934488,1003498,882288,922509,964775
"19043","Clayton, IA",515043,528152,541378,593092,594174,610003,589928,585748,536858,617801,673565,688653,721350,766257,790524,811869,840723,832243
"19045","Clinton, IA",2264353,2319122,2385442,2447970,2307465,2356805,2300542,2265537,2274116,2322498,2346887,2179916,2244554,2152036,2159484,2089255,2095720,2106560
"19047","Crawford, IA",576686,599317,633987,714346,737921,810628,937274,976426,897500,819138,832187,846142,877979,793228,719279,694175,709390,736402
"19049","Dallas, IA",1081300,1139697,1288554,1817834,2083937,2172107,2635765,2675854,2775044,2944447,3230427,3663192,3691257,4199373,4561560,4746397,4679801,4763330
"19051","Davis, IA",172397,181230,171924,180063,173058,178717,179885,171812,178078,194425,204781,221918,239196,210933,204049,223490,221016,221183
"19053","Decatur, IA",150636,145617,151165,176302,175860,181935,173504,179230,182759,181610,187676,185476,192625,189027,190197,188600,216742,224155
"19055","Delaware, IA",492864,491391,505899,533745,548197,605525,623990,633830,630901,729113,761121,702153,807262,802132,835932,781261,820910,845252
"19057","Des Moines, IA",1785989,1790366,1808563,1877658,1858651,1997861,2000724,1937045,1770119,1742836,1826302,1859378,2018383,2141529,2172710,2196937,2166900,2198139
"19059","Dickinson, IA",664170,715042,718265,736546,739395,747033,754551,716482,736423,815736,800820,868518,791882,801170,881676,852238,874636,850226
"19061","Dubuque, IA",3593402,3781963,3943983,4377014,4660117,4764897,5000251,4620877,4320595,4594294,4667023,5134974,4901469,5072109,5185679,5073477,5120001,5194130
"19063","Emmet, IA",339596,364673,367119,377926,369560,387152,419775,419624,394827,429185,421911,463562,428098,443097,459816,369340,417605,363045
"19065","Fayette, IA",533706,553388,542837,612643,630282,636206,659594,636552,594352,665033,722393,730007,722231,720405,687063,699973,731090,698596
"19067","Floyd, IA",656001,694312,671189,727914,686414,722272,644540,723623,689701,735229,671567,613653,713732,666746,721511,706885,657302,644007
"19069","Franklin, IA",345295,371998,363661,452211,458091,495277,517779,471280,485517,525079,577431,606589,635432,703531,685354,677570,702524,679214
"19071","Fremont, IA",255118,261192,288988,311576,302461,337109,336678,335197,394563,364509,352817,357552,344939,311315,256471,238303,252905,241298
"19073","Greene, IA",271014,317225,322147,357854,341298,348506,389658,384752,449030,422685,474376,461275,468713,491220,411558,418401,402151,417537
"19075","Grundy, IA",396058,424469,425770,465451,456059,486946,479198,498609,512857,508036,499846,519238,509438,474022,603480,571645,700598,638762
"19077","Guthrie, IA",255000,284148,304388,386190,396080,437688,461252,477840,414325,406218,440927,428901,469776,477835,465170,424237,427466,457313
"19079","Hamilton, IA",650933,636857,739326,849838,845455,1091313,1028826,891570,725774,736141,749933,701992,758915,813720,765608,655830,680309,807344
"19081","Hancock, IA",472206,559391,566923,667956,649490,677408,668261,628632,489309,652964,727011,770776,774636,831132,798787,664429,752094,755413
"19083","Hardin, IA",778715,794055,740849,847040,849704,908279,928259,879714,821195,898717,897466,910077,898503,964155,907548,940470,1006092,1002720
"19085","Harrison, IA",327989,364253,360913,393152,366548,375608,392858,414207,459516,412323,444960,455474,523961,463659,479292,516804,446383,451315
"19087","Henry, IA",746856,767662,753028,830296,843749,847581,862384,845310,771784,761766,775359,811984,798593,771273,750872,744410,751270,798306
"19089","Howard, IA",280266,319843,304664,347778,371399,381471,390805,364862,300157,428375,455296,465372,434270,439749,454760,417916,391889,417568
"19091","Humboldt, IA",333173,369315,352412,390163,382572,382625,384538,390293,402147,380314,451630,474885,460572,465728,475114,470312,443321,443824
"19093","Ida, IA",308983,343920,340412,374818,373145,383993,408411,444816,394633,426262,409405,413855,422879,421253,385707,378111,428877,429048
"19095","Iowa, IA",736629,832588,899475,931771,884543,978245,917256,967568,831583,912063,756015,897326,867654,816703,775203,738351,771035,802948
"19097","Jackson, IA",410001,427363,469053,495658,488210,492171,475725,484313,461516,494747,523386,530257,579127,551894,600793,605127,559811,593898
"19099","Jasper, IA",1339697,1274778,1322805,1225650,1201165,1363081,1302200,1110952,1087977,1040444,1050134,1087957,1045986,1076227,988209,982323,976723,1058798
