"CAGDP9 Real GDP by county and metropolitan area 1/"
"Real GDP: Manufacturing (Thousands of chained 2012 dollars)" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"19000","Iowa",23106330,23591665,24918511,27907373,27815734,29920183,29949821,29929587,26015212,27990229,27130402,29416128,28747337,31659868,31280319,27503010,28395425,29986999
"26000","Michigan",74880689,80228329,83146729,80866624,82647444,82484365,86205457,74252148,53781712,68625062,75443185,77984615,82975971,82737958,82054719,83092513,84893366,88791880
"39000","Ohio",95577142,98440977,100145686,106837664,107906761,109085865,108397047,100590210,82969943,89015446,95124351,91579867,94095618,103699016,99400033,98794343,99459362,103329954
"55000","Wisconsin",46402856,46555125,48180519,50518108,51640011,55156680,54827612,51075008,45553196,49724470,52111405,53925501,54703309,54664062,54106164,53496312,54770662,56922095
"19001","Adair, IA",68953,66935,76322,89182,80399,79314,62510,57929,50712,55174,54309,57334,58968,64609,73570,"(D)","(D)",74233
"19003","Adams, IA",38733,40661,30237,31915,28129,27889,24151,32084,22128,28388,32071,28407,41210,79974,98700,104302,85466,91244
"19005","Allamakee, IA",110760,112684,130146,142368,131013,134219,140191,116116,104337,107318,101167,90216,79506,71752,70820,70282,75636,79305
"19007","Appanoose, IA",74387,75506,87264,94768,91351,84824,69169,80936,68789,73352,72899,78487,63299,69226,69622,64265,65121,59853
"19009","Audubon, IA",15401,19206,19075,23490,24049,22855,23888,66223,54638,51489,22575,24937,21548,31795,28504,21490,22851,23313
"19011","Benton, IA",67623,67150,67897,77679,76984,82972,85076,81747,67887,60916,61816,68912,82437,100814,110799,118526,135565,148642
"19013","Black Hawk, IA",1598072,1834487,1733280,2222632,2225906,2119784,2188978,2079789,2059356,2394342,2125692,3199369,2370800,3184266,2706542,2022956,2123692,2286191
"19015","Boone, IA",82554,84706,93103,94101,92012,95127,92511,94712,83145,81062,74293,65113,89258,100339,100151,84302,91084,91375
"19017","Bremer, IA",128296,136919,134131,184319,195780,227134,233002,241807,183089,198207,178281,225690,192153,210904,190614,158237,154916,159107
"19019","Buchanan, IA",92097,95374,116369,128042,125603,121354,119938,117948,100466,103117,107782,106327,94261,99735,102369,93084,98939,110625
"19021","Buena Vista, IA",206854,200861,229122,259561,251746,285560,334966,356779,373812,366093,351212,325867,315294,280391,280517,269347,303487,325015
"19023","Butler, IA",30922,39407,37649,50905,54105,59898,59551,67718,67795,83959,83952,117767,127895,141181,193866,201607,255971,243497
"19025","Calhoun, IA",9057,10135,9097,8340,7222,6531,6164,6138,8607,10556,10098,10434,5328,3321,3816,2508,3830,4984
"19027","Carroll, IA",87150,71335,84140,94203,103575,123893,131543,117125,105895,118039,112468,104912,101088,101426,109604,107420,112806,120146
"19029","Cass, IA",40551,46042,48206,54070,54436,52987,49488,48906,32005,46402,51696,51245,59988,72118,85183,80735,75382,78946
"19031","Cedar, IA",57355,58768,54873,57585,56626,61258,60114,63870,52678,57467,59865,68417,64997,66723,66287,64934,67165,60942
"19033","Cerro Gordo, IA",371500,343826,460125,530058,556573,516083,524980,448836,335001,296305,321645,312979,351246,462182,464327,455281,363112,385162
"19035","Cherokee, IA",96285,91289,120629,131903,140454,311607,357475,221472,246835,263943,189213,126768,184670,286137,287915,268559,252372,264730
"19037","Chickasaw, IA",85323,81426,91728,95615,93280,94774,97252,99250,97626,91722,110023,116057,153362,215299,234277,232423,214105,231575
"19039","Clarke, IA",84684,84726,92098,99812,96833,112259,126757,120421,104666,105624,103331,104635,103809,107623,118859,115777,118085,128004
"19041","Clay, IA",91472,98147,101429,111587,110326,115065,118517,114569,73036,93753,108238,102619,88311,94264,82978,64178,61048,59073
"19043","Clayton, IA",51936,48300,56204,68097,72241,80476,82979,75007,55266,61873,65497,78447,80332,99360,102573,96613,97440,105087
"19045","Clinton, IA",1057355,1041959,1128683,1131819,999325,1000418,869130,831999,810575,862272,795511,678339,744479,724231,778491,729541,750708,764704
"19047","Crawford, IA",172904,165357,204316,229036,248818,338171,435027,410487,315706,262176,253316,240228,235967,205480,185703,168080,178906,194193
"19049","Dallas, IA",170555,166399,197847,233921,232492,243672,231816,214116,155938,167534,189106,206266,192567,188010,243631,244640,270204,280975
"19051","Davis, IA",44752,49273,39418,34173,32572,29525,29659,22558,14833,13788,15901,16877,20705,22361,25201,25640,27938,25070
"19053","Decatur, IA",9387,9473,9319,11411,11978,12091,10203,11421,8161,7253,6704,"(D)","(D)",5972,"(D)",6328,6642,"(D)"
"19055","Delaware, IA",94771,92225,112382,122517,131065,168477,171000,215151,210812,249327,219928,178385,185701,189490,173674,152326,172766,181183
"19057","Des Moines, IA",545448,548526,558343,613825,602073,718239,673800,628388,460013,453182,472318,480860,652948,771926,804535,781072,774357,789716
"19059","Dickinson, IA",149727,157957,155556,174107,176379,170612,159332,144111,163938,201069,175977,210625,151263,167704,186385,186097,186037,192232
