"CAGDP9 Real GDP by county and metropolitan area 1/"
"Real GDP: Retail trade (Thousands of chained 2012 dollars)" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"19000","Iowa",8061606,8345557,8628020,8614875,8557596,8440895,8218554,8405900,8458698,8521680,8526569,8630742,8590812,8497092,8755561,9230827,9439022,9596760
"26000","Michigan",28751934,29312331,30261456,29494254,29488653,28309308,27139548,26564974,26504927,26486616,26419003,25753738,25798024,26413183,27433379,28733672,29627911,31086020
"39000","Ohio",34780971,35812676,37994133,37778136,37447436,35089828,33857501,32443021,31417779,31619593,32123383,31731104,32983499,33724901,34973834,35821560,37809547,37681076
"55000","Wisconsin",15898977,16688514,17326971,17107236,17027791,17004489,16207286,15867129,15276158,15162444,15322954,14881419,15598920,15769211,16269750,16877102,17460646,18129166
"19001","Adair, IA",14283,14118,14543,13193,11709,11498,11335,12060,12307,12143,11963,12343,12430,13510,13076,13757,14082,14634
"19003","Adams, IA",6539,6563,6882,5985,5120,4509,3956,3932,4062,4228,7243,6511,6390,7432,9387,9849,8362,9049
"19005","Allamakee, IA",35749,37466,38948,36475,35485,34756,31109,30836,31522,36590,35424,35795,35211,35036,34973,35345,35200,36054
"19007","Appanoose, IA",24388,25219,25243,25002,25468,25193,25158,26278,26722,26412,26813,27126,26805,27235,28107,27845,28805,28874
"19009","Audubon, IA",13793,13520,12230,10737,9236,9153,8950,9269,10337,12325,10877,9763,8278,7627,7335,7590,7001,7472
"19011","Benton, IA",39710,41413,43030,39745,37836,35834,34047,35359,35469,39409,40120,42800,45175,47079,50182,52728,53849,57921
"19013","Black Hawk, IA",369283,376619,403661,419456,418941,398893,396663,414163,416342,414131,410538,417934,422474,417489,440737,467031,473612,480850
"19015","Boone, IA",71008,53654,57011,51637,51105,49619,48404,50013,47613,46171,46405,47572,48560,47790,49780,53731,55751,55677
"19017","Bremer, IA",39749,41860,45101,44771,44631,44945,43654,46596,49234,51502,52686,54632,54761,53645,54032,61832,62948,66138
"19019","Buchanan, IA",35799,37089,40231,39500,39408,42352,40684,41735,43198,44403,44676,44028,42299,41539,41642,44125,44823,46243
"19021","Buena Vista, IA",57097,59204,61482,57471,57764,58226,56978,55664,56293,58717,57678,58113,55787,54120,53383,54170,54377,55055
"19023","Butler, IA",19689,20338,21055,20674,17866,17478,15021,15070,17229,18390,17347,17242,18290,18163,18667,18373,18349,19156
"19025","Calhoun, IA",12326,11915,15844,16078,19404,19189,18412,16899,16808,17412,16655,16096,15881,15327,15776,16641,17473,17605
"19027","Carroll, IA",77292,78471,80436,80100,77038,70752,65395,68160,68239,67594,68021,68402,67700,68404,70287,72987,73535,74688
"19029","Cass, IA",32786,33401,33317,37224,39473,38344,36911,37188,36266,36077,35016,34870,33352,33590,34545,36843,37753,38542
"19031","Cedar, IA",29365,30908,32176,27071,25523,25819,25009,25284,26436,27800,29649,30216,29713,28439,29455,30056,30181,30434
"19033","Cerro Gordo, IA",165007,175215,181151,181944,182696,174406,167965,172666,173948,174200,171312,171852,169320,167679,170820,178661,180809,184750
"19035","Cherokee, IA",33782,35015,35396,32955,31488,30294,29092,28832,29107,28940,29696,29603,28241,27158,27125,27466,26936,27762
"19037","Chickasaw, IA",28578,30113,30872,30229,29971,29514,28354,28871,28177,28040,28082,26624,27249,26654,26386,27541,28984,30873
"19039","Clarke, IA",19773,21800,21886,21561,21162,20996,24150,23889,24016,23110,23242,24126,24468,24358,25930,28398,29070,28967
"19041","Clay, IA",72281,73975,74675,68324,70533,77406,78998,80749,83607,90741,87330,85352,85260,83203,84279,86411,90493,91768
"19043","Clayton, IA",34368,35815,35169,34152,32404,32480,30879,31700,32891,34268,35379,37126,37011,36053,36802,38673,39943,40982
"19045","Clinton, IA",115837,121486,126629,125930,126256,121442,117141,118277,122786,129818,134191,134561,129741,120999,115935,122271,125206,125574
"19047","Crawford, IA",38330,37881,37379,36454,36044,33936,33247,33504,34035,34761,34827,35375,35779,36334,36466,37898,38593,38492
"19049","Dallas, IA",71874,87332,115951,128849,162876,175406,191293,206965,217008,233216,239648,252843,266539,276308,295405,320847,329113,335331
"19051","Davis, IA",13284,13999,13162,10503,12050,12699,12815,12088,11827,13230,11411,10737,10160,10858,11551,11775,12883,13119
"19053","Decatur, IA",7289,7654,8184,8270,8248,7766,7115,7619,7844,8302,8225,8003,7532,7736,8108,8579,8973,9796
"19055","Delaware, IA",34996,35681,36983,34179,32808,29297,27239,28557,29414,29498,29039,29728,29586,28333,29943,32292,33446,33934
"19057","Des Moines, IA",132239,138893,145525,139284,135683,133849,132780,136338,137861,137860,130011,131651,136960,138094,145834,152451,153725,154329
"19059","Dickinson, IA",65915,69490,71668,73075,72337,75356,68473,66507,61579,65008,69277,74703,72931,72005,71859,74314,77989,78979
"19061","Dubuque, IA",311613,324144,333003,339102,331337,325711,311049,318581,313114,312110,309042,311067,308815,299267,311275,337064,344393,349194
"19063","Emmet, IA",25910,27138,27052,24973,22946,21850,21518,21587,21498,22032,20026,18265,18017,17877,19088,19997,19593,19436
"19065","Fayette, IA",41620,43265,43355,40468,37961,35486,33321,33009,34403,35685,35925,36967,37226,35629,35181,36098,36925,36670
"19067","Floyd, IA",29220,30185,32688,30015,27623,29302,28202,31318,31460,31205,30947,33428,34824,34239,34850,35382,37277,38068
"19069","Franklin, IA",16929,17904,15283,15320,15466,14561,13266,13704,15315,17098,17367,17050,17066,15451,15203,15372,16327,16402
"19071","Fremont, IA",16450,18017,19699,19442,19951,19736,24680,33486,50261,71046,47594,29544,19706,15998,15869,17186,17385,18294
"19073","Greene, IA",15085,17164,15869,15494,15930,15792,14592,14843,15142,15593,14787,13730,13202,13121,16406,16150,15952,15693
"19075","Grundy, IA",18204,19904,21295,19756,19098,17513,16353,16009,15934,17395,16987,16427,13490,14142,16045,15352,14923,15204
"19077","Guthrie, IA",11145,11303,11970,12369,13727,14116,14770,14715,14629,14345,13594,13759,13173,12700,12434,12224,11851,11952
"19079","Hamilton, IA",29345,29858,31329,30419,29105,30546,30384,30432,29585,28813,27410,26700,27511,27344,29049,30875,33581,33536
"19081","Hancock, IA",17215,18084,18345,18320,17276,15892,16266,17098,17697,18119,19009,20522,20587,19843,19828,21627,22290,23305
"19083","Hardin, IA",39638,41233,41701,40453,37790,37944,37203,38521,38458,39301,38940,38441,38135,37962,38308,41439,43316,42596
"19085","Harrison, IA",28596,27797,28045,26517,23577,21412,21720,22160,23710,25495,27568,29770,28984,29356,32510,35142,32814,32767
"19087","Henry, IA",39224,40154,41592,43859,42150,41379,40791,41357,41218,41054,40568,43335,42835,42053,43542,45253,47360,47796
"19089","Howard, IA",17976,18703,20558,20233,20141,19973,19714,19033,20159,22299,22587,23130,21719,21939,22993,24782,25013,26276
"19091","Humboldt, IA",18874,19245,15832,15463,15796,15548,16794,17378,19224,19653,18783,18778,19524,18750,20129,20870,21210,20742
