city_fips,name,st,match_city_fips,match_name,match_st,distance
1901855,Ames,Iowa,1955695,Nevada,Iowa,8.4
1901855,Ames,Iowa,1907480,Boone,Iowa,14
1901855,Ames,Iowa,1948450,Madrid,Iowa,14.8
1901855,Ames,Iowa,1939675,Jewell Junction,Iowa,19.5
1901855,Ames,Iowa,1958665,Ogden,Iowa,21.5
1901855,Ames,Iowa,1931980,Grand Junction,Iowa,32
1901855,Ames,Iowa,1924465,Eldora,Iowa,35.1
1901855,Ames,Iowa,1931710,Gowrie,Iowa,38.9
1901855,Ames,Iowa,1953355,Monroe,Iowa,43.7
1901855,Ames,Iowa,1928515,Fort Dodge,Iowa,44.3
1901855,Ames,Iowa,1900190,Ackley,Iowa,46.5
1901855,Ames,Iowa,1923250,Eagle Grove,Iowa,46.5
1901855,Ames,Iowa,1913620,Clarion,Iowa,49.2
1901855,Ames,Iowa,1933105,Grinnell,Iowa,49.8
1901855,Ames,Iowa,1978510,Toledo,Iowa,53.4
1901855,Ames,Iowa,1977115,Tama,Iowa,53.6
1901855,Ames,Iowa,1942015,Knoxville,Iowa,55.6
1901855,Ames,Iowa,1916050,Coon Rapids,Iowa,55.8
1901855,Ames,Iowa,1962040,Pella,Iowa,55.9
1901855,Ames,Iowa,1966315,Reinbeck,Iowa,56.1
1901855,Ames,Iowa,1905680,Belmond,Iowa,56.7
1901855,Ames,Iowa,1961590,Parkersburg,Iowa,57
1901855,Ames,Iowa,1937560,Humboldt,Iowa,57
1901855,Ames,Iowa,1968295,Rockwell City,Iowa,58.2
1901855,Ames,Iowa,1948990,Manson,Iowa,58.6
1901855,Ames,Iowa,1950935,Melcher-Dallas,Iowa,58.6
1901855,Ames,Iowa,1942465,Lake City,Iowa,59.8
1901855,Ames,Iowa,1978735,Traer,Iowa,60.1
1901855,Ames,Iowa,1956460,New Sharon,Iowa,62.8
1901855,Ames,Iowa,1972210,Sheffield,Iowa,63.3
1901855,Ames,Iowa,1908695,Brooklyn,Iowa,63.7
1901855,Ames,Iowa,1953490,Montezuma,Iowa,64
1901855,Ames,Iowa,1911080,Carroll,Iowa,64.5
1901855,Ames,Iowa,1903655,Audubon,Iowa,71.2
1901855,Ames,Iowa,1913755,Clarksville,Iowa,71.4
1901855,Ames,Iowa,1926265,Exira,Iowa,71.7
1901855,Ames,Iowa,1902260,Anita,Iowa,71.7
1901855,Ames,Iowa,1963975,Pocahontas,Iowa,72.9
1901855,Ames,Iowa,1932745,Greene,Iowa,73.1
1901855,Ames,Iowa,1929955,Garner,Iowa,74.3
1901855,Ames,Iowa,1908605,Britt,Iowa,74.6
1901855,Ames,Iowa,1900595,Afton,Iowa,75.1
1901855,Ames,Iowa,1943365,La Porte City,Iowa,75.8
1901855,Ames,Iowa,1942690,Lake View,Iowa,76.3
1901855,Ames,Iowa,1917265,Creston,Iowa,77.1
1901855,Ames,Iowa,1914025,Clear Lake,Iowa,77.7
1901855,Ames,Iowa,1968070,Rockford,Iowa,78.7
1901855,Ames,Iowa,1901135,Algona,Iowa,78.7
1901855,Ames,Iowa,1900910,Albia,Iowa,80.6
1901855,Ames,Iowa,1949395,Marengo,Iowa,81.2
1901855,Ames,Iowa,1956910,Nora Springs,Iowa,83.2
1901855,Ames,Iowa,1948855,Manilla,Iowa,83.9
1901855,Ames,Iowa,1903520,Atlantic,Iowa,84
1901855,Ames,Iowa,1955335,Nashua,Iowa,84.4
1901855,Ames,Iowa,1943725,Laurens,Iowa,84.9
1901855,Ames,Iowa,1928380,Forest City,Iowa,85.5
1901855,Ames,Iowa,1958575,Odebolt,Iowa,86.3
1901855,Ames,Iowa,1985845,Williamsburg,Iowa,86.6
1901855,Ames,Iowa,1973110,Sigourney,Iowa,87.2
1901855,Ames,Iowa,1978915,Tripoli,Iowa,87.9
1901855,Ames,Iowa,1916635,Corydon,Iowa,88.7
1901855,Ames,Iowa,1944535,Leon,Iowa,88.9
1901855,Ames,Iowa,1919945,Denison,Iowa,89.6
1901855,Ames,Iowa,1948900,Manly,Iowa,89.6
1901855,Ames,Iowa,1934500,Harlan,Iowa,91.5
1901855,Ames,Iowa,1975630,Storm Lake,Iowa,91.8
1901855,Ames,Iowa,1925590,Emmetsburg,Iowa,92.5
1901855,Ames,Iowa,1944490,Lenox,Iowa,92.9
1901855,Ames,Iowa,1938100,Independence,Iowa,93.5
1901855,Ames,Iowa,1954480,Mount Ayr,Iowa,96
1901855,Ames,Iowa,1976260,Sumner,Iowa,96.1
1901855,Ames,Iowa,1959745,Osage,Iowa,96.1
1901855,Ames,Iowa,1933150,Griswold,Iowa,96.1
1901855,Ames,Iowa,1942555,Lake Mills,Iowa,96.4
1901855,Ames,Iowa,1940980,Keota,Iowa,97.4
1901855,Ames,Iowa,1901495,Alta,Iowa,97.4
1901855,Ames,Iowa,1938010,Ida Grove,Iowa,97.8
1901855,Ames,Iowa,1958620,Oelwein,Iowa,98
1901855,Ames,Iowa,1942960,Lamoni,Iowa,98.1
1901855,Ames,Iowa,1973425,Sioux Rapids,Iowa,98.7
1901855,Ames,Iowa,1983280,Wellman,Iowa,99.7
1901855,Ames,Iowa,1957630,Northwood,Iowa,100
1901855,Ames,Iowa,1980985,Villisca,Iowa,103.6
1901855,Ames,Iowa,1936840,Holstein,Iowa,104
1901855,Ames,Iowa,1924420,Eldon,Iowa,105.1
1901855,Ames,Iowa,1927165,Fayette,Iowa,108.5
1901855,Ames,Iowa,1966135,Red Oak,Iowa,109.2
1901855,Ames,Iowa,1905365,Bedford,Iowa,109.9
1901855,Ames,Iowa,1938595,Iowa City,Iowa,110.4
1901855,Ames,Iowa,1926445,Fairfield,Iowa,110.8
1901855,Ames,Iowa,1913080,Cherokee,Iowa,111
1901855,Ames,Iowa,1949170,Mapleton,Iowa,112.4
1901855,Ames,Iowa,1925860,Estherville,Iowa,113.6
1901855,Ames,Iowa,1948810,Manchester,Iowa,115
1901855,Ames,Iowa,1913575,Clarinda,Iowa,115.5
1901855,Ames,Iowa,1916545,Correctionville,Iowa,115.6
1901855,Ames,Iowa,1975855,Strawberry Point,Iowa,115.7
1901855,Ames,Iowa,1952095,Milford,Iowa,119
1901855,Ames,Iowa,1910045,Calmar,Iowa,119.8
1901855,Ames,Iowa,1917220,Cresco,Iowa,120.3
1907030,Bloomfield,Iowa,1924420,Eldon,Iowa,15.3
1907030,Bloomfield,Iowa,1940935,Keosauqua,Iowa,23.8
1907030,Bloomfield,Iowa,1900910,Albia,Iowa,28.1
1907030,Bloomfield,Iowa,1926445,Fairfield,Iowa,29.5
1907030,Bloomfield,Iowa,1973110,Sigourney,Iowa,41.6
1907030,Bloomfield,Iowa,1916635,Corydon,Iowa,47.5
1907030,Bloomfield,Iowa,1940980,Keota,Iowa,48.6
1907030,Bloomfield,Iowa,1956460,New Sharon,Iowa,51.1
1907030,Bloomfield,Iowa,1962040,Pella,Iowa,52.3
1907030,Bloomfield,Iowa,1942015,Knoxville,Iowa,53
1907030,Bloomfield,Iowa,1950935,Melcher-Dallas,Iowa,54.2
1907030,Bloomfield,Iowa,1956325,New London,Iowa,54.5
1907030,Bloomfield,Iowa,1986385,Winfield,Iowa,57.4
1907030,Bloomfield,Iowa,1983280,Wellman,Iowa,57.6
1907030,Bloomfield,Iowa,1953490,Montezuma,Iowa,57.8
1907030,Bloomfield,Iowa,1953355,Monroe,Iowa,64.1
1907030,Bloomfield,Iowa,1985845,Williamsburg,Iowa,66.2
1907030,Bloomfield,Iowa,1983685,West Burlington,Iowa,66.3
1907030,Bloomfield,Iowa,1908695,Brooklyn,Iowa,67.4
1907030,Bloomfield,Iowa,1944535,Leon,Iowa,70
1907030,Bloomfield,Iowa,1933105,Grinnell,Iowa,70.3
1907030,Bloomfield,Iowa,1982200,Wapello,Iowa,70.9
1907030,Bloomfield,Iowa,1949395,Marengo,Iowa,74.5
1907030,Bloomfield,Iowa,1938595,Iowa City,Iowa,77.8
1907030,Bloomfield,Iowa,1942960,Lamoni,Iowa,80.4
1907030,Bloomfield,Iowa,1984315,West Liberty,Iowa,82.5
1907030,Bloomfield,Iowa,1977115,Tama,Iowa,83.9
1907030,Bloomfield,Iowa,1955110,Muscatine,Iowa,85.2
1907030,Bloomfield,Iowa,1978510,Toledo,Iowa,86.3
1907030,Bloomfield,Iowa,1986070,Wilton,Iowa,93
1907030,Bloomfield,Iowa,1900595,Afton,Iowa,95.4
1907030,Bloomfield,Iowa,1954480,Mount Ayr,Iowa,95.9
1907030,Bloomfield,Iowa,1978285,Tipton,Iowa,97
1907030,Bloomfield,Iowa,1978735,Traer,Iowa,99.5
1907030,Bloomfield,Iowa,1955695,Nevada,Iowa,102.9
1907030,Bloomfield,Iowa,1917265,Creston,Iowa,104.3
1907030,Bloomfield,Iowa,1948450,Madrid,Iowa,106.7
1907030,Bloomfield,Iowa,1943365,La Porte City,Iowa,108.4
1907030,Bloomfield,Iowa,1966315,Reinbeck,Iowa,109
1907030,Bloomfield,Iowa,1944490,Lenox,Iowa,113
1907030,Bloomfield,Iowa,1924465,Eldora,Iowa,116.5
1907030,Bloomfield,Iowa,1907480,Boone,Iowa,118.4
1907030,Bloomfield,Iowa,1905365,Bedford,Iowa,121.4
1907030,Bloomfield,Iowa,1938100,Independence,Iowa,121.5
1907030,Bloomfield,Iowa,1958665,Ogden,Iowa,122.3
1907030,Bloomfield,Iowa,1921180,De Witt,Iowa,122.5
1907030,Bloomfield,Iowa,1939675,Jewell Junction,Iowa,124.8
1907030,Bloomfield,Iowa,1961590,Parkersburg,Iowa,127.5
1907030,Bloomfield,Iowa,1949215,Maquoketa,Iowa,128.5
1907030,Bloomfield,Iowa,1900190,Ackley,Iowa,128.7
1907030,Bloomfield,Iowa,1911305,Cascade,Iowa,129.1
1907030,Bloomfield,Iowa,1948810,Manchester,Iowa,129.4
1907030,Bloomfield,Iowa,1931980,Grand Junction,Iowa,129.5
1907030,Bloomfield,Iowa,1902260,Anita,Iowa,131.8
1907030,Bloomfield,Iowa,1980985,Villisca,Iowa,135
1907030,Bloomfield,Iowa,1958620,Oelwein,Iowa,135.4
1907030,Bloomfield,Iowa,1923115,Dyersville,Iowa,137
1907030,Bloomfield,Iowa,1913575,Clarinda,Iowa,137.9
1907030,Bloomfield,Iowa,1914430,Clinton,Iowa,138.2
1907030,Bloomfield,Iowa,1975855,Strawberry Point,Iowa,140.8
1907030,Bloomfield,Iowa,1913755,Clarksville,Iowa,140.9
1907030,Bloomfield,Iowa,1916050,Coon Rapids,Iowa,140.9
1907030,Bloomfield,Iowa,1926265,Exira,Iowa,141
1907030,Bloomfield,Iowa,1978915,Tripoli,Iowa,142.2
1907030,Bloomfield,Iowa,1903520,Atlantic,Iowa,143.1
1907030,Bloomfield,Iowa,1931710,Gowrie,Iowa,143.5
1907030,Bloomfield,Iowa,1976260,Sumner,Iowa,145.5
1907030,Bloomfield,Iowa,1905635,Bellevue,Iowa,146.6
1907030,Bloomfield,Iowa,1933150,Griswold,Iowa,146.6
1907030,Bloomfield,Iowa,1903655,Audubon,Iowa,147.3
1907030,Bloomfield,Iowa,1927165,Fayette,Iowa,147.8
1907030,Bloomfield,Iowa,1966135,Red Oak,Iowa,148.7
1907030,Bloomfield,Iowa,1932745,Greene,Iowa,149.3
1907030,Bloomfield,Iowa,1928515,Fort Dodge,Iowa,151.9
1907030,Bloomfield,Iowa,1955335,Nashua,Iowa,152
