cty_fips,cbsa_fips,csa_fips,cbsa,metro_type,csa,cty,st,cty_type
1001,33860,,"Montgomery, AL",Metropolitan Statistical Area,,Autauga County,Alabama,Central
1003,19300,380,"Daphne-Fairhope-Foley, AL",Metropolitan Statistical Area,"Mobile-Daphne-Fairhope, AL",Baldwin County,Alabama,Central
1007,13820,142,"Birmingham-Hoover, AL",Metropolitan Statistical Area,"Birmingham-Hoover-Talladega, AL",Bibb County,Alabama,Outlying
1009,13820,142,"Birmingham-Hoover, AL",Metropolitan Statistical Area,"Birmingham-Hoover-Talladega, AL",Blount County,Alabama,Outlying
1015,11500,,"Anniston-Oxford-Jacksonville, AL",Metropolitan Statistical Area,,Calhoun County,Alabama,Central
1017,46740,194,"Valley, AL",Micropolitan Statistical Area,"Columbus-Auburn-Opelika, GA-AL",Chambers County,Alabama,Central
1021,13820,142,"Birmingham-Hoover, AL",Metropolitan Statistical Area,"Birmingham-Hoover-Talladega, AL",Chilton County,Alabama,Outlying
1031,21460,222,"Enterprise, AL",Micropolitan Statistical Area,"Dothan-Enterprise-Ozark, AL",Coffee County,Alabama,Central
1033,22520,,"Florence-Muscle Shoals, AL",Metropolitan Statistical Area,,Colbert County,Alabama,Central
1037,45180,142,"Talladega-Sylacauga, AL",Micropolitan Statistical Area,"Birmingham-Hoover-Talladega, AL",Coosa County,Alabama,Outlying
1043,18980,142,"Cullman, AL",Micropolitan Statistical Area,"Birmingham-Hoover-Talladega, AL",Cullman County,Alabama,Central
1045,37120,222,"Ozark, AL",Micropolitan Statistical Area,"Dothan-Enterprise-Ozark, AL",Dale County,Alabama,Central
1047,42820,,"Selma, AL",Micropolitan Statistical Area,,Dallas County,Alabama,Central
1051,33860,,"Montgomery, AL",Metropolitan Statistical Area,,Elmore County,Alabama,Central
1055,23460,,"Gadsden, AL",Metropolitan Statistical Area,,Etowah County,Alabama,Central
1061,20020,222,"Dothan, AL",Metropolitan Statistical Area,"Dothan-Enterprise-Ozark, AL",Geneva County,Alabama,Outlying
1065,46220,,"Tuscaloosa, AL",Metropolitan Statistical Area,,Hale County,Alabama,Outlying
1067,20020,222,"Dothan, AL",Metropolitan Statistical Area,"Dothan-Enterprise-Ozark, AL",Henry County,Alabama,Outlying
1069,20020,222,"Dothan, AL",Metropolitan Statistical Area,"Dothan-Enterprise-Ozark, AL",Houston County,Alabama,Central
1071,42460,174,"Scottsboro, AL",Micropolitan Statistical Area,"Chattanooga-Cleveland-Dalton, TN-GA-AL",Jackson County,Alabama,Central
1073,13820,142,"Birmingham-Hoover, AL",Metropolitan Statistical Area,"Birmingham-Hoover-Talladega, AL",Jefferson County,Alabama,Central
1077,22520,,"Florence-Muscle Shoals, AL",Metropolitan Statistical Area,,Lauderdale County,Alabama,Central
1079,19460,290,"Decatur, AL",Metropolitan Statistical Area,"Huntsville-Decatur-Albertville, AL",Lawrence County,Alabama,Outlying
1081,12220,194,"Auburn-Opelika, AL",Metropolitan Statistical Area,"Columbus-Auburn-Opelika, GA-AL",Lee County,Alabama,Central
1083,26620,290,"Huntsville, AL",Metropolitan Statistical Area,"Huntsville-Decatur-Albertville, AL",Limestone County,Alabama,Outlying
