cty_fips,cal_yr,cty_pop
1001,1969,23819
1001,1970,24661
1001,1971,25503
1001,1972,27156
1001,1973,28453
1001,1974,29261
1001,1975,29716
1001,1976,29892
1001,1977,30457
1001,1978,30879
1001,1979,32050
1001,1980,32217
1001,1981,31985
1001,1982,32038
1001,1983,32057
1001,1984,32130
1001,1985,32248
1001,1986,32895
1001,1987,33266
1001,1988,33637
1001,1989,33996
1001,1990,34353
1001,1991,35010
1001,1992,35985
1001,1993,36953
1001,1994,38186
1001,1995,39112
1001,1996,40207
1001,1997,41238
1001,1998,42106
1001,1999,42963
1001,2000,44021
1001,2001,44889
1001,2002,45909
1001,2003,46800
1001,2004,48366
1001,2005,49676
1001,2006,51328
1001,2007,52405
1001,2008,53277
1001,2009,54135
1001,2010,54754
1001,2011,55208
1001,2012,54936
1001,2013,54713
1001,2014,54876
1001,2015,54838
1001,2016,55242
1001,2017,55443
1001,2018,55601
1003,1969,58915
1003,1970,59531
1003,1971,60147
1003,1972,62441
1003,1973,64201
1003,1974,66073
1003,1975,67860
1003,1976,70239
1003,1977,72395
1003,1978,74549
1003,1979,76583
1003,1980,78949
1003,1981,80292
1003,1982,82330
1003,1983,83980
1003,1984,86753
1003,1985,89403
1003,1986,91308
1003,1987,93214
1003,1988,94652
1003,1989,96203
1003,1990,98955
1003,1991,102420
1003,1992,106595
1003,1993,111416
1003,1994,116565
1003,1995,120896
1003,1996,125412
1003,1997,130164
1003,1998,134444
1003,1999,137555
1003,2000,141342
1003,2001,144875
1003,2002,147957
1003,2003,151509
1003,2004,156266
1003,2005,160970
1003,2006,168121
1003,2007,172404
1003,2008,175827
1003,2009,179406
1003,2010,183111
1003,2011,186540
1003,2012,190143
1003,2013,194886
1003,2014,199189
1003,2015,202995
1003,2016,207712
1003,2017,212619
1003,2018,218022
1005,1969,22199
1005,1970,22644
1005,1971,23089
1005,1972,22852
1005,1973,23453
1005,1974,23434
1005,1975,24872
1005,1976,25607
1005,1977,24687
1005,1978,24522
1005,1979,24429
1005,1980,24739
1005,1981,24744
1005,1982,24775
1005,1983,24796
1005,1984,24954
1005,1985,25001
1005,1986,24942
1005,1987,25105
1005,1988,25231
1005,1989,25337
1005,1990,25505
1005,1991,26506
1005,1992,26941
1005,1993,27371
1005,1994,27751
1005,1995,27854
1005,1996,28298
1005,1997,28415
1005,1998,28841
1005,1999,28866
1005,2000,29015
1005,2001,28863
1005,2002,28653
1005,2003,28594
1005,2004,28287
1005,2005,28027
1005,2006,27861
1005,2007,27757
1005,2008,27808
1005,2009,27657
1005,2010,27330
1005,2011,27350
1005,2012,27174
1005,2013,26944
1005,2014,26758
1005,2015,26294
1005,2016,25819
1005,2017,25158
1005,2018,24881
1007,1969,13739
1007,1970,13824
1007,1971,13909
1007,1972,14085
1007,1973,14657
1007,1974,14379
1007,1975,14770
1007,1976,14760
1007,1977,15254
1007,1978,15342
1007,1979,15539
1007,1980,15745
1007,1981,15835
1007,1982,16017
1007,1983,16001
1007,1984,16090
1007,1985,16156
1007,1986,15919
1007,1987,16163
1007,1988,16137
1007,1989,16358
1007,1990,16697
1007,1991,17071
1007,1992,17403
1007,1993,17757
1007,1994,18053
1007,1995,18507
1007,1996,18885
1007,1997,19388
1007,1998,19851
1007,1999,20560
1007,2000,19913
1007,2001,21028
1007,2002,21199
1007,2003,21399
1007,2004,21721
