cty_fips,cal_yr,cty_unemp_rt,cty_pop,lag_unemp
1001,1991,6.8,35010,6.5
1003,1991,5.5,102420,5.2
1005,1991,8.8,26506,7.8
1007,1991,11.9,17071,9.1
1009,1991,5.8,40190,6.3
1011,1991,18.8,11188,12.4
1013,1991,12.2,21755,12.8
1015,1991,7.7,115247,7.1
1017,1991,10,36913,7.2
1019,1991,8.6,19876,9.9
1021,1991,10,33200,8.9
1023,1991,10.5,16044,12.6
1025,1991,9.5,27391,8.2
1027,1991,9.8,13314,7.1
1029,1991,7.3,12684,6.5
1031,1991,6.5,40577,6.3
1033,1991,9,52557,8.1
1035,1991,10.9,14331,9.7
1037,1991,6.8,11170,6.4
1039,1991,9.6,36620,7.7
1041,1991,8.5,13552,7.4
1043,1991,7.5,68740,7.1
1045,1991,6.5,49835,5.6
1047,1991,13,47857,12.1
1049,1991,7.9,55909,7.4
1051,1991,6.7,50732,6.1
1053,1991,9.2,35786,8.6
1055,1991,10.6,100365,11
1057,1991,10.6,18168,9.8
1059,1991,9.5,28126,11.3
1061,1991,5.1,24183,4.7
1063,1991,11.5,10257,11.6
1065,1991,9.2,15736,7.7
1067,1991,8.2,15684,4.8
1069,1991,5.2,82640,4.4
1071,1991,10.7,48595,9.1
1073,1991,5.5,656878,5
1075,1991,10,15717,8
1077,1991,7.5,81176,6.9
1079,1991,9.8,32178,8.4
1081,1991,6,89508,6.1
1083,1991,8.3,55654,6.5
1085,1991,16.5,12702,15.7
1087,1991,9.3,24626,8.9
1089,1991,5.7,246398,4.8
1091,1991,7.7,23031,6.7
1093,1991,11.1,29679,14.1
1095,1991,9.8,71974,8.9
1097,1991,7.1,382978,6.9
1099,1991,10.4,23948,10.5
1101,1991,6.1,212685,6.2
1103,1991,7.2,102040,6.4
1105,1991,13.5,12366,13
1107,1991,9.9,20744,9.2
1109,1991,8,28123,6.1
1111,1991,9.8,20287,7.7
1113,1991,8.5,47677,8.1
1115,1991,6.1,51345,5.5
1117,1991,4,102833,3.3
1119,1991,10.9,16159,9.7
1121,1991,9.4,74754,9.2
1123,1991,6.2,39383,6.4
1125,1991,5.3,153510,4.6
1127,1991,11.8,67974,9.3
1129,1991,13.5,16817,10.7
1131,1991,15.7,13740,12.4
1133,1991,12.7,22043,11.8
2013,1991,1.2,NA,0.4
2016,1991,1,NA,0.5
2020,1991,6.6,235137,5.2
2050,1991,8.5,13927,7.3
2060,1991,5.3,1430,4.2
2068,1991,12.4,1835,13.3
2070,1991,6.9,NA,6.7
2090,1991,9.8,80479,8.6
2100,1991,14.8,2241,7.2
2110,1991,6.3,27950,5.2
2122,1991,13.3,42649,12
2130,1991,9.3,14134,7.9
2150,1991,8,13841,5.3
2158,1991,12.6,NA,12.1
2164,1991,7.2,NA,6.1
2170,1991,12.1,42270,12.1
2180,1991,11.1,8407,9.2
2185,1991,4.4,6235,3.6
2188,1991,16,6242,14.9
2201,1991,13.7,6372,11.1
2220,1991,5.8,8874,5.2
2232,1991,10.3,NA,10.3
2240,1991,13.6,5882,12.7
2261,1991,9.5,10105,11.3
2280,1991,10,7034,8.8
2290,1991,16.4,6862,14.6
4001,1991,13.4,62634,13.1
4003,1991,7.6,99058,6.5
4005,1991,7.5,99647,7.5
4007,1991,7.9,41327,7.4
4009,1991,7.1,27339,7
4011,1991,6.5,8265,6.5
4012,1991,8.9,NA,6.8
4013,1991,5.1,2198219,4.3
4015,1991,6.7,102263,4.9
4017,1991,11.9,78706,10.8
4019,1991,4.4,679813,4.6
4021,1991,6.9,120987,6.2
4023,1991,14.1,30918,13.5
4025,1991,5.3,113119,4.5
4027,1991,21.2,NA,20.7
5001,1991,6.1,21536,4.7
5003,1991,7.3,24447,6
5005,1991,5.8,31884,6.1
5007,1991,3.5,102583,3.6
5009,1991,6.1,28788,5.7
5011,1991,12.2,11863,9.4
5013,1991,10.6,5805,11.6
5015,1991,5.9,19358,6
