city_fips,st,place,p1980,p1990,p2000,p2010
100100,Alabama,Abanda CDP,,,,192
100124,Alabama,Abbeville city,3155,3173,2987,2688
100460,Alabama,Adamsville city,2498,4161,4965,4522
100484,Alabama,Addison town,746,626,723,758
100676,Alabama,Akron town,604,468,521,356
100820,Alabama,Alabaster city,7079,14732,22619,30352
100988,Alabama,Albertville city,12039,14507,17247,21160
101132,Alabama,Alexander City city,13807,14917,15008,14875
101180,Alabama,Alexandria CDP,,,3692,3917
101228,Alabama,Aliceville city,3207,3009,2567,2486
101396,Alabama,Allgood town,387,464,629,622
101660,Alabama,Altoona town,928,960,984,933
101708,Alabama,Andalusia city,10415,9269,8794,9015
101756,Alabama,Anderson town,405,339,354,282
101852,Alabama,Anniston city,29523,26623,24276,23106
100062,Alabama,Anniston Northwest (U),,,,
102116,Alabama,Arab city,5967,6321,7174,8050
102260,Alabama,Ardmore town,1096,1090,1034,1194
102320,Alabama,Argo town,,930,1780,4071
102428,Alabama,Ariton town,844,743,772,764
102500,Alabama,Arley town,276,338,290,357
102836,Alabama,Ashford town,2165,1926,1853,2148
102860,Alabama,Ashland town,2052,2034,1965,2037
102908,Alabama,Ashville city,1489,1494,2260,2212
102956,Alabama,Athens city,14558,16901,18967,21897
103004,Alabama,Atmore city,8789,8046,7676,10194
103028,Alabama,Attalla city,7737,6859,6592,6048
103076,Alabama,Auburn city,28471,33830,42987,53380
103220,Alabama,Autaugaville town,843,681,820,870
103364,Alabama,Avon town,433,462,466,543
103508,Alabama,Axis CDP,,,,757
103556,Alabama,Babbie town,553,576,627,603
103676,Alabama,Baileyton town,396,352,684,610
103724,Alabama,Bakerhill town,,,,279
103820,Alabama,Ballplay CDP,,,,1580
103940,Alabama,Banks town,160,195,224,179
104660,Alabama,Bay Minette city,7455,7168,7820,8044
104684,Alabama,Bayou La Batre city,2005,2456,2313,2558
104852,Alabama,Bear Creek town,353,913,1053,1070
104900,Alabama,Beatrice town,558,454,412,301
104948,Alabama,Beaverton town,360,319,226,201
105140,Alabama,Belgreen CDP,,,,129
105164,Alabama,Belk town,308,255,214,215
105188,Alabama,Bellamy CDP,,,,543
105212,Alabama,Belle Fontaine CDP,,,,608
105692,Alabama,Benton town,74,48,47,49
105932,Alabama,Berry town,916,1218,1238,1148
105980,Alabama,Bessemer city,31729,33497,29672,27456
106460,Alabama,Billingsley town,106,150,116,144
107000,Alabama,Birmingham city,284413,265968,242820,212237
107120,Alabama,Black town,156,174,202,207
107456,Alabama,Blountsville town,1509,1527,1768,1684
107552,Alabama,Blue Mountain town,284,221,233,
107588,Alabama,Blue Ridge CDP,,1151,1331,1341
107672,Alabama,Blue Springs town,112,108,121,96
100207,Alabama,Bluff Park (U),,,,
107912,Alabama,Boaz city,7151,6928,7411,9551
108104,Alabama,Boligee town,164,268,369,328
108248,Alabama,Bon Air town,118,91,96,116
108680,Alabama,Boykin CDP,,,,275
108920,Alabama,Branchville town,365,370,825,
109016,Alabama,Brantley town,1151,1015,920,809
109064,Alabama,Brantleyville CDP,,,,884
109136,Alabama,Brent city,2862,2776,4024,4947
109208,Alabama,Brewton city,6680,5885,5498,5408
109328,Alabama,Bridgeport city,2974,2936,2728,2418
109400,Alabama,Brighton city,5308,4518,3640,2945
109424,Alabama,Brilliant town,871,751,762,900
109457,Alabama,Bristow Cove CDP,,,,683
109500,Alabama,Brook Highland CDP,,,,6746
109736,Alabama,Brookside town,1409,1365,1393,1363
109808,Alabama,Brookwood town,492,658,1483,1828
109880,Alabama,Broomtown CDP,,,,182
100270,Alabama,Brownville,2386,,,
110240,Alabama,Brundidge city,3213,2472,2341,2076
110456,Alabama,Bucks CDP,,,,32
111032,Alabama,Butler town,1882,1872,1952,1894
111128,Alabama,Bynum CDP,2235,1917,1863,
111248,Alabama,Cahaba Heights CDP,,4778,5203,
111416,Alabama,Calera city,2035,2136,3158,11620
111488,Alabama,Calvert CDP,,,,277
111512,Alabama,Camden city,2406,2414,2257,2020
111680,Alabama,Camp Hill town,1628,1415,1273,1014
112016,Alabama,Carbon Hill city,2452,2115,2071,2021
112040,Alabama,Cardiff town,140,72,82,55
112070,Alabama,Carlisle-Rockledge CDP,,,,2137
112112,Alabama,Carlton CDP,,,,65
112160,Alabama,Carolina town,203,201,248,297
112304,Alabama,Carrollton town,1104,1170,987,1019
100315,Alabama,Carrville,820,,,
112496,Alabama,Castleberry town,847,669,590,583
112544,Alabama,Catherine CDP,,,,22
112760,Alabama,Cedar Bluff town,1129,1174,1467,1820
113264,Alabama,Center Point city,23317,22658,22784,16921
113648,Alabama,Centre city,2351,2893,3216,3489
113672,Alabama,Centreville city,2504,2508,2466,2778
113720,Alabama,Chalkville CDP,,,3829,
114008,Alabama,Chatom town,1122,1094,1193,1288
114104,Alabama,Chelsea city,,1329,2949,10183
114152,Alabama,Cherokee town,1589,1479,1237,1048
114392,Alabama,Chickasaw city,7402,6649,6364,6106
114464,Alabama,Childersburg city,5084,4579,4927,5175
114728,Alabama,Choccolocco CDP,,,,2804
114968,Alabama,Chunchula CDP,,,,210
115064,Alabama,Citronelle city,2841,3671,3659,3905
115136,Alabama,Clanton city,5832,7669,7800,8619
115256,Alabama,Clay city,,,4947,9708
115304,Alabama,Clayhatchee town,560,411,501,589
115376,Alabama,Clayton town,1589,1564,1475,3008
115472,Alabama,Cleveland town,487,739,1241,1303
115640,Alabama,Clio city,1224,1365,2206,1399
116000,Alabama,Coaling town,,,1115,1657
116080,Alabama,Coats Bend CDP,,,,1394
116240,Alabama,Coffee Springs town,339,294,251,228
116264,Alabama,Coffeeville town,448,431,360,352
116312,Alabama,Coker town,,,808,979
116600,Alabama,Collinsville town,1383,1429,1644,1983
116684,Alabama,Colony town,,298,385,268
116744,Alabama,Columbia town,881,922,804,740
116768,Alabama,Columbiana city,2655,2968,3316,4197
116936,Alabama,Concord CDP,,,1809,1837
117176,Alabama,Coosada town,980,912,1382,1224
117368,Alabama,Cordova city,3123,2623,2423,2095
117824,Alabama,Cottonwood town,1352,1385,1170,1289
117968,Alabama,County Line town,199,189,257,258
117992,Alabama,County Line town,124,127,,
118040,Alabama,Courtland town,456,803,769,609
118088,Alabama,Cowarts town,418,1400,1546,1871
118304,Alabama,Creola city,1652,1896,2002,1926
118856,Alabama,Crossville town,1222,1350,1431,1862
118952,Alabama,Cuba town,486,390,363,346
118976,Alabama,Cullman city,13084,13367,13995,14775
119024,Alabama,Cullomburg CDP,,,,171
119216,Alabama,Cusseta town,,,,123
119336,Alabama,Dadeville city,3263,3276,3212,3230
119360,Alabama,Daleville city,4250,5117,4653,5295
119648,Alabama,Daphne city,3406,11290,16581,21570
119744,Alabama,Dauphin Island town,,824,1371,1238
119816,Alabama,Daviston town,334,261,267,214
119912,Alabama,Dayton town,113,77,60,52
120008,Alabama,Deatsville town,,,340,1154
120104,Alabama,Decatur city,42002,48761,53929,55683
120152,Alabama,Deer Park CDP,,,,188
120272,Alabama,Delta CDP,,,,197
120296,Alabama,Demopolis city,7678,7512,7540,7483
120392,Alabama,Detroit town,326,291,247,237
120955,Alabama,Dodge City town,,,612,593
121136,Alabama,Dora city,2327,2214,2413,2025
121184,Alabama,Dothan city,48750,53589,57737,65496
121280,Alabama,Double Springs town,1057,1138,1003,1083
121328,Alabama,Douglas town,116,474,530,744
121448,Alabama,Dozier town,494,483,391,329
121890,Alabama,Dunnavant CDP,,,,981
121952,Alabama,Dutton town,276,243,310,315
122216,Alabama,East Brewton city,3012,2579,2496,2478
122504,Alabama,East Point CDP,,,,201
122816,Alabama,Eclectic town,1124,1087,1037,1001
123032,Alabama,Edgewater CDP,,,730,883
123176,Alabama,Edwardsville town,207,118,186,202
123224,Alabama,Egypt CDP,,,,932
123296,Alabama,Elba city,4355,4011,4185,3940
123320,Alabama,Elberta town,491,458,552,1498
123344,Alabama,Eldridge town,230,225,184,130
123488,Alabama,Elkmont town,429,389,470,434
123656,Alabama,Elmore town,,,199,1262
123872,Alabama,Emelle town,,44,31,53
123880,Alabama,Emerald Mountain CDP,,,,2561
124184,Alabama,Enterprise city,18033,20123,21178,26562
124256,Alabama,Epes town,399,267,206,192
124472,Alabama,Ethelsville town,95,52,81,81
124568,Alabama,Eufaula city,12097,13220,13908,13137
100562,Alabama,Eulaton,1869,,,
124616,Alabama,Eunola CDP,169,199,182,243
124664,Alabama,Eutaw town,2444,2281,1878,2934
124688,Alabama,Eva town,185,438,491,519
124808,Alabama,Evergreen city,4171,3911,3630,3944
124880,Alabama,Excel town,385,571,582,723
100585,Alabama,Fairfax,3776,,,
125120,Alabama,Fairfield city,13040,12200,12381,11117
125216,Alabama,Fairford CDP,,,,186
125240,Alabama,Fairhope city,7286,8485,12480,15326
125384,Alabama,Fairview town,450,383,522,446
125648,Alabama,Falkville town,1310,1337,1202,1279
125816,Alabama,Faunsdale town,174,96,87,98
125840,Alabama,Fayette city,5287,4909,4922,4619
125864,Alabama,Fayetteville CDP,,,,1284
126152,Alabama,Fitzpatrick CDP,,,,83
126200,Alabama,Five Points town,197,200,146,141
126800,Alabama,Flint City town,673,1033,,
126824,Alabama,Flomaton town,1882,1811,1588,1440
126848,Alabama,Florala town,2165,2075,1964,1980
126896,Alabama,Florence city,37029,36426,36264,39319
126992,Alabama,Foley city,4003,4937,7590,14618
127088,Alabama,Forestdale CDP,10814,10395,10509,10162
127376,Alabama,Forkland town,429,667,629,649
127520,Alabama,Fort Deposit town,1519,1240,1270,1344
127544,Alabama,Fort McClellan CDP,7605,4128,,
127616,Alabama,Fort Payne city,11485,11838,12938,14012
127640,Alabama,Fort Rucker CDP,8932,7593,6052,4636
128024,Alabama,Franklin town,133,152,149,149
128120,Alabama,Fredonia CDP,,,,199
128312,Alabama,Frisco City town,1424,1581,1460,1309
128408,Alabama,Fruitdale CDP,,,,185
128432,Alabama,Fruithurst town,239,177,270,284
128504,Alabama,Fulton town,606,384,308,272
128552,Alabama,Fultondale city,6217,6400,6595,8380
128672,Alabama,Fyffe town,1305,1094,971,1018
128696,Alabama,Gadsden city,47565,42523,38978,36856
128768,Alabama,Gainesville town,207,449,220,208
128816,Alabama,Gallant CDP,,,,855
128936,Alabama,Gantt town,314,265,241,222
128984,Alabama,Gantts Quarry town,71,7,0,
129032,Alabama,Garden City town,655,578,564,492
129056,Alabama,Gardendale city,7928,9251,11626,13893
129296,Alabama,Gaylesville town,192,149,140,144
129392,Alabama,Geiger town,200,270,161,170
129464,Alabama,Geneva city,4866,4681,4388,4452
129560,Alabama,Georgiana town,1993,1933,1737,1738
129608,Alabama,Geraldine town,911,801,786,896
129704,Alabama,Gilbertown town,218,235,187,215
129944,Alabama,Glen Allen town,312,350,442,510
129992,Alabama,Glencoe city,4648,4670,5152,5160
130160,Alabama,Glenwood town,341,208,191,187
130448,Alabama,Goldville town,89,61,37,55
130496,Alabama,Good Hope town,1442,1700,1966,2264
130640,Alabama,Goodwater town,1895,1840,1633,1475
130736,Alabama,Gordo town,2112,1918,1677,1750
130760,Alabama,Gordon town,362,493,408,332
130808,Alabama,Gordonville town,,,318,326
130880,Alabama,Goshen town,365,302,300,266
131000,Alabama,Graham CDP,,,,211
131024,Alabama,Grand Bay CDP,3185,3383,3918,3672
131096,Alabama,Grant town,632,638,665,896
131348,Alabama,Grayson Valley CDP,,,5447,5736
131384,Alabama,Graysville city,2642,2241,2344,2165
131720,Alabama,Greensboro city,3248,3047,2731,2497
131912,Alabama,Greenville city,7807,7492,7228,8135
132056,Alabama,Grimes town,298,443,459,558
132080,Alabama,Grove Hill town,1912,1551,1438,1570
132536,Alabama,Gu-Win town,266,243,204,176
132224,Alabama,Guin city,2418,2464,2389,2376
132272,Alabama,Gulf Shores city,1349,3261,5044,9741
132248,Alabama,Gulfcrest CDP,,,,161
132416,Alabama,Guntersville city,7041,7038,7395,8197
132440,Alabama,Gurley town,735,1007,876,801
132560,Alabama,Hackleburg town,883,1161,1527,1516
132584,Alabama,Hackneyville CDP,,,,347
132656,Alabama,Haleburg town,106,97,108,103
132704,Alabama,Haleyville city,5306,4452,4182,4173
132848,Alabama,Hamilton city,5093,5787,6786,6885
132896,Alabama,Hammondville town,369,420,486,488
132968,Alabama,Hanceville city,2220,2246,2951,2982
133256,Alabama,Harpersville town,934,772,1620,1637
133424,Alabama,Hartford city,2647,2448,2369,2624
133448,Alabama,Hartselle city,8858,10795,12019,14255
133472,Alabama,Harvest CDP,,1922,3054,5281
133544,Alabama,Hatton CDP,,,,261
133640,Alabama,Hayden town,268,385,470,444
133712,Alabama,Hayneville town,592,969,1177,932
133808,Alabama,Hazel Green CDP,1503,2208,3805,3630
133856,Alabama,Headland city,3327,3266,3523,4510
133904,Alabama,Heath town,354,182,249,254
133976,Alabama,Heflin city,3014,2906,3002,3480
134024,Alabama,Helena city,2130,3918,10296,16793
134096,Alabama,Henagar city,1188,1934,2400,2344
134480,Alabama,Highland Lake town,210,304,408,412
134490,Alabama,Highland Lakes CDP,,,,3926
134816,Alabama,Hillsboro town,278,587,608,552
134984,Alabama,Hissop CDP,,,,658
135130,Alabama,Hobson CDP,,,,126
135152,Alabama,Hobson City town,1268,794,878,771
135200,Alabama,Hodges town,250,272,261,288
135392,Alabama,Hokes Bluff city,3216,3739,4149,4286
135512,Alabama,Hollins CDP,,,,545
135536,Alabama,Hollis Crossroads CDP,,,,608
135560,Alabama,Holly Pond town,493,602,645,798
135632,Alabama,Hollywood town,1110,916,950,1000
135704,Alabama,Holt CDP,,4125,4103,3638
135752,Alabama,Holtville CDP,,,,4096
135800,Alabama,Homewood city,21412,22922,25043,25167
135896,Alabama,Hoover city,19792,39788,62742,81619
136088,Alabama,Horn Hill town,186,,235,228
136448,Alabama,Hueytown city,13309,15280,15364,16105
136592,Alabama,Huguley CDP,2947,3161,2953,2540
137000,Alabama,Huntsville city,142513,159789,158216,180105
137096,Alabama,Hurtsboro town,752,707,592,553
137264,Alabama,Hytop town,,,315,354
137312,Alabama,Ider town,698,671,664,723
137465,Alabama,Indian Springs Village city,,,2225,2363
137756,Alabama,Inverness CDP,,2528,,
137864,Alabama,Irondale city,6510,9454,9813,12349
138032,Alabama,Ivalee CDP,,,,879
138152,Alabama,Jackson city,6073,5819,5419,5228
138248,Alabama,Jacksons' Gap town,,789,761,828
138272,Alabama,Jacksonville city,9735,10283,8404,12548
138416,Alabama,Jasper city,11894,13553,14052,14352
138608,Alabama,Jemison city,1828,1898,2248,2585
139064,Alabama,Joppa CDP,,,,501
139280,Alabama,Kansas town,267,230,260,226
139472,Alabama,Kellyton town,,,,217
139520,Alabama,Kennedy town,604,523,541,447
139784,Alabama,Killen town,747,1047,1119,1108
139856,Alabama,Kimberly town,1043,1096,1801,2711
140072,Alabama,Kinsey town,1239,1679,1796,2198
140096,Alabama,Kinston town,604,595,602,540
140672,Alabama,La Fayette city,3647,3151,3234,3003
140648,Alabama,Ladonia CDP,,2905,3229,3142
101001,Alabama,Lake Forest,3489,,,
140806,Alabama,Lake Purdy CDP,,1840,5799,
140928,Alabama,Lake View town,,,1357,1943
140888,Alabama,Lakeview town,441,166,163,143
141296,Alabama,Lanett city,6897,8985,7897,6468
101010,Alabama,Langdale,2034,,,
141368,Alabama,Langston town,,207,254,270
141968,Alabama,Leeds city,8638,9946,10455,11773
142016,Alabama,Leesburg town,116,218,799,1027
142160,Alabama,Leighton town,1218,988,849,729
142304,Alabama,Leroy CDP,,,,911
142352,Alabama,Lester town,117,89,107,111
142472,Alabama,Level Plains town,867,1473,1544,2085
142640,Alabama,Lexington town,884,821,840,735
142808,Alabama,Libertyville town,141,133,106,117
143120,Alabama,Lincoln city,2081,2941,4577,6266
143240,Alabama,Linden city,2773,2548,2424,2123
143264,Alabama,Lineville city,2257,2394,2401,2395
143336,Alabama,Lipscomb city,3741,2892,2458,2210
143384,Alabama,Lisman town,638,481,653,539
101052,Alabama,Little Shawmut,2793,,,
143648,Alabama,Littleville town,1262,925,978,1011
143720,Alabama,Livingston city,3187,3530,3297,3485
143744,Alabama,Loachapoka town,335,259,165,180
143816,Alabama,Lockhart town,547,484,548,516
143888,Alabama,Locust Fork town,488,342,1016,1186
144160,Alabama,Lookout Mountain CDP,,,,1621
144344,Alabama,Louisville town,791,728,612,519
144536,Alabama,Lowndesboro town,207,139,140,115
144608,Alabama,Loxley town,804,1161,1348,1632
144728,Alabama,Luverne city,2639,2555,2635,2800
144800,Alabama,Lynn town,554,611,597,659
145316,Alabama,Macedonia CDP,,,291,292
145784,Alabama,Madison city,4057,14904,29329,42938
145904,Alabama,Madrid town,172,211,303,350
146072,Alabama,Magnolia Springs town,,,,723
146192,Alabama,Malcolm CDP,,,,187
146264,Alabama,Malvern town,558,570,1215,1448
146504,Alabama,Maplesville town,754,725,672,708
146600,Alabama,Marbury CDP,,,,1418
146696,Alabama,Margaret town,757,616,1169,4428
146768,Alabama,Marion city,4467,4211,3511,3686
147728,Alabama,Maytown town,538,651,435,385
145208,Alabama,McDonald Chapel CDP,,,1054,717
145472,Alabama,McIntosh town,319,250,244,238
145496,Alabama,McKenzie town,605,464,644,530
145640,Alabama,McMullen town,164,112,66,10
