city_fips,name,st,match_city_fips,match_name,match_st,distance
1901855,Ames,Iowa,1907480,Boone,Iowa,14
1901855,Ames,Iowa,1948450,Madrid,Iowa,14.8
1901855,Ames,Iowa,1955695,Nevada,Iowa,8.4
1907030,Bloomfield,Iowa,1940935,Keosauqua,Iowa,23.8
1909550,Burlington,Iowa,1986070,Wilton,Iowa,53.9
1912720,Chariton,Iowa,1916635,Corydon,Iowa,17.8
1912720,Chariton,Iowa,1942015,Knoxville,Iowa,23.6
1912720,Chariton,Iowa,1950935,Melcher-Dallas,Iowa,14.7
1912765,Charles City,Iowa,1932745,Greene,Iowa,13.5
1912765,Charles City,Iowa,1955335,Nashua,Iowa,10.7
1912765,Charles City,Iowa,1959745,Osage,Iowa,16.3
1916500,Corning,Iowa,1905365,Bedford,Iowa,22.2
1916500,Corning,Iowa,1913575,Clarinda,Iowa,23.4
1916500,Corning,Iowa,1933150,Griswold,Iowa,27.2
1916500,Corning,Iowa,1944490,Lenox,Iowa,11.8
1916500,Corning,Iowa,1954480,Mount Ayr,Iowa,32.2
1916500,Corning,Iowa,1966135,Red Oak,Iowa,25.9
1916500,Corning,Iowa,1980985,Villisca,Iowa,13.3
1922395,Dubuque,Iowa,1911305,Cascade,Iowa,22.6
1922395,Dubuque,Iowa,1923115,Dyersville,Iowa,23.3
1922395,Dubuque,Iowa,1949215,Maquoketa,Iowa,29.8
1924690,Elkader,Iowa,1933465,Guttenberg,Iowa,16.5
1924690,Elkader,Iowa,1948810,Manchester,Iowa,25.7
1924690,Elkader,Iowa,1948000,McGregor,Iowa,16.6
1924690,Elkader,Iowa,1953310,Monona,Iowa,13.7
1924690,Elkader,Iowa,5565050,Prairie du Chien,Wisconsin,18.9
1924690,Elkader,Iowa,1975855,Strawberry Point,Iowa,13.5
1928605,Fort Madison,Iowa,1983685,West Burlington,Iowa,15.7
1932790,Greenfield,Iowa,1902260,Anita,Iowa,18.5
1932790,Greenfield,Iowa,1903520,Atlantic,Iowa,29.6
1933195,Grundy Center,Iowa,1961590,Parkersburg,Iowa,14.9
1933195,Grundy Center,Iowa,1966315,Reinbeck,Iowa,9.2
1933195,Grundy Center,Iowa,1978735,Traer,Iowa,19.5
1933960,Hampton,Iowa,1905680,Belmond,Iowa,21.8
1933960,Hampton,Iowa,1972210,Sheffield,Iowa,10.4
1938640,Iowa Falls,Iowa,1900190,Ackley,Iowa,11.1
1938640,Iowa Falls,Iowa,1924465,Eldora,Iowa,13.9
1939450,Jefferson,Iowa,1916050,Coon Rapids,Iowa,18.6
1939450,Jefferson,Iowa,1931710,Gowrie,Iowa,18.8
1939450,Jefferson,Iowa,1931980,Grand Junction,Iowa,7.2
1939450,Jefferson,Iowa,1958665,Ogden,Iowa,17.8
1943275,Lansing,Iowa,1982740,Waukon,Iowa,14.5
1944400,Le Mars,Iowa,1900775,Akron,Iowa,20.1
1944400,Le Mars,Iowa,1901585,Alton,Iowa,15.6
1944400,Le Mars,Iowa,1935265,Hawarden,Iowa,21.4
1944400,Le Mars,Iowa,1937515,Hull,Iowa,27.4
1944400,Le Mars,Iowa,1941385,Kingsley,Iowa,17.4
1944400,Le Mars,Iowa,1949350,Marcus,Iowa,18.4
1944400,Le Mars,Iowa,1959475,Orange City,Iowa,15.8
1944400,Le Mars,Iowa,1961905,Paullina,Iowa,27.5
1944400,Le Mars,Iowa,1966405,Remsen,Iowa,9.9
1944400,Le Mars,Iowa,1973290,Sioux Center,Iowa,19.8
1948945,Manning,Iowa,1903655,Audubon,Iowa,14.7
1948945,Manning,Iowa,1911080,Carroll,Iowa,14.9
1948945,Manning,Iowa,1919945,Denison,Iowa,16.7
1948945,Manning,Iowa,1926265,Exira,Iowa,24
1948945,Manning,Iowa,1934500,Harlan,Iowa,21.7
1948945,Manning,Iowa,1948855,Manilla,Iowa,8.8
1949755,Marshalltown,Iowa,1977115,Tama,Iowa,18.2
1949755,Marshalltown,Iowa,1978510,Toledo,Iowa,17.5
1950160,Mason City,Iowa,1914025,Clear Lake,Iowa,9.2
1950160,Mason City,Iowa,1928380,Forest City,Iowa,23.4
1950160,Mason City,Iowa,1929955,Garner,Iowa,20.6
1950160,Mason City,Iowa,1942555,Lake Mills,Iowa,25
1950160,Mason City,Iowa,1948900,Manly,Iowa,9.3
1950160,Mason City,Iowa,1956910,Nora Springs,Iowa,9.9
1950160,Mason City,Iowa,1957630,Northwood,Iowa,20.2
1954705,Mount Pleasant,Iowa,1926445,Fairfield,Iowa,21.6
1954705,Mount Pleasant,Iowa,1955110,Muscatine,Iowa,41.1
1954705,Mount Pleasant,Iowa,1956325,New London,Iowa,8.4
1954705,Mount Pleasant,Iowa,1982200,Wapello,Iowa,24.3
1954705,Mount Pleasant,Iowa,1986385,Winfield,Iowa,12.7
1956100,New Hampton,Iowa,1917220,Cresco,Iowa,23.9
1956505,Newton,Iowa,1908695,Brooklyn,Iowa,31.5
1956505,Newton,Iowa,1933105,Grinnell,Iowa,17.3
1956505,Newton,Iowa,1953355,Monroe,Iowa,12.5
1959835,Osceola,Iowa,1900595,Afton,Iowa,22.5
1959835,Osceola,Iowa,1942960,Lamoni,Iowa,29.6
1959835,Osceola,Iowa,1944535,Leon,Iowa,20.3
1959925,Oskaloosa,Iowa,1900910,Albia,Iowa,20.3
1959925,Oskaloosa,Iowa,1953490,Montezuma,Iowa,21
1959925,Oskaloosa,Iowa,1956460,New Sharon,Iowa,12.1
1959925,Oskaloosa,Iowa,1962040,Pella,Iowa,16.1
1959925,Oskaloosa,Iowa,1973110,Sigourney,Iowa,23
1960465,Ottumwa,Iowa,1924420,Eldon,Iowa,12
1969645,Sac City,Iowa,1901495,Alta,Iowa,23.6
1969645,Sac City,Iowa,1938010,Ida Grove,Iowa,25.3
1969645,Sac City,Iowa,1942465,Lake City,Iowa,16.9
1969645,Sac City,Iowa,1942690,Lake View,Iowa,8.6
1969645,Sac City,Iowa,1948990,Manson,Iowa,24.4
1969645,Sac City,Iowa,1958575,Odebolt,Iowa,15.4
1969645,Sac City,Iowa,1963975,Pocahontas,Iowa,27.1
1969645,Sac City,Iowa,1968295,Rockwell City,Iowa,18.3
1969645,Sac City,Iowa,1975630,Storm Lake,Iowa,18.8
1974280,Spencer,Iowa,1925590,Emmetsburg,Iowa,23.7
1974280,Spencer,Iowa,1925860,Estherville,Iowa,23.8
1974280,Spencer,Iowa,1934725,Hartley,Iowa,16.9
1974280,Spencer,Iowa,1943725,Laurens,Iowa,25.2
1974280,Spencer,Iowa,1952095,Milford,Iowa,12.7
1974280,Spencer,Iowa,1964650,Primghar,Iowa,24.6
1974280,Spencer,Iowa,1970410,Sanborn,Iowa,25.9
