city_fips,name,st,cty_fips,cbsa_fips,cz,rucc,pop_2010,msp,msp_yr,msp_accr,msp_affl,cty_seat
1900190,Ackley,Iowa,19083,0,561,6,1589,0,0,0,0,0
1900595,Afton,Iowa,19175,0,509,6,845,0,0,0,0,0
1900775,Akron,Iowa,19149,43580,4,3,1486,0,0,0,0,0
1900910,Albia,Iowa,19135,0,393,7,3766,0,0,0,0,1
1901135,Algona,Iowa,19109,0,518,7,5560,0,0,0,0,1
1901495,Alta,Iowa,19021,44740,564,7,1883,0,0,0,0,0
1901585,Alton,Iowa,19167,0,504,7,1216,0,0,0,0,0
1901855,Ames,Iowa,19169,11180,15,3,58965,1,2009,1,0,0
1902260,Anita,Iowa,19029,0,597,6,972,0,0,0,0,0
1903520,Atlantic,Iowa,19029,0,597,6,7112,0,0,0,0,1
1903655,Audubon,Iowa,19009,0,597,8,2176,0,0,0,0,1
1905365,Bedford,Iowa,19173,0,509,9,1440,0,0,0,0,1
1905635,Bellevue,Iowa,19097,0,344,6,2191,0,0,0,0,0
1905680,Belmond,Iowa,19197,0,401,7,2376,0,0,0,0,0
1907030,Bloomfield,Iowa,19051,36900,393,9,2640,1,1995,1,0,1
1907480,Boone,Iowa,19015,14340,15,6,12661,0,0,0,0,1
1908605,Britt,Iowa,19081,0,304,7,2069,0,0,0,0,0
1908695,Brooklyn,Iowa,19157,0,455,7,1468,0,0,0,0,0
1909550,Burlington,Iowa,19057,15460,192,5,25663,1,1986,1,0,1
1910045,Calmar,Iowa,19191,0,507,7,978,0,0,0,0,0
1911080,Carroll,Iowa,19027,0,621,7,10103,0,0,0,0,1
1911305,Cascade,Iowa,19061,20220,344,3,2159,0,0,0,0,0
1911755,Cedar Falls,Iowa,19013,47940,230,3,39260,1,1987,1,0,0
1912315,Centerville,Iowa,19007,0,393,7,5528,1,2015,1,0,1
1912720,Chariton,Iowa,19117,0,526,6,4321,1,2012,1,0,1
1912765,Charles City,Iowa,19067,0,507,7,7652,1,1996,1,0,1
1913080,Cherokee,Iowa,19035,0,564,6,5253,0,0,0,0,1
1913575,Clarinda,Iowa,19145,0,295,6,5572,0,0,0,0,1
1913620,Clarion,Iowa,19197,0,401,7,2850,0,0,0,0,1
1913755,Clarksville,Iowa,19023,0,230,8,1439,0,0,0,0,0
1914025,Clear Lake,Iowa,19033,32380,304,5,7777,0,0,0,0,0
1914430,Clinton,Iowa,19045,17540,344,4,26885,0,0,0,0,1
1915060,Colfax,Iowa,19099,35500,455,6,2093,1,2009,1,0,0
1916050,Coon Rapids,Iowa,19027,0,621,7,1305,0,0,0,0,0
1916500,Corning,Iowa,19003,0,509,9,1635,1,1990,1,0,1
1916545,Correctionville,Iowa,19193,43580,4,3,821,0,0,0,0,0
1916635,Corydon,Iowa,19185,0,526,9,1585,0,0,0,0,1
1917220,Cresco,Iowa,19089,0,507,6,3868,0,0,0,0,1
1917265,Creston,Iowa,19175,0,509,6,7834,0,0,0,0,1
1919405,Decorah,Iowa,19191,0,507,7,8127,0,0,0,0,1
1919945,Denison,Iowa,19047,0,564,7,8298,0,0,0,0,1
1921180,De Witt,Iowa,19045,17540,344,4,5322,0,0,0,0,0
1922395,Dubuque,Iowa,19061,20220,344,3,57637,1,1985,1,0,1
