town,pop_1980,pop_1990,pop_1991,pop_1992,pop_1993,pop_1994,pop_1995,pop_1996,pop_1997,pop_1998,pop_1999,pop_2000,pop_2001,pop_2002,pop_2003,pop_2004,pop_2005,pop_2006,pop_2007,pop_2008,pop_2009,pop_2010,pop_2011,pop_2012,pop_2013,pop_2014,pop_2015,pop_2016,pop_2017,pop_2018,pop_2019,city_fips,name,st,cty_fips,cbsa_fips,cz,rucc,msp,msp_yr,msp_accr,msp_affl,cty_seat
"Ackley, IA",1900,1696,1691,1679,1670,1663,1659,1657,1657,1658,1648,1809,1780,1754,1730,1705,1678,1659,1641,1621,1597,1589,1575,1573,1560,1558,1546,1537,1520,1509,1498,1900190,Ackley,IA,19083,0,561,6,0,0,0,0,0
"Afton, IA",985,953,944,952,960,950,948,957,944,942,945,917,888,876,857,856,853,852,850,851,850,845,846,847,849,844,826,826,829,819,815,1900595,Afton,IA,19175,0,509,6,0,0,0,0,0
"Akron, IA",1517,1450,1441,1445,1452,1468,1466,1474,1470,1454,1458,1489,1474,1468,1475,1487,1484,1485,1480,1481,1481,1486,1502,1498,1494,1491,1483,1494,1479,1467,1463,1900775,Akron,IA,19149,43580,4,3,0,0,0,0,0
"Albia, IA",4184,3870,3941,3950,3916,3901,3896,3852,3844,3812,3790,3706,3765,3720,3752,3760,3755,3740,3726,3734,3743,3766,3814,3815,3771,3750,3789,3755,3734,3712,3681,1900910,Albia,IA,19135,0,393,7,0,0,0,0,1
"Algona, IA",6289,6015,5960,5948,5939,5987,5991,5955,5952,5910,5922,5741,5708,5653,5640,5648,5635,5594,5571,5541,5560,5560,5524,5531,5510,5485,5460,5502,5449,5417,5397,1901135,Algona,IA,19109,0,518,7,0,0,0,0,1
"Alta, IA",1720,1820,1881,1891,1910,1890,1883,1875,1838,1812,1817,1865,1833,1837,1830,1818,1824,1826,1827,1839,1858,1883,1928,1968,1980,1970,1946,1955,1949,1927,1903,1901495,Alta,IA,19021,44740,564,7,0,0,0,0,0
"Alton, IA",986,1063,1110,1124,1146,1150,1152,1146,1144,1145,1147,1095,1130,1136,1139,1149,1157,1171,1185,1197,1210,1216,1229,1244,1255,1263,1267,1268,1259,1257,1248,1901585,Alton,IA,19167,0,504,7,0,0,0,0,0
"Ames, IA",45775,47198,47195,47406,47889,47647,47597,47907,48391,48407,49166,50731,51123,52652,52720,53305,53512,55035,56567,57477,58669,58965,60440,61427,63053,64773,65685,65915,66301,66001,66258,1901855,Ames,IA,19169,11180,15,3,1,2009,1,0,0
"Anita, IA",1153,1068,1072,1068,1072,1076,1072,1079,1078,1072,1070,1049,1039,1018,1016,1004,991,989,983,976,974,972,961,954,956,953,948,930,925,909,900,1902260,Anita,IA,19029,0,597,6,0,0,0,0,0
"Atlantic, IA",7789,7432,7440,7441,7452,7484,7416,7389,7332,7328,7289,7257,7185,7083,7119,7077,7026,7059,7064,7061,7091,7112,7026,6999,6922,6830,6800,6711,6691,6587,6526,1903520,Atlantic,IA,19029,0,597,6,0,0,0,0,1
"Audubon, IA",2841,2524,2529,2492,2454,2436,2421,2409,2403,2391,2388,2382,2325,2297,2269,2258,2224,2208,2198,2195,2178,2176,2125,2073,2068,2020,1994,1954,1929,1892,1898,1903655,Audubon,IA,19009,0,597,8,0,0,0,0,1
"Bedford, IA",1692,1528,1602,1578,1563,1555,1546,1539,1519,1513,1485,1620,1601,1580,1561,1545,1506,1508,1479,1453,1451,1440,1436,1429,1422,1407,1418,1406,1380,1392,1384,1905365,Bedford,IA,19173,0,509,9,0,0,0,0,1
"Bellevue, IA",2450,2239,2310,2331,2339,2348,2329,2312,2306,2314,2303,2350,2339,2313,2301,2291,2275,2261,2241,2218,2199,2191,2187,2174,2162,2160,2163,2178,2188,2200,2209,1905635,Bellevue,IA,19097,0,344,6,0,0,0,0,0
"Belmond, IA",2505,2500,2498,2513,2498,2507,2533,2532,2511,2496,2467,2560,2526,2494,2474,2471,2456,2435,2419,2400,2380,2376,2348,2353,2340,2330,2320,2329,2312,2288,2263,1905680,Belmond,IA,19197,0,401,7,0,0,0,0,0
"Bloomfield, IA",2849,2580,2635,2635,2655,2667,2694,2667,2677,2671,2678,2601,2632,2633,2611,2627,2612,2618,2631,2624,2629,2640,2633,2615,2626,2606,2616,2658,2684,2669,2679,1907030,Bloomfield,IA,19051,36900,393,9,1,1995,1,0,1
"Boone, IA",12602,12392,12512,12499,12444,12497,12687,12810,12880,12777,12867,12803,12803,12705,12761,12811,12854,12820,12838,12769,12703,12661,12636,12538,12583,12549,12605,12540,12501,12455,12384,1907480,Boone,IA,19015,14340,15,6,0,0,0,0,1
"Britt, IA",2185,2133,2170,2155,2121,2107,2128,2139,2107,2102,2089,2052,2050,2047,2072,2075,2090,2085,2075,2078,2063,2069,2065,2054,2052,2034,2034,2004,1981,1976,1955,1908605,Britt,IA,19081,0,304,7,0,0,0,0,0
"Brooklyn, IA",1509,1439,1426,1425,1415,1415,1416,1416,1410,1403,1394,1367,1393,1401,1415,1427,1428,1444,1459,1459,1464,1468,1473,1460,1444,1440,1404,1399,1396,1400,1400,1908695,Brooklyn,IA,19157,0,455,7,0,0,0,0,0
"Burlington, IA",29529,27208,27480,27511,27454,27348,27118,26938,26723,26642,26507,26839,26519,26093,26062,25763,25627,25548,25559,25585,25689,25663,25439,25541,25593,25467,25308,25120,24942,24839,24713,1909550,Burlington,IA,19057,15460,192,5,1,1986,1,0,1
"Calmar, IA",1053,1026,1039,1044,1044,1043,1047,1041,1060,1075,1073,1058,1021,1016,1002,998,996,991,989,983,979,978,975,971,961,957,953,947,933,924,917,1910045,Calmar,IA,19191,0,507,7,0,0,0,0,0
"Carroll, IA",9705,9579,9680,9797,9935,9958,10091,10124,10181,10267,10306,10106,10058,10053,10020,10008,10051,10011,10058,10024,10048,10103,10152,10048,10004,9997,9962,9934,9903,9835,9833,1911080,Carroll,IA,19027,0,621,7,0,0,0,0,1
"Cascade, IA",1912,1812,1840,1862,1884,1911,1935,1957,1976,1991,1992,1958,2000,2012,2035,2055,2067,2085,2111,2127,2139,2159,2202,2208,2213,2250,2263,2274,2285,2300,2329,1911305,Cascade,IA,19061,20220,344,3,0,0,0,0,0
"Cedar Falls, IA",36322,34298,34400,34212,34470,34639,34730,34734,34682,34820,34810,36145,36377,36133,36114,36340,36711,37109,37449,38172,38954,39260,39604,39867,40640,41030,41378,41413,41043,40576,40536,1911755,Cedar Falls,IA,19013,47940,230,3,1,1987,1,0,0
"Centerville, IA",6558,5936,5970,6002,6004,5915,5900,5897,5886,5923,5887,5924,5882,5806,5850,5811,5795,5731,5628,5563,5536,5528,5635,5562,5533,5538,5491,5455,5440,5445,5445,1912315,Centerville,IA,19007,0,393,7,1,2015,1,0,1
"Chariton, IA",4987,4616,4621,4555,4525,4476,4447,4419,4424,4385,4359,4573,4591,4584,4590,4651,4630,4531,4514,4443,4344,4321,4312,4259,4215,4182,4168,4134,4122,4152,4141,1912720,Chariton,IA,19117,0,526,6,1,2012,1,0,1
"Charles City, IA",8778,7878,7829,7868,7807,7774,7701,7664,7643,7569,7519,7812,7711,7728,7718,7708,7691,7737,7707,7642,7614,7652,7552,7528,7496,7484,7438,7447,7391,7368,7307,1912765,Charles City,IA,19067,0,507,7,1,1996,1,0,1
"Cherokee, IA",7004,6026,6031,5966,5925,5925,5796,5698,5665,5573,5530,5369,5342,5278,5260,5263,5240,5202,5206,5177,5179,5253,5231,5190,5155,5130,4995,4947,4907,4893,4869,1913080,Cherokee,IA,19035,0,564,6,0,0,0,0,1
"Clarinda, IA",5458,5104,5050,4988,4986,5032,5027,5566,5730,5725,5623,5690,5659,5560,5522,5504,5540,5581,5587,5560,5535,5572,5570,5522,5373,5412,5402,5360,5368,5403,5366,1913575,Clarinda,IA,19145,0,295,6,0,0,0,0,1
"Clarion, IA",3060,2703,2693,2747,2750,2767,2793,2773,2738,2716,2677,2968,2945,2917,2902,2909,2900,2885,2876,2861,2847,2850,2800,2803,2801,2792,2778,2781,2763,2741,2709,1913620,Clarion,IA,19197,0,401,7,0,0,0,0,1
"Clarksville, IA",1424,1382,1392,1385,1369,1367,1365,1359,1361,1358,1350,1441,1422,1413,1418,1428,1428,1429,1437,1442,1419,1439,1438,1433,1425,1421,1408,1389,1366,1355,1346,1913755,Clarksville,IA,19023,0,230,8,0,0,0,0,0
"Clear Lake, IA",7458,8183,8694,8681,8677,8721,8736,8701,8700,8657,8558,8161,8066,7994,7991,7919,7875,7839,7827,7799,7792,7777,7758,7730,7698,7677,7637,7656,7636,7585,7550,1914025,Clear Lake,IA,19033,32380,304,5,0,0,0,0,0
"Clinton, IA",32828,29201,29144,29272,29200,28966,28796,28338,28034,27810,27506,27772,27582,27400,27342,27253,27203,27179,27075,27050,26923,26885,26878,26598,26347,26103,25852,25652,25408,25121,25093,1914430,Clinton,IA,19045,17540,344,4,0,0,0,0,1
"Colfax, IA",2234,2462,2452,2443,2450,2452,2447,2456,2467,2455,2438,2223,2286,2278,2268,2245,2216,2185,2161,2139,2108,2093,2071,2065,2063,2069,2060,2055,2065,2073,2064,1915060,Colfax,IA,19099,35500,455,6,1,2009,1,0,0
"Coon Rapids, IA",1448,1266,1306,1296,1295,1278,1270,1258,1252,1236,1220,1305,1297,1297,1293,1292,1298,1293,1299,1295,1298,1305,1304,1292,1274,1272,1270,1263,1258,1237,1232,1916050,Coon Rapids,IA,19027,0,621,7,0,0,0,0,0
"Corning, IA",1939,1806,1782,1754,1729,1720,1704,1683,1680,1676,1686,1783,1774,1762,1765,1739,1706,1707,1698,1683,1641,1635,1618,1586,1570,1564,1505,1478,1458,1451,1433,1916500,Corning,IA,19003,0,509,9,1,1990,1,0,1
