city_fips,sum_level,st_fips,cty_fips,place_fips,st,name,est_1990,est_1991,est_1992,est_1993,est_1994,est_1995,est_1996,est_1997,est_1998,est_1999,est_2000
0103220,157,01,01001,03220,AL,Autaugaville town,952,960,977,989,"1,005","1,015","1,029","1,043","1,054","1,064","1,071"
0106460,157,01,01001,06460,AL,Billingsley town,151,151,152,153,154,153,153,153,152,153,152
0148712,157,01,01001,48712,AL,Millbrook city (pt.),8,8,8,8,11,11,11,14,14,14,15
0162328,157,01,01001,62328,AL,Prattville city (pt.),"19,646","20,124","20,805","21,559","22,486","23,196","23,975","24,711","25,344","25,973","26,498"
0104660,157,01,01003,04660,AL,Bay Minette city,"7,222","7,385","7,562","7,710","7,744","7,780","7,936","8,055","8,164","8,171","8,165"
0119648,157,01,01003,19648,AL,Daphne city,"11,647","12,280","12,866","13,547","14,361","15,049","15,492","15,808","16,049","16,170","16,362"
0123320,157,01,01003,23320,AL,Elberta town,469,479,495,505,519,526,527,529,527,523,521
0125240,157,01,01003,25240,AL,Fairhope city,"9,491","9,955","10,344","10,725","11,478","12,113","12,472","12,715","12,991","13,282","13,586"
0126992,157,01,01003,26992,AL,Foley city,"5,918","6,236","6,539","6,793","7,079","7,341","7,652","8,010","8,469","8,890","9,396"
0132272,157,01,01003,32272,AL,Gulf Shores city,"3,443","3,534","3,640","3,737","3,871","4,003","4,221","4,441","4,591","4,678","4,756"
0144608,157,01,01003,44608,AL,Loxley town,"1,207","1,243","1,293","1,341","1,381","1,405","1,436","1,466","1,481","1,488","1,498"
0157144,157,01,01003,57144,AL,Orange Beach city,"2,270","2,299","2,401","2,494","2,562","2,809","3,255","3,565","3,707","3,965","4,176"
0165208,157,01,01003,65208,AL,Robertsdale city,"2,543","2,627","2,728","2,839","2,948","3,056","3,260","3,437","3,570","3,676","3,778"
0170536,157,01,01003,70536,AL,Silverhill town,570,587,606,615,617,616,619,628,628,620,625
0171976,157,01,01003,71976,AL,Spanish Fort city,"3,177","3,249","3,372","3,527","3,670","3,757","3,853","3,984","4,100","4,164","4,221"
0173872,157,01,01003,73872,AL,Summerdale town,563,586,607,621,636,639,647,657,665,665,667
0107672,157,01,01005,07672,AL,Blue Springs town,51,50,50,52,51,50,51,50,51,49,50
0115376,157,01,01005,15376,AL,Clayton town,"1,600","1,683","1,674","1,651","1,625","1,589","1,572","1,537","1,516","1,478","1,461"
0115640,157,01,01005,15640,AL,Clio town,"1,444","1,975","1,987","2,158","2,304","2,339","2,406","2,402","2,507","2,510","2,515"
0124568,157,01,01005,24568,AL,Eufaula city,"13,506","13,599","13,703","13,701","13,672","13,529","13,537","13,432","13,427","13,273","13,228"
0144344,157,01,01005,44344,AL,Louisville town,734,735,740,738,736,731,733,727,726,717,716
0109136,157,01,01007,09136,AL,Brent city,"2,770","2,830","2,870","2,909","2,941","2,997","3,034","3,093","3,150","3,245","3,276"
0113672,157,01,01007,13672,AL,Centreville city,"2,558","2,501","2,512","2,506","2,519","2,512","2,520","2,523","2,507","2,520","2,499"
0155018,157,01,01007,55018,AL,North Bibb town (pt.),685,719,739,784,775,800,819,845,868,895,905
0178264,157,01,01007,78264,AL,Vance town (pt.),53,55,54,56,57,59,60,61,61,63,65
0180928,157,01,01007,80928,AL,West Blocton town,"1,509","1,536","1,554","1,572","1,585","1,614","1,631","1,661","1,691","1,741","1,756"
0101396,157,01,01009,01396,AL,Allgood town,522,531,540,555,565,590,612,638,666,689,700
0101660,157,01,01009,01660,AL,Altoona town (pt.),3,3,3,3,3,3,3,3,3,3,3
0107456,157,01,01009,07456,AL,Blountsville town,"1,537","1,526","1,515","1,523","1,518","1,549","1,567","1,603","1,636","1,656","1,659"
0115472,157,01,01009,15472,AL,Cleveland town,929,939,947,964,972,999,"1,017","1,044","1,072","1,093","1,101"
0117968,157,01,01009,17968,AL,County Line town (pt.),131,131,133,137,140,145,154,161,169,177,180
0129032,157,01,01009,29032,AL,Garden City town (pt.),0,0,0,0,0,0,0,0,0,0,1
0133640,157,01,01009,33640,AL,Hayden town,384,390,395,403,409,424,435,452,467,481,487
0134480,157,01,01009,34480,AL,Highland Lake town,305,305,307,310,308,313,316,320,325,328,327
0143888,157,01,01009,43888,AL,Locust Fork town,607,617,625,641,651,675,695,723,750,771,782
0153448,157,01,01009,53448,AL,Nectar town,233,235,239,241,244,252,256,264,271,277,279
0157000,157,01,01009,57000,AL,Oneonta city,"4,903","4,945","4,953","4,994","4,978","5,063","5,123","5,259","5,380","5,429","5,496"
0166408,157,01,01009,66408,AL,Rosa town,230,232,233,236,238,244,248,253,260,264,266
0171280,157,01,01009,71280,AL,Snead town,694,700,706,720,725,744,759,779,801,817,823
0174160,157,01,01009,74160,AL,Susan Moore town,544,549,555,565,568,583,594,610,626,640,643
0179944,157,01,01009,79944,AL,Warrior city (pt.),0,0,0,0,0,0,0,0,0,0,0
0148424,157,01,01011,48424,AL,Midway town,470,464,460,464,470,463,464,460,458,455,450
0177880,157,01,01011,77880,AL,Union Springs city,"3,997","4,171","4,103","4,103","4,115","4,183","4,246","4,270","4,262","4,349","4,330"
0129560,157,01,01013,29560,AL,Georgiana town,"1,980","1,960","1,960","1,957","1,953","1,940","1,934","1,924","1,902","1,885","1,851"
0131912,157,01,01013,31912,AL,Greenville city,"7,887","7,804","7,786","7,755","7,739","7,710","7,677","7,602","7,538","7,456","7,410"
0145496,157,01,01013,45496,AL,McKenzie town (pt.),575,570,569,569,568,564,562,561,556,549,541
0101852,157,01,01015,01852,AL,Anniston city,"29,032","28,862","28,937","28,946","28,705","28,597","28,264","28,087","27,719","27,272","26,373"
0107552,157,01,01015,07552,AL,Blue Mountain town,222,218,217,215,211,208,203,199,195,190,182
0129992,157,01,01015,29992,AL,Glencoe city (pt.),11,11,11,14,13,13,16,16,16,18,17
0135152,157,01,01015,35152,AL,Hobson City town,886,878,881,882,875,874,867,864,856,847,823
0138272,157,01,01015,38272,AL,Jacksonville city,"10,236","10,146","10,052","9,785","9,810","9,933","9,967","10,030","10,132","10,189","10,090"
0156472,157,01,01015,56472,AL,Ohatchee town,"1,091","1,090","1,098","1,108","1,110","1,121","1,127","1,142","1,148","1,151","1,127"
0157576,157,01,01015,57576,AL,Oxford city (pt.),"11,292","11,346","11,460","11,611","11,725","11,907","12,088","12,364","12,563","12,771","12,649"
0159640,157,01,01015,59640,AL,Piedmont city (pt.),"5,645","5,596","5,603","5,604","5,567","5,568","5,526","5,515","5,466","5,399","5,230"
0171832,157,01,01015,71832,AL,Southside city (pt.),146,149,151,154,158,163,166,172,175,177,177
0180352,157,01,01015,80352,AL,Weaver city,"2,971","2,967","2,986","2,992","2,978","2,992","2,975","2,968","2,947","2,935","2,864"
0126200,157,01,01017,26200,AL,Five Points town,207,207,205,205,205,204,201,199,195,191,191
0140672,157,01,01017,40672,AL,La Fayette city,"3,141","3,143","3,150","3,145","3,148","3,147","3,110","3,078","3,060","3,006","2,991"
0141296,157,01,01017,41296,AL,Lanett city,"8,922","8,878","8,889","8,866","8,864","8,865","8,748","8,643","8,594","8,426","8,379"
0178204,157,01,01017,78204,AL,Valley city,"9,579","9,561","9,572","9,532","9,492","9,466","9,344","9,238","9,292","9,307","9,347"
0180256,157,01,01017,80256,AL,Waverly town (pt.),127,127,128,127,127,127,125,123,125,122,122
