city_fips,name,st,cty_fips,cz,rucc,pop_2010
3900198,Ada,Ohio,39065,536,6,5952
3900464,Adena,Ohio,39081,213,3,759
3902204,Antwerp,Ohio,39125,432,6,1736
3902330,Arcanum,Ohio,39037,38,6,2129
3902344,Archbold,Ohio,39051,432,2,4346
3902568,Ashland,Ohio,39005,391,4,20362
3902638,Ashtabula,Ohio,39007,170,4,19124
3902680,Ashville,Ohio,39129,327,1,4097
3902736,Athens,Ohio,39009,442,4,23832
3903926,Barnesville,Ohio,39013,222,3,4193
3904150,Batavia,Ohio,39025,89,1,1509
3905074,Bellaire,Ohio,39013,222,3,4278
3905130,Bellefontaine,Ohio,39091,536,6,13370
3905228,Bellevue,Ohio,39143,77,4,8202
3905284,Bellville,Ohio,39139,391,3,1918
3905424,Belpre,Ohio,39167,81,4,6441
3906068,Bethel,Ohio,39025,89,1,2711
3906138,Bethesda,Ohio,39013,222,3,1256
3906908,Blanchester,Ohio,39027,400,6,4243
3907426,Bluffton,Ohio,39003,404,3,4125
3907972,Bowling Green,Ohio,39173,77,2,30028
3908084,Bradford,Ohio,39109,38,2,1842
3908392,Bremen,Ohio,39045,10,1,1425
3908560,Bridgeport,Ohio,39013,222,3,1831
3909792,Bryan,Ohio,39171,432,6,8545
3910030,Bucyrus,Ohio,39033,391,4,12362
3910716,Byesville,Ohio,39059,318,6,2438
3910800,Cadiz,Ohio,39067,148,6,3353
3910940,Caldwell,Ohio,39121,318,7,1748
3910996,Cambridge,Ohio,39059,318,6,10635
3912084,Cardington,Ohio,39117,391,1,2047
3912112,Carey,Ohio,39175,536,7,3674
3912280,Carrollton,Ohio,39019,148,2,3241
3912784,Cedarville,Ohio,39057,38,2,4019
3912868,Celina,Ohio,39107,404,7,10400
3913554,Chardon,Ohio,39055,170,1,5148
3913778,Chauncey,Ohio,39009,442,4,1049
3914184,Chillicothe,Ohio,39141,327,4,21901
3915070,Circleville,Ohio,39129,327,1,13314
3916308,Clyde,Ohio,39143,77,4,6325
3916378,Coal Grove,Ohio,39087,116,2,2165
3916532,Coldwater,Ohio,39107,404,7,4427
3917036,Columbiana,Ohio,39029,296,4,6384
3918014,Columbus Grove,Ohio,39137,404,6,2137
3918350,Conneaut,Ohio,39007,170,4,12841
3918504,Continental,Ohio,39137,404,6,1153
3918868,Coshocton,Ohio,39031,148,6,11216
3919050,Covington,Ohio,39109,38,2,2584
3919330,Crestline,Ohio,39033,391,4,4630
3919344,Creston,Ohio,39169,148,4,2171
3919456,Crooksville,Ohio,39127,10,1,2534
3921308,Defiance,Ohio,39039,432,4,16494
3921434,Delaware,Ohio,39041,10,1,34753
3921602,Delphos,Ohio,39003,404,3,7101
3921616,Delta,Ohio,39051,432,2,3103
3921714,Dennison,Ohio,39157,148,4,2655
3921812,Deshler,Ohio,39069,432,6,1799
3922456,Dover,Ohio,39157,148,4,12826
3922568,Doylestown,Ohio,39169,148,4,3051
3922610,Dresden,Ohio,39119,10,4,1529
3923730,East Liverpool,Ohio,39029,296,4,11195
3923940,East Palestine,Ohio,39029,296,4,4721
3924234,Eaton,Ohio,39135,38,6,8407
3924486,Edgerton,Ohio,39171,432,6,2012
3925144,Elmore,Ohio,39123,77,4,1410
3926306,Fairport Harbor,Ohio,39085,170,1,3109
3927048,Findlay,Ohio,39063,536,4,41202
3927552,Flushing,Ohio,39013,222,3,879
3927636,Forest,Ohio,39065,536,6,1461
3927902,Fort Recovery,Ohio,39107,404,7,1430
3928014,Fostoria,Ohio,39147,536,4,13441
3928658,Fredericktown,Ohio,39083,10,4,2493
3928826,Fremont,Ohio,39143,77,4,16734
3929162,Galion,Ohio,39033,391,4,10512
3929204,Gallipolis,Ohio,39053,442,6,3641
