city_fips,cty_fips,st,cty,city ,pop_2010,afact
800320,8035,co,Douglas CO,"Acres Green CDP, CO",3007,1
800620,8005,co,Arapahoe CO,"Aetna Estates CDP, CO",834,1
800760,8071,co,Las Animas CO,"Aguilar town, CO",538,1
800870,8041,co,El Paso CO,"Air Force Academy CDP, CO",6680,1
800925,8121,co,Washington CO,"Akron town, CO",1702,1
801090,8003,co,Alamosa CO,"Alamosa city, CO",8780,1
801145,8003,co,Alamosa CO,"Alamosa East CDP, CO",1458,1
801420,8013,co,Boulder CO,"Allenspark CDP, CO",528,1
801530,8093,co,Park CO,"Alma town, CO",270,1
801640,8105,co,Rio Grande CO,"Alpine CDP, CO",174,1
801740,8013,co,Boulder CO,"Altona CDP, CO",501,1
801915,8095,co,Phillips CO,"Amherst CDP, CO",58,1
802355,8021,co,Conejos CO,"Antonito town, CO",781,1
802575,8059,co,Jefferson CO,"Applewood CDP, CO",7160,1
802905,8007,co,Archuleta CO,"Arboles CDP, CO",280,1
803015,8123,co,Weld CO,"Aristocrat Ranchettes CDP, CO",1344,1
803235,8073,co,Lincoln CO,"Arriba town, CO",193,1
803455,8001,co,Adams CO,"Arvada city, CO",2849,0.027
803455,8059,co,Jefferson CO,"Arvada city, CO",103584,0.973
803620,8097,co,Pitkin CO,"Aspen city, CO",6658,1
803730,8059,co,Jefferson CO,"Aspen Park CDP, CO",882,1
803840,8075,co,Logan CO,"Atwood CDP, CO",133,1
803950,8123,co,Weld CO,"Ault town, CO",1519,1
804000,8001,co,Adams CO,"Aurora city, CO",39871,0.123
804000,8005,co,Arapahoe CO,"Aurora city, CO",285090,0.877
804000,8035,co,Douglas CO,"Aurora city, CO",117,0
804110,8037,co,Eagle CO,"Avon town, CO",6447,1
804165,8101,co,Pueblo CO,"Avondale CDP, CO",674,1
804620,8013,co,Boulder CO,"Bark Ranch CDP, CO",213,1
804935,8037,co,Eagle CO,"Basalt town, CO",2926,0.759
804935,8097,co,Pitkin CO,"Basalt town, CO",931,0.241
805120,8045,co,Garfield CO,"Battlement Mesa CDP, CO",4471,1
805265,8067,co,La Plata CO,"Bayfield town, CO",2333,1
806090,8001,co,Adams CO,"Bennett town, CO",1955,0.847
806090,8005,co,Arapahoe CO,"Bennett town, CO",353,0.153
806172,8001,co,Adams CO,"Berkley CDP, CO",11207,1
806255,8069,co,Larimer CO,"Berthoud town, CO",5042,0.988
806255,8123,co,Weld CO,"Berthoud town, CO",63,0.012
806530,8063,co,Kit Carson CO,"Bethune town, CO",237,1
806602,8101,co,Pueblo CO,"Beulah Valley CDP, CO",556,1
806970,8041,co,El Paso CO,"Black Forest CDP, CO",13116,1
807025,8047,co,Gilpin CO,"Black Hawk city, CO",118,1
807190,8023,co,Costilla CO,"Blanca town, CO",385,1
807245,8101,co,Pueblo CO,"Blende CDP, CO",878,1
807410,8117,co,Summit CO,"Blue River town, CO",849,1
807420,8087,co,Morgan CO,"Blue Sky CDP, CO",24,1
807571,8109,co,Saguache CO,"Bonanza town, CO",16,1
