Real Property Class,Year of Year,County Name,Municipality,Re Class Name2,Assessed Value
Residential,2003,ADAMS,01201 ADAMS (C),Residential,34113900
Residential,2003,ADAMS,01291 WISCONSIN DELLS (C),Residential,638300
Residential,2003,ASHLAND,02201 ASHLAND (C),Residential,162388600
Residential,2003,ASHLAND,02251 MELLEN (C),Residential,8761300
Residential,2003,BARRON,03206 BARRON (C),Residential,71076950
Residential,2003,BARRON,03211 CHETEK (C),Residential,70290900
Residential,2003,BARRON,03212 CUMBERLAND (C),Residential,95748200
Residential,2003,BARRON,03276 RICE LAKE (C),Residential,250160700
Residential,2003,BAYFIELD,04206 BAYFIELD (C),Residential,44793900
Residential,2003,BAYFIELD,04291 WASHBURN (C),Residential,59758100
Residential,2003,BROWN,05216 DE PERE (C),Residential,777293500
Residential,2003,BROWN,05231 GREEN BAY (C),Residential,2671244000
Residential,2003,BUFFALO,06201 ALMA (C),Residential,23060400
Residential,2003,BUFFALO,06206 BUFFALO CITY (C),Residential,37637100
Residential,2003,BUFFALO,06226 FOUNTAIN CITY (C),Residential,21634400
Residential,2003,BUFFALO,06251 MONDOVI (C),Residential,60745700
Residential,2003,CALUMET,08201 APPLETON (C),Residential,416290800
Residential,2003,CALUMET,08206 BRILLION (C),Residential,94354900
Residential,2003,CALUMET,08211 CHILTON (C),Residential,111053400
Residential,2003,CALUMET,08241 KIEL (C),Residential,4394300
Residential,2003,CALUMET,08251 MENASHA (C),Residential,62266900
Residential,2003,CALUMET,08261 NEW HOLSTEIN (C),Residential,103098600
Residential,2003,CHIPPEWA,09206 BLOOMER (C),Residential,111350500
Residential,2003,CHIPPEWA,09211 CHIPPEWA FALLS (C),Residential,299081400
Residential,2003,CHIPPEWA,09213 CORNELL (C),Residential,30182000
Residential,2003,CHIPPEWA,09221 EAU CLAIRE (C),Residential,60187400
Residential,2003,CHIPPEWA,09281 STANLEY (C),Residential,41283900
Residential,2003,CLARK,10201 ABBOTSFORD (C),Residential,37380900
Residential,2003,CLARK,10211 COLBY (C),Residential,31858000
Residential,2003,CLARK,10231 GREENWOOD (C),Residential,24450800
Residential,2003,CLARK,10246 LOYAL (C),Residential,28454400
Residential,2003,CLARK,10261 NEILLSVILLE (C),Residential,56084300
Residential,2003,CLARK,10265 OWEN (C),Residential,15181400
Residential,2003,CLARK,10281 STANLEY (C),Residential,0
Residential,2003,CLARK,10286 THORP (C),Residential,34817900
Residential,2003,COLUMBIA,11211 COLUMBUS (C),Residential,172425500
Residential,2003,COLUMBIA,11246 LODI (C),Residential,115864500
Residential,2003,COLUMBIA,11271 PORTAGE (C),Residential,271406680
Residential,2003,COLUMBIA,11291 WISCONSIN DELLS (C),Residential,82423200
Residential,2003,CRAWFORD,12271 PRAIRIE DU CHIEN (C),Residential,150502400
Residential,2003,DANE,13221 EDGERTON (C),Residential,624100
Residential,2003,DANE,13225 FITCHBURG (C),Residential,783904700
Residential,2003,DANE,13251 MADISON (C),Residential,10008679100
Residential,2003,DANE,13255 MIDDLETON (C),Residential,899891536
Residential,2003,DANE,13258 MONONA (C),Residential,518811750
Residential,2011,POLK,48006 BALSAM LAKE (T),Residential,257809900
Residential,2011,RACINE,51006 DOVER (T),Residential,271616700
Residential,2012,PIERCE,47022 RIVER FALLS (T),Residential,201509800
Residential,2015,DUNN,17042 WESTON (T),Residential,22834000
Residential,2013,RACINE,51012 RAYMOND (T),Residential,314048700
Residential,2015,RICHLAND,52028 SYLVAN (T),Residential,10900000
Residential,2007,BARRON,03002 ALMENA (T),Residential,124105400
Residential,2007,CHIPPEWA,09024 ESTELLA (T),Residential,17005500
Residential,2007,DODGE,14036 PORTLAND (T),Residential,49967400
Residential,2007,LANGLADE,34034 WOLF RIVER (T),Residential,89573300
Residential,2007,JUNEAU,29012 GERMANTOWN (T),Residential,263146200
Residential,2007,BURNETT,07026 SAND LAKE (T),Residential,81227800
Residential,2007,GRANT,22006 BOSCOBEL (T),Residential,14264800
Residential,2007,GRANT,22038 MOUNT HOPE (T),Residential,2260300
Residential,2007,MANITOWOC,36004 CENTERVILLE (T),Residential,46523300
Residential,2007,BUFFALO,06034 WAUMANDEE (T),Residential,10022400
Residential,2007,CLARK,10006 COLBY (T),Residential,14545900
Residential,2007,CLARK,10010 EATON (T),Residential,13604000
Residential,2007,DANE,13012 BRISTOL (T),Residential,332326600
Residential,2007,FLORENCE,19012 HOMESTEAD (T),Residential,26300380
Residential,2007,FOND DU LAC,20028 METOMEN (T),Residential,24419190
Residential,2007,IRON,26020 SHERMAN (T),Residential,68808800
Residential,2007,MANITOWOC,36006 COOPERSTOWN (T),Residential,66167800
Residential,2007,DANE,13044 PERRY (T),Residential,27191100
Residential,2007,DODGE,14038 RUBICON (T),Residential,172995400
Residential,2007,MARATHON,37030 GREEN VALLEY (T),Residential,49401600
Residential,2007,BUFFALO,06032 NELSON (T),Residential,22529400
Residential,2007,GREEN,23010 CLARNO (T),Residential,45917500
Residential,2007,BURNETT,07024 RUSK (T),Residential,64660800
Residential,2007,FOND DU LAC,20026 MARSHFIELD (T),Residential,58850500
Residential,2007,BARRON,03004 ARLAND (T),Residential,15832700
Residential,2007,CHIPPEWA,09022 EDSON (T),Residential,21948400
Residential,2007,CLARK,10012 FOSTER (T),Residential,10414620
Residential,2007,CLARK,10008 DEWHURST (T),Residential,51998600
Residential,2007,DANE,13060 VERMONT (T),Residential,93831300
Residential,2007,DANE,13058 SUN PRAIRIE (T),Residential,139220300
Residential,2007,FLORENCE,19014 LONG LAKE (T),Residential,34193800
Residential,2007,GRANT,22036 MILLVILLE (T),Residential,2321600
Residential,2007,LA CROSSE,32006 BURNS (T),Residential,33882500
Residential,2007,MANITOWOC,36034 TWO CREEKS (T),Residential,29347700
Residential,2007,MARINETTE,38036 WAUSAUKEE (T),Residential,121416800
Residential,2007,ADAMS,01020 NEW CHESTER (T),Residential,48800700
Residential,2007,COLUMBIA,11014 FOUNTAIN PRAIRIE (T),Residential,48434500
Residential,2007,FLORENCE,19016 TIPLER (T),Residential,14366600
Residential,2007,MARATHON,37032 GUENTHER (T),Residential,9758300
Residential,2004,CHIPPEWA,09221 EAU CLAIRE (C),Residential,70680900
Residential,2004,EAU CLAIRE,18221 EAU CLAIRE (C),Residential,2180097700
Residential,2004,GREEN LAKE,24251 MARKESAN (C),Residential,35886050
Residential,2004,CHIPPEWA,09211 CHIPPEWA FALLS (C),Residential,403559000
Residential,2004,CLARK,10231 GREENWOOD (C),Residential,25298100
Residential,2004,DODGE,14236 HORICON (C),Residential,130028200
Residential,2004,CHIPPEWA,09213 CORNELL (C),Residential,30787000
Residential,2004,KEWAUNEE,31201 ALGOMA (C),Residential,92014050
Residential,2004,MARATHON,37281 SCHOFIELD (C),Residential,72665100
Residential,2004,EAU CLAIRE,18202 AUGUSTA (C),Residential,33472600
Residential,2004,JUNEAU,29251 MAUSTON (C),Residential,93461925
Residential,2004,GREEN LAKE,24231 GREEN LAKE (C),Residential,108676600
Residential,2004,JUNEAU,29221 ELROY (C),Residential,29743700
Residential,2004,MANITOWOC,36241 KIEL (C),Residential,123575300
Residential,2004,CLARK,10246 LOYAL (C),Residential,28819100
Residential,2004,CLARK,10261 NEILLSVILLE (C),Residential,63553000
Residential,2004,LINCOLN,35286 TOMAHAWK (C),Residential,123276700
Residential,2004,CHIPPEWA,09281 STANLEY (C),Residential,42701700
Residential,2004,CRAWFORD,12271 PRAIRIE DU CHIEN (C),Residential,151578450
Residential,2004,LAFAYETTE,33211 CUBA CITY (C),Residential,9549700
Residential,2004,LA CROSSE,32246 LA CROSSE (C),Residential,1319212100
Residential,2004,CLARK,10265 OWEN (C),Residential,15497300
Residential,2004,FOREST,21211 CRANDON (C),Residential,44747600
Residential,2004,GREEN,23206 BRODHEAD (C),Residential,96715350
Residential,2004,GREEN,23251 MONROE (C),Residential,341994100
Residential,2004,KEWAUNEE,31241 KEWAUNEE (C),Residential,85918500
Residential,2004,GREEN LAKE,24271 PRINCETON (C),Residential,40623400
Residential,2004,LA CROSSE,32265 ONALASKA (C),Residential,772577800
Residential,2004,LINCOLN,35251 MERRILL (C),Residential,249197400
Residential,2005,DODGE,14236 HORICON (C),Residential,130363000
Residential,2005,CHIPPEWA,09213 CORNELL (C),Residential,32624700
Residential,2005,EAU CLAIRE,18221 EAU CLAIRE (C),Residential,2245937900
Residential,2005,GREEN,23206 BRODHEAD (C),Residential,97450300
