Year#,Real Property Class,County Name,Municipality,Re Class Name2,Land Par
2003,Residential,ADAMS,01201 ADAMS (C),Residential,763
2003,Residential,ADAMS,01291 WISCONSIN DELLS (C),Residential,17
2003,Residential,ASHLAND,02201 ASHLAND (C),Residential,3311
2003,Residential,ASHLAND,02251 MELLEN (C),Residential,638
2003,Residential,BARRON,03206 BARRON (C),Residential,1008
2003,Residential,BARRON,03211 CHETEK (C),Residential,999
2003,Residential,BARRON,03212 CUMBERLAND (C),Residential,1111
2003,Residential,BARRON,03276 RICE LAKE (C),Residential,2887
2003,Residential,BAYFIELD,04206 BAYFIELD (C),Residential,545
2003,Residential,BAYFIELD,04291 WASHBURN (C),Residential,1142
2003,Residential,BROWN,05216 DE PERE (C),Residential,6658
2003,Residential,BROWN,05231 GREEN BAY (C),Residential,29268
2003,Residential,BUFFALO,06201 ALMA (C),Residential,443
2003,Residential,BUFFALO,06206 BUFFALO CITY (C),Residential,764
2003,Residential,BUFFALO,06226 FOUNTAIN CITY (C),Residential,411
2003,Residential,BUFFALO,06251 MONDOVI (C),Residential,1139
2003,Residential,CALUMET,08201 APPLETON (C),Residential,3219
2003,Residential,CALUMET,08206 BRILLION (C),Residential,1182
2003,Residential,CALUMET,08211 CHILTON (C),Residential,1326
2003,Residential,CALUMET,08241 KIEL (C),Residential,84
2003,Residential,CALUMET,08251 MENASHA (C),Residential,617
2003,Residential,CALUMET,08261 NEW HOLSTEIN (C),Residential,1213
2003,Residential,CHIPPEWA,09206 BLOOMER (C),Residential,1485
2003,Residential,CHIPPEWA,09211 CHIPPEWA FALLS (C),Residential,4231
2003,Residential,CHIPPEWA,09213 CORNELL (C),Residential,619
2003,Residential,CHIPPEWA,09221 EAU CLAIRE (C),Residential,716
2003,Residential,CHIPPEWA,09281 STANLEY (C),Residential,809
2003,Residential,CLARK,10201 ABBOTSFORD (C),Residential,556
2003,Residential,CLARK,10211 COLBY (C),Residential,493
2003,Residential,CLARK,10231 GREENWOOD (C),Residential,508
2003,Residential,CLARK,10246 LOYAL (C),Residential,488
2003,Residential,CLARK,10261 NEILLSVILLE (C),Residential,1095
2003,Residential,CLARK,10265 OWEN (C),Residential,444
2003,Residential,CLARK,10281 STANLEY (C),Residential,0
2003,Residential,CLARK,10286 THORP (C),Residential,680
2003,Residential,COLUMBIA,11211 COLUMBUS (C),Residential,1578
2003,Residential,COLUMBIA,11246 LODI (C),Residential,924
2003,Residential,COLUMBIA,11271 PORTAGE (C),Residential,2944
2003,Residential,COLUMBIA,11291 WISCONSIN DELLS (C),Residential,1003
2003,Residential,CRAWFORD,12271 PRAIRIE DU CHIEN (C),Residential,2123
2003,Residential,DANE,13221 EDGERTON (C),Residential,8
2003,Residential,DANE,13225 FITCHBURG (C),Residential,5004
2003,Residential,DANE,13251 MADISON (C),Residential,56296
2003,Residential,DANE,13255 MIDDLETON (C),Residential,4751
2003,Residential,DANE,13258 MONONA (C),Residential,2554
2003,Residential,DANE,13281 STOUGHTON (C),Residential,3693
2003,Residential,DANE,13282 SUN PRAIRIE (C),Residential,7368
2003,Residential,DANE,13286 VERONA (C),Residential,2738
2003,Residential,DODGE,14206 BEAVER DAM (C),Residential,4818
