Year#,Real Property Class,County Name,Municipality,Re Class Name2,Acres
2003,Residential,ADAMS,01201 ADAMS (C),Residential,231
2003,Residential,ADAMS,01291 WISCONSIN DELLS (C),Residential,3
2003,Residential,ASHLAND,02201 ASHLAND (C),Residential,1283
2003,Residential,ASHLAND,02251 MELLEN (C),Residential,187
2003,Residential,BARRON,03206 BARRON (C),Residential,153
2003,Residential,BARRON,03211 CHETEK (C),Residential,233
2003,Residential,BARRON,03212 CUMBERLAND (C),Residential,351
2003,Residential,BARRON,03276 RICE LAKE (C),Residential,1892
2003,Residential,BAYFIELD,04206 BAYFIELD (C),Residential,0
2003,Residential,BAYFIELD,04291 WASHBURN (C),Residential,32
2003,Residential,BROWN,05216 DE PERE (C),Residential,1972
2003,Residential,BROWN,05231 GREEN BAY (C),Residential,8321
2003,Residential,BUFFALO,06201 ALMA (C),Residential,193
2003,Residential,BUFFALO,06206 BUFFALO CITY (C),Residential,43
2003,Residential,BUFFALO,06226 FOUNTAIN CITY (C),Residential,189
2003,Residential,BUFFALO,06251 MONDOVI (C),Residential,180
2003,Residential,CALUMET,08201 APPLETON (C),Residential,0
2003,Residential,CALUMET,08206 BRILLION (C),Residential,464
2003,Residential,CALUMET,08211 CHILTON (C),Residential,587
2003,Residential,CALUMET,08241 KIEL (C),Residential,21
2003,Residential,CALUMET,08251 MENASHA (C),Residential,319
2003,Residential,CALUMET,08261 NEW HOLSTEIN (C),Residential,92
2003,Residential,CHIPPEWA,09206 BLOOMER (C),Residential,176
2003,Residential,CHIPPEWA,09211 CHIPPEWA FALLS (C),Residential,422
2003,Residential,CHIPPEWA,09213 CORNELL (C),Residential,540
2003,Residential,CHIPPEWA,09221 EAU CLAIRE (C),Residential,0
2003,Residential,CHIPPEWA,09281 STANLEY (C),Residential,353
2003,Residential,CLARK,10201 ABBOTSFORD (C),Residential,33
2003,Residential,CLARK,10211 COLBY (C),Residential,49
2003,Residential,CLARK,10231 GREENWOOD (C),Residential,67
2003,Residential,CLARK,10246 LOYAL (C),Residential,58
2003,Residential,CLARK,10261 NEILLSVILLE (C),Residential,120
2003,Residential,CLARK,10265 OWEN (C),Residential,69
2003,Residential,CLARK,10281 STANLEY (C),Residential,0
2003,Residential,CLARK,10286 THORP (C),Residential,2
2003,Residential,COLUMBIA,11211 COLUMBUS (C),Residential,90
2003,Residential,COLUMBIA,11246 LODI (C),Residential,69
2003,Residential,COLUMBIA,11271 PORTAGE (C),Residential,1399
2003,Residential,COLUMBIA,11291 WISCONSIN DELLS (C),Residential,133
2003,Residential,CRAWFORD,12271 PRAIRIE DU CHIEN (C),Residential,0
2003,Residential,DANE,13221 EDGERTON (C),Residential,11
2003,Residential,DANE,13225 FITCHBURG (C),Residential,602
2003,Residential,DANE,13251 MADISON (C),Residential,12604
2003,Residential,DANE,13255 MIDDLETON (C),Residential,0
2003,Residential,DANE,13258 MONONA (C),Residential,0
2003,Residential,DANE,13281 STOUGHTON (C),Residential,1040
2011,Residential,WAUKESHA,67216 DELAFIELD (C),Residential,2358
2012,Residential,ROCK,53206 BELOIT (C),Residential,3035
2012,Residential,WAUKESHA,67265 OCONOMOWOC (C),Residential,697
2014,Residential,ROCK,53210 BRODHEAD (C),Residential,30
2012,Residential,LA CROSSE,32246 LA CROSSE (C),Residential,841
2011,Residential,MONROE,41281 SPARTA (C),Residential,935
2013,Residential,MANITOWOC,36251 MANITOWOC (C),Residential,3244
2003,Residential,ADAMS,01022 NEW HAVEN (T),Residential,498
2003,Residential,ASHLAND,02016 MARENGO (T),Residential,496
2003,Residential,BARRON,03018 CUMBERLAND (T),Residential,722
2003,Residential,BROWN,05022 HUMBOLDT (T),Residential,1324
2003,Residential,BUFFALO,06002 ALMA (T),Residential,131
2003,Residential,BUFFALO,06022 MILTON (T),Residential,191
2003,Residential,BURNETT,07006 DANIELS (T),Residential,1334
