city_fips,year,name,st,cty_fips,cbsa_fips,cz,rucc,pop_2010,msp,msp_yr,msp_accr,msp_affl,cty_seat,value,parcels,acres,val_per_acre
5500275,2003,Adams,Wisconsin,55001,0,223,8,1967,0,0,0,0,0,143941100,3127,5078,28346.02
5501225,2003,Alma,Wisconsin,55011,0,204,8,781,0,0,0,0,1,45423300,917,1105,41107.06
5501550,2003,Altoona,Wisconsin,55035,20740,204,3,6706,0,0,0,0,0,196702800,2089,249,789971.08
5501725,2003,Amery,Wisconsin,55095,0,567,6,2902,0,0,0,0,0,77926900,1034,95,820283.16
5502250,2003,Antigo,Wisconsin,55067,0,263,6,8234,0,0,0,0,1,217222509,3874,1475,147269.5
5502375,2003,Appleton,Wisconsin,55087,11540,233,3,72623,0,0,0,0,1,2599645900,22312,0,Inf
5502500,2003,Arcadia,Wisconsin,55121,0,204,6,2925,0,0,0,0,0,94373200,1364,931,101367.56
5503225,2003,Ashland,Wisconsin,55003,0,279,7,8216,0,0,0,0,1,172683800,3644,1907,90552.6
5503825,2003,Augusta,Wisconsin,55035,20740,204,3,1550,0,0,0,0,0,33060700,651,45,734682.22
5504625,2003,Baraboo,Wisconsin,55111,12660,223,4,12048,0,0,0,0,1,401267400,4312,1890,212310.79
5504875,2003,Barron,Wisconsin,55005,0,517,6,3423,0,0,0,0,1,95707750,1281,700,136725.36
5505900,2003,Beaver Dam,Wisconsin,55027,13180,70,4,16214,0,0,0,0,0,625997750,6146,2880,217360.33
5506500,2003,Beloit,Wisconsin,55105,27500,545,3,36966,1,1988,1,0,0,1028706200,15227,4601,223583.18
5506925,2003,Berlin,Wisconsin,55047,0,233,6,5524,0,0,0,0,0,234012900,2863,2767,84572.79
5507900,2003,Black River Falls,Wisconsin,55053,0,204,6,3622,0,0,0,0,1,78987200,1438,83,951653.01
5508225,2003,Bloomer,Wisconsin,55017,20740,204,3,3539,0,0,0,0,0,136294700,1787,737,184931.75
5508850,2003,Boscobel,Wisconsin,55043,38420,470,6,3231,0,0,0,0,0,70369690,1298,181,388782.82
5509725,2003,Brillion,Wisconsin,55015,11540,233,3,3148,0,0,0,0,0,129769400,1619,1292,100440.71
5511200,2003,Burlington,Wisconsin,55101,39540,58,3,10464,0,0,0,0,0,787401500,5845,2006,392523.18
5512325,2003,Campbellsport,Wisconsin,55039,22540,233,3,2016,0,0,0,0,0,55166800,628,119,463586.55
5514325,2003,Chetek,Wisconsin,55005,0,517,6,2221,0,0,0,0,0,249078900,2578,2444,101914.44
5514475,2003,Chilton,Wisconsin,55015,11540,233,3,3933,0,0,0,0,1,145231200,1636,1385,104860.07
5514575,2003,Chippewa Falls,Wisconsin,55017,20740,204,3,13661,1,1989,1,0,1,299081400,4231,422,708723.7
